"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","763","修改summary check","合并summary check","closed","","Airpaul","2015-03-13T01:30:55Z","2015-03-13T01:33:59Z"
"","332","New Check: SingleLineJavadocCheck","It's necessary to check the possibilities of single-line Javadoc. http://google-styleguide.googlecode.com/svn/trunk/javaguide.html#s7.1.1-javadoc-multi-line  The single-line form may be substituted when there are no at-clauses present, and the entirety of the Javadoc block (including comment markers) can fit on a single line. (link)  According to Javadoc API, there are two types of tags: main description tags and in-line tags. Main description tags must start at the beginning of a line (after any leading spaces and an optional asterisk) or it is treated as normal text (prof). Inline tags can be placed anywhere in the main description or in the comments for block tags. Inline tags are denoted by curly braces: {@tag}.  Should be implemented Check which will validate single-line Javadoc. If single-line Javadoc contains any at-clause tag, it should be reform to multi-line Javadoc. Check shouldn't force using single-line Javadoc. For example:  1) /*\* As of JDK 1.1, replaced by {@link #setBounds(int,int,int,int)} */  But should be:  /** - As of JDK 1.1, replaced by {@link #setBounds(int,int,int,int)}   */  2) /*\* @throws CheckstyleException if an error occurs */  But should be  /** - @throws CheckstyleException if an error occurs   */  3) /*\* An especially short bit of Javadoc. */  and  /** - An especially short bit of Javadoc.   */  These Javadocs are both correct. #   Check: https://github.com/baratali/checkstyle/blob/48948505efd04ac26c207e2fd07c2adcad7b82ea/src/main/java/com/puppycrawl/tools/checkstyle/checks/javadoc/SingleLineJavadocCheck.java Unit test: https://github.com/baratali/checkstyle/blob/48948505efd04ac26c207e2fd07c2adcad7b82ea/src/test/java/com/puppycrawl/tools/checkstyle/checks/javadoc/SingleLineJavadocCheckTest.java Input file: https://github.com/baratali/checkstyle/blob/48948505efd04ac26c207e2fd07c2adcad7b82ea/src/test/resources/com/puppycrawl/tools/checkstyle/javadoc/InputSingleLineJavadocCheck.java  Commit: https://github.com/baratali/checkstyle/commit/48948505efd04ac26c207e2fd07c2adcad7b82ea","closed","","romani","2014-10-22T22:26:52Z","2014-10-23T14:59:36Z"
"","983","Fix PMD violations for AbstractNaming rule","It's API-breaking change.  Follow-up to #982.  Violations:  ``` com\puppycrawl\tools\checkstyle\api\Check.java:35 Rule:AbstractNaming Priority:3 Abstract classes should be named AbstractXXX. com.puppycrawl.tools.checkstyle.checks.AbstractTypeAwareCheck:423 Rule:AbstractNaming Priority:3 Abstract classes should be named AbstractXXX. com\puppycrawl\tools\checkstyle\checks\DeclarationCollector.java:40 Rule:AbstractNaming Priority:3 Abstract classes should be named AbstractXXX. com\puppycrawl\tools\checkstyle\checks\indentation\ExpressionHandler.java:31 Rule:AbstractNaming Priority:3 Abstract classes should be named AbstractXXX. ```","closed","approved,","mkordas","2015-04-24T19:34:12Z","2015-06-18T21:41:37Z"
"","152","Documentation: Setting English as the language for messages","It would be worth to note in the documentation that if you wish to have English as the language for the validation messages, you need to set both the `localeCountry` and `localeLanguage` as empty strings (ROOT-locale) rather than English. English will not work, as there are no `messages_en.properties` language files.  ``` xml   ```","closed","high demand,","kasper","2014-05-29T12:00:28Z","2015-05-27T15:39:23Z"
"","100","Javadoc to accept custom tags","It would be valuable to allow custom javadoc tags that are used by many tools and check them somehow - @beanId, @pre, @modifies, @post... ##","open","javadoc,","isopov","2014-02-07T09:41:36Z","2022-07-10T13:45:54Z"
"","148","magic number detection: option to ignore magic numbers in field declarations","It would be useful to have an option to ignore a magic number if it is an initializer in a field  declaration.  For example, I currently have the following code in one of my classes:  ```  private double bonus = 0.5; ```  I don't think any clarity is gained by declaring an additional constant to be used only for initializing this field, and I'm reasonably confident the same is true in most cases where a field is initialized directly to a constant like this.","closed","approved,","jh3141","2014-05-21T06:12:52Z","2015-04-03T07:29:06Z"
"","220","RFE: Make the FileFilter part of the official distro","It would be quite helpful if the contributed `FileFilter` could be part of the normal distribution - perhaps renamed to `InclusionFilter` as a counterpart to `SuppressionFilter`. The rationale is that negating words in regular expressions is quite hard and so having a bunch of checks only reported for ""*Remote.java"" is pretty hard with the standard distribution. ##","closed","approved,","pilhuhn","2014-08-04T09:40:07Z","2021-01-25T01:26:35Z"
"","2","Default to sun_check rules when `-c ...` is omitted","It would be nice if checkstyle worked out of the box without requiring explicit `-c ` each time.","closed","","apennebaker","2013-09-24T14:30:57Z","2013-12-23T18:16:35Z"
"","3","Turn on -r recursive by default","It would be helpful if the recursive option `-r` were on by default, so that commands like: - `checkstyle -c config.xml .` - `checkstyle -c config.xml src/`  Etc., worked out of the box, like JSHint does.","closed","approved,","apennebaker","2013-09-24T15:00:24Z","2014-12-29T22:42:36Z"
"","524","new Check: Enforce whitespace before array initializer in Google config","It would be good to have a check that enforces whitespace before array initializer according to samples in [Google Java Style](https://google-styleguide.googlecode.com/svn/trunk/javaguide.html#s4.8.3.1-array-initializers).  For example:  ``` java new int[] {0, 1, 2, 3}  // correct  new int[] { // correct            0, 1, 2, 3           }  new int[]     {0, 1, 2, 3}  // correct  new int[]{ // incorrect            0, 1, 2, 3           }  new int[]{0, 1, 2, 3}  // incorrect                            ``` ##","closed","","mkordas","2014-12-20T00:53:52Z","2016-11-11T00:12:30Z"
"","98","Add ignore option to the JavadocVariable check","It will be convinient to not write javadocs for such variables as serialVersionId, log, logger.  For most flexibility consider allowing regex for this exclusion based on variables (fields) names.","closed","javadoc,","isopov","2014-02-07T09:20:48Z","2014-12-25T23:20:54Z"
"","577","Unsatisfiable Indentation module scenario inside Lambda (Java 8)","It seems, there is an issue with indentation tracking when lambda is used to declare inner class, like this:  ``` java public class ClassWithInnerLambda {      Runnable someLambda = () -> {         String varWithAppropriateIndention = null;     }; } ```  then checkstyle incorrectly says  > [WARNING] ClassWithInnerLambda.java[4](indentation) Indentation: 'String' have incorrect indentation level 8, expected level should be 12.  After indenting 'String' by 4 spaces, checkstyle correctly says  > [WARNING] ClassWithInnerLambda.java[4](indentation) Indentation: 'block' child have incorrect indentation level 12, expected level should be 8. > [WARNING] ClassWithInnerLambda.java[4](indentation) Indentation: 'member def type' have incorrect indentation level 12, expected level should be 8.  Here is my checkstyle configuration:  ``` xml                                                                                                                         ```","closed","indentation,","dmitry-cherkas","2015-01-12T17:07:34Z","2016-02-16T17:00:03Z"
"","888","Resolve some problems in Javadoc reported by Java 8, issue #291","It is not possible to nest block-level elements, such as `` inside ``.","closed","","mkordas","2015-03-29T15:28:30Z","2015-04-27T21:15:58Z"
"","965","LeftCurlyCheck :  investigate why maxLineLength is required","It is not clear why maxLineLength is required for that validation. Please investiagte. If not required - remove. If required - extend a javadoc/xdoc.","closed","approved,","romani","2015-04-23T17:07:13Z","2015-08-12T05:20:54Z"
"","953","NPathComplexity : investigate ability to follow that Check and what min level should be used","it is even implemented at PMD,  We need to figure out how to simplify a logic if reasonable and decided on minimal level of complexity.  here is his logs:  ``` [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.ClassResolver:66 Rule:NPathComplexity Priority:3 The method resolve() has an NPath complexity of 1056. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder:237 Rule:NPathComplexity Priority:3 The method visitToken() has an NPath complexity of 450. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck:151 Rule:NPathComplexity Priority:3 The method visitToken() has an NPath complexity of 432. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.AbstractSuperCheck:152 Rule:NPathComplexity Priority:3 The method isSuperCall() has an NPath complexity of 3240. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.ExplicitInitializationCheck:79 Rule:NPathComplexity Priority:3 The method visitToken() has an NPath complexity of 2430. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheck:236 Rule:NPathComplexity Priority:3 The method getIllegalInstantiation() has an NPath complexity of 4330. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:158 Rule:NPathComplexity Priority:3 The method processIDENT() has an NPath complexity of 10368. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck:80 Rule:NPathComplexity Priority:3 The method visitToken() has an NPath complexity of 2160. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.design.HideUtilityClassConstructorCheck:57 Rule:NPathComplexity Priority:3 The method visitToken() has an NPath complexity of 360. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:746 Rule:NPathComplexity Priority:3 The method checkParamTags() has an NPath complexity of 366. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:883 Rule:NPathComplexity Priority:3 The method checkThrowsTags() has an NPath complexity of 1405. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:971 Rule:NPathComplexity Priority:3 The method isSetterMethod() has an NPath complexity of 324. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:1028 Rule:NPathComplexity Priority:3 The method isGetterMethod() has an NPath complexity of 324. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck:165 Rule:NPathComplexity Priority:3 The method shouldCheck() has an NPath complexity of 240. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.modifier.ModifierOrderCheck:140 Rule:NPathComplexity Priority:3 The method checkOrderSuggestedByJLS() has an NPath complexity of 228. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck:345 Rule:NPathComplexity Priority:3 The method visitToken() has an NPath complexity of 174960. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.filters.SuppressElement:142 Rule:NPathComplexity Priority:3 The method accept() has an NPath complexity of 216. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.filters.SuppressElement:199 Rule:NPathComplexity Priority:3 The method equals() has an NPath complexity of 513. ```","closed","approved,","romani","2015-04-21T18:18:26Z","2015-06-18T06:23:12Z"
"","936","Move PMD configuration to separate file, issue #744","It is done to allow exclusions per rule, not per entire ruleset.","closed","","mkordas","2015-04-16T19:08:07Z","2015-04-27T21:14:07Z"
"","97","Allow requirement of javadocs only for interfaces/abstract classes","It is currently possible to setup different javadoc requirements for methods with different visibility - it will be valuable to allow setup such different requirements for abstract methods - maybe even distinguishing abstact methods in interfaces and abstract classe.  Option to require javadoc only on final methods (by some modifier of method).  duplicate: https://github.com/sevntu-checkstyle/sevntu.checkstyle/issues/70","open","javadoc,","isopov","2014-02-05T10:09:18Z","2022-07-10T13:45:54Z"
"","446","Add FinalParameters option to ignore primitive types","It is common in Java to modify method parameters that are primitive types and not class references. For example, an int -1 value for a param called ""length"" is often used to denote ""entire object length"". The method then modifies ""length"" to object.size() and continues. boolean negations are also somewhat common  This is a request to have an option to the FinalParameters validation to ignore primitive types so that class references are still a warning and code like this passes  class Final {     Final(final String s, int i) {         if (i == -1)             i = s.length();         ...     } }","closed","approved,","todd-richmond","2014-12-04T05:07:29Z","2014-12-22T16:11:31Z"
"","714","Fix bugs in EmptyLineSeparator , issue #706","It fixes two problems that occured in issue #706. First of all when pre previous line of import was empty it raises ""'import' has more than 1 empty lines before"" - test case for this is testAllowMultipleImportSeparatedFromPackage. Second issue was that when one field was declared line after another is raises ""'VARIABLE_DEF' should be separated from previous statement"" , test case is InputEmptyLineSeparatorMultipleImportEmptyClass","closed","","liscju","2015-03-04T03:20:42Z","2015-03-06T14:33:29Z"
"","880","Add badge with link to Stack Overflow to main page","It could be something like that: [![Stack Overflow](http://img.shields.io/badge/stackoverflow-CHECKSTYLE-blue.svg)](http://stackoverflow.com/questions/tagged/checkstyle)","closed","approved,","mkordas","2015-03-29T00:00:38Z","2015-03-31T00:40:16Z"
"","257","RequireThis triggers when try-with-resources defines resource with same name as method","It appears that the **RequireThis** check will trigger when using the Java 7 try-with-resources construct if the resource shares the same name as the method.  ``` public void foo() {     try (final InputStream foo = new ByteArrayInputStream(new byte[512])) {         foo.read();     }     catch (final IOException e) {         e.printStackTrace();     } } ```  returns:  ```   ```  Changing the name of the resource fixes the checkstyle error.  ``` public void foo() {     try (final InputStream bar = new ByteArrayInputStream(new byte[512])) {         bar.read();     }     catch (final IOException e) {         e.printStackTrace();     } } ```","closed","approved,","rorymartin","2014-08-19T23:12:47Z","2014-12-24T19:34:54Z"
"","631","Fix NPE when setting classpath.","Issue introduced with b8ca6a585b824e91b3b8c72dd5cc53c0eb0ab0f1","closed","","asheldon","2015-02-10T22:05:06Z","2015-02-10T22:35:44Z"
"","90","unable to load class info when inner class in super class","Issue copied from sourceforge.net, with my additions, as this bug is really annoying, blocks using checkstyle when creating custom exception classes.  I know there have been lots of similar issues and I've read most (if not all) of them. But still something seems to be wrong.  We have a class A with an Exception E declared as public static inner class. Then we have a class B derived from class A with a method m throwing E. If we now use @throw tag in the javadoc of m, we get the ""unable to load class information"" error  An @throw tag in the javadoc of a similar method in A does not cause any Problems.  Example:  Class A:  ``` java public class A {     /*      * @throws E no problem here      */     public synchronized void m1() throws E     {         throw new E(""just a demo"");     }      public static class E extends Exception     {         public E(String message)         {             super(message);         }     } }  ```  Class B:  ``` java public class B extends A {     /*     * @throws E THIS CAUSES THE PROBLEM     */     public synchronized void m() throws E     {         throw new E(""just a demo"");     } } ```  This issue still exists in latest checkstyle.","closed","","krzyk","2014-01-30T08:11:36Z","2015-02-10T00:48:05Z"
"","849","Deleted cache from Utils class","Issue #845","closed","","damianszczepanik","2015-03-24T23:11:16Z","2015-03-27T22:06:10Z"
"","824","Delete ///CLOVER comments","Issue #823","closed","","damianszczepanik","2015-03-20T19:56:29Z","2015-03-20T20:59:51Z"
"","724","Updated all links to sun.com reference to oracle site","Issue #711","closed","","damianszczepanik","2015-03-07T17:10:43Z","2015-03-18T20:57:33Z"
"","882","Deleted System.exit() and delegated exit control into separate method.","Issue #596","closed","","damianszczepanik","2015-03-29T07:14:22Z","2015-04-24T20:02:51Z"
"","999","PMD violations: UseVarargs","Investigate usage of ""..."" instead of ""[]"" , if that is not compatible changes - lets suppress that rule, as that will seriously brake all applications that use checkstyle and expect arrays as types.  [INFO] --- maven-pmd-plugin:3.4:check (default-cli) @ checkstyle --- [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.Checker:388 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.Main:55 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.Main:88 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.Main:201 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.Utils:49 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck:124 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.api.Check:101 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.api.FileContents:77 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck:322 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.AbstractIllegalCheck:38 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.AbstractIllegalCheck:62 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.IllegalThrowsCheck:147 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck:405 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck:425 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck:445 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.InnerAssignmentCheck:247 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck:349 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.MultipleStringLiteralsCheck:112 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck:330 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck:319 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck:382 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.header.HeaderCheck:77 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck:58 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.imports.AvoidStarImportCheck:101 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.imports.AvoidStaticImportCheck:94 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.imports.IllegalImportCheck:85 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck:173 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocNodeImpl:136 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck:276 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.checks.metrics.AbstractClassCouplingCheck:109 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.doclets.CheckDocsDoclet:238 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.doclets.TokenTypesDoclet:144 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:139 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:167 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:195 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.gui.AbstractTreeTableModel:223 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.gui.FileDrop$Listener:249 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.gui.Main:41 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter.. [INFO] PMD Failure: com.puppycrawl.tools.checkstyle.gui.ParseTreeInfoPanel$FileDropListener:163 Rule:UseVarargs Priority:4 Consider using varargs for methods or constructors which take an array the last parameter..","closed","approved,","romani","2015-04-26T17:20:24Z","2015-04-30T00:31:33Z"
"","8","presence of Checkstyle in Ubuntu and others package repositories","Investigate how ubuntu get old builds on checkstyle http://packages.ubuntu.com/raring/allpackages.  consider to support new package manager http://chocolatey.org/: http://sourceforge.net/p/checkstyle/mailman/message/31454144/  related problem that caused by old version: #5","closed","approved,","romani","2013-10-02T00:09:12Z","2016-06-10T13:29:50Z"
"","611","error during build with tools.jar","investigate and fix:  ``` [ERROR] Artifact: com.sun:tools:jar:1.7.0 has no file. ```","closed","approved,","romani","2015-02-02T06:54:15Z","2015-02-10T19:51:36Z"
"","954","CyclomaticComplexity : apply to Checkstyle code","investigate ability to enforce that rule over our code. recheck PMD validation for this too (it has 3 rules for that, we need to use only one). http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/codesize.html#CyclomaticComplexity http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/codesize.html#StdCyclomaticComplexity http://pmd.sourceforge.net/pmd-5.3.2/pmd-java/rules/java/codesize.html#ModifiedCyclomaticComplexity  http://www.sonarqube.org/discussing-cyclomatic-complexity/ http://damienlepage.com/cyclomatic-complexity/ http://en.wikipedia.org/wiki/Cyclomatic_complexity","closed","approved,","romani","2015-04-21T18:25:15Z","2015-06-18T02:13:22Z"
"","758","Issue #286","Introduce new parameter in ModifiedControlVariable check ignoreForControlVariablesNotIterated to ignore changes in variable inside for loop which are not change in iterator part of for loop. To do it before adding all variables declared in for first part to current variable stack, we calculate all variables which are changed in iterator part of for loop. The cases in this iterator part which can change defined variables are:  postincrement,preincrement,postdecrement,predecrement with IDENT operator in it(simple variable name), assignment with IDENT as first child(assignment to simple variable name). We only add variable to variable stack when it is not changed in for iterator part or ignoreForControlVariablesNotIterated is false. When we are leaving for part we pop it according to how many variables was put in it.","closed","","liscju","2015-03-12T11:01:14Z","2015-04-01T21:45:39Z"
"","813","Added new DemandTypesInLambdaCheck, fixes issue #142","Introduce new check DemandTypesInLambdaCheck which checks if all parameters in lambda has explicit types. It checks for all possible lambda parameter types: a) () -> ... empty parameter list b) t  -> ... one implicit type c) (a,b,..) -> ... many implicit types d) (T a,T b,..) -> ... many explicit types   I commented out assertions because cubertura checks them and it decreases code coverage(at this moment it looks like cubertura does not have option to skip assertions) but i think they are valuable information in code. I would be grateful for comment what to do about them.","closed","","liscju","2015-03-17T19:45:20Z","2015-03-18T12:56:17Z"
"","45","Check for interface and abstract methods with final parameters","Interface and abstract methods with final parameters have no meaning since they have no implementation and thus the non-final parameters cannot be modified.  The final keyword just adds to the clutter and Checkstyle can warn about this condition.  Fixed by #44.","closed","discussion ongoing,","gaul","2013-10-31T22:18:05Z","2016-06-28T13:56:16Z"
"","636","Refactored: updated Main.java to have system.exit be placed in one method Issue#596","Instead of calling System.exit from each methods, now an ApplicationExitException is thrown which is finally handled in main method only.","closed","","dbngshuroy","2015-02-12T14:21:57Z","2015-03-11T16:22:25Z"
"","351","FileContents.getLines performance fix","Inspired by #136 and #346 part. I was testing on the spring-boot project with the following config:  ```                                                     ```  Using checkstyle before this fix gived me 71 MB of String[] allocations. After this fix Only 2.4 MB of String[] were allocated. Execution time (that is not stable and was not properly measured) reduced insignificantly - both executions were less than 5s.","closed","","isopov","2014-10-31T08:24:08Z","2014-11-02T19:49:35Z"
"","618","IndentationCheck: no violation on not indented method header inside anonymous class","Input.java  ``` java public class Input {   void f() {     Object b = new Thread(new Runnable() {       @Override public void run() { //indent:0, expected:6; no violation generated         System.out.print(""h"");       }     });   } } ```  config.xml  ``` xml                                                          ```  Invocation:  ``` java -cp checkstyle-6.3-all.jar com.puppycrawl.tools.checkstyle.Main -c config.xml Input.java ```  actual output:  ``` Starting audit... Audit done. ```  expected violation on line 5 ##","open","indentation,","alex-zuy","2015-02-06T19:58:31Z","2016-12-14T18:16:43Z"
"","442","Removed unused incompilable input file","Input was incompilable and unused","closed","","alexkravin","2014-12-03T13:55:29Z","2014-12-11T14:40:58Z"
"","692","Created copy of Input15Extensions.java.","Input file ""Input15Extensions.java"" in ""src/test/resources/com/puppycrawl/tools/checkstyle/"" is shared by several test. This commit creates copy of this file in ""src/test/resources/com/puppycrawl/tools/checkstyle/indentation"" for using as input file in  IndentationCheckTest.","closed","","alex-zuy","2015-03-01T10:08:05Z","2015-03-01T14:58:53Z"
"","766","IndentationCheck: Incorrect line wrap handling.","IndentationCheck handles line wrap incorrectly.  Following code samples taken from test-inputs. [if](https://github.com/pirat9600q/checkstyle/blob/master/src/test/resources/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java#L220)  ``` java if (test //indent:8 exp:8 ) { //indent:8 exp:8","closed","indentation,","alex-zuy","2015-03-13T12:29:41Z","2016-04-22T11:55:31Z"
"","723","JavadocMethod: addition of @version and @since checks","In the JavadocMethod module, you can only currently check for missing @param, @return, and @throws tags. If your methods (within a company's coding standard) always require @version and @since tags, it would be very convenient if properties were added within the JacadocMethod check that could check for those two missing tags. ##","open","javadoc,","seangibbens","2015-03-06T18:59:24Z","2018-01-26T12:54:35Z"
"","908","Make coverage 100% for all classes at package com.puppycrawl.tools.checkstyle.checks.annotation","in pom.xml we have:  ```           .*.checks.annotation.AnnotationLocationCheck7578           .*.checks.annotation.AnnotationUseStyleCheck9396           .*.checks.annotation.MissingDeprecatedCheck9296           .*.checks.annotation.MissingOverrideCheck10096           .*.checks.annotation.PackageAnnotationCheck5077           .*.checks.annotation.SuppressWarningsCheck7996  ```  after tests improvement(to be 100% cevered) that lines have to be removed from pom.xml.","closed","approved,","romani","2015-04-08T19:45:01Z","2015-07-26T00:52:19Z"
"","117","Place suppressions_none.xml in some suitable place on the web","In our test SuppressionsLoaderTest we access the suppressions_none.xml fropm the raw.github.com. This service is not intended for such usage and test fails on non-regular basis. We need to place this file on some intended for this purpose server and access it from there.","closed","","isopov","2014-03-11T09:42:56Z","2014-11-29T16:30:06Z"
"","685","Fix comma replaced with period in docs","In config_whitespace, a comma was incorrectly replaced with a period.","closed","","Mebibyte","2015-02-25T20:12:21Z","2015-02-26T00:30:53Z"
"","71","Pom changes","In another project I needed to specify the scm connection to github to use with maven-release-plugin and copy&pasted configuration from checkstyle changing the project name, but it didn't work. I googled and this seems to be valid format.  Guava by default uses Java6. Since we are going to make another Java5 release - we should use special guava artifact (officially done by Google) supporting java5.","closed","","isopov","2013-12-04T13:10:50Z","2014-08-14T12:31:19Z"
