"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","689","SOLR-13489: Stop the leader from trying to rejoin the election on ses…","…sion expiration and harden our zk reconnect code path.","closed","","markrmiller","2019-05-28T16:24:32Z","2019-06-03T16:12:58Z"
"","1087","SOLR-14091: Removing deprecated configuration of Jetty's soLingerTime…","… option   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Please provide a short description of the changes you're making with this pull request.  # Solution  Please provide a short description of the approach taken to implement your solution.  # Tests  Please describe the tests you've developed or run to confirm this patch implements the feature or solves the problem.  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `ant precommit` and the appropriate test suite. - [ ] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","mkr","2019-12-16T09:14:07Z","2019-12-19T00:31:14Z"
"","1555","SOLR-14548 Address warning: static member should be qualified by type…","… name","closed","","madrob","2020-06-08T16:34:14Z","2020-06-09T20:33:38Z"
"","1221","SOLR-14193 Update tutorial.adoc(line no:664) so that command executes…","… in windows enviroment   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Please provide a short description of the changes you're making with this pull request.  # Solution  Please provide a short description of the approach taken to implement your solution.  # Tests  Please describe the tests you've developed or run to confirm this patch implements the feature or solves the problem.  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [ ] I have run `ant precommit` and the appropriate test suite. - [ ] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","open","","balaji-s","2020-01-28T16:54:08Z","2020-01-28T17:05:37Z"
"","1204","SOLR-14205 Do not fail when given timeout to connectionImpl.isValid()…","… = 0   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description When timeout = 0  handle it as if there is no timeout  # Solution Call the solr-client without specifying a timeout  # Tests add conn.isValid(0) == true to the JdbcTest case   # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [x] I have developed this patch against the `master` branch. - [x] I have run `ant precommit` and the appropriate test suite. - [x] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","nvercamm","2020-01-23T07:32:53Z","2020-01-23T15:26:55Z"
"","770","LUCENE-8746: Component2D topology library that works on encoded space","With the upcoming of a new Shape type working in cartesian space (#726), I think we need to put some structure in the objects that contain spatial logic. In particular I have tried to remove all the mixed notation between latitude/longitude and x/y as well as defined factory methods to create those shapes from LatLonShape.   This library chooses to use X/Y notation as it is mainly cartesian, it works on the encoding space and solves problems like the neighbourhood issue (https://discuss.elastic.co/t/neighboring-touching-geo-shapes-not-found/175543) when not encoded query shapes are used against encoded indexed shapes. It potentially can simplify all the query logic as it is only needed a query by Component2D for this case.  Currently it contains factory methods to create Component2D shapes from LatLonShapes, it should be trivial to add a factory class for XYShapes.  @jpountz @nknize @rmuir @dsmiley  let me know what do you think?","closed","","iverase","2019-07-08T12:15:09Z","2020-02-07T20:19:38Z"
"","1386","SOLR-14275 Policy calculations are very slow for large clusters and large operations","WIP PR, NOT TO BE MERGED","open","","noblepaul","2020-03-28T07:22:24Z","2020-03-31T04:22:24Z"
"","1666","SOLR-14155: Load all other SolrCore plugins from packages","WIP PR, do not commit","closed","packages,","noblepaul","2020-07-11T07:52:32Z","2021-01-13T12:45:38Z"
"","1109","More pervasive use of PackageLoader / PluginInfo","WIP don't merge. This is what I did during my ""hack day"".  I'd be happy to discuss. CC @noblepaul @chatman","closed","","dsmiley","2019-12-20T22:34:28Z","2020-10-23T12:31:45Z"
"","1198","LUCENE-9153: Allow WhitespaceAnalyzer to set a custom maxTokenLen","WhitespaceTokenizer defaults to a maximum token length of 255, and WhitespaceAnalyzer does not allow this to be changed.  This commit adds an optional maxTokenLen parameter to WhitespaceAnalyzer as well, and documents the existing token length restriction.","closed","","romseygeek","2020-01-22T10:07:00Z","2020-01-27T09:22:30Z"
"","1448","LUCENE-9342: Collector's totalHitsThreshold should not be lower than numHits","While looking at SOLR-13289 I noticed this situation. If I create a collector with `numHits` greater than `totalHitsThreshold`, and the number of hits in the query is somewhere between those two numbers, collector’s `totalHitRelation` will be `TotalHits.Relation.GREATER_THAN_OR_EQUAL_TO`, however I expect the count to be accurate in this situation, right? Should this be `TotalHits.Relation.EQUAL_TO`? Maybe make `totalHitsThreshold = Max(totalHitsThreshold, humHits)` on creation? Added a test that fails.","closed","","tflobbe","2020-04-22T17:43:50Z","2020-04-23T19:04:06Z"
"","1437","zkRun+https","When starting an embedded zk server, if we can detect that we are using https, set the urlScheme cluster property accordingly.","closed","","madrob","2020-04-17T19:52:48Z","2020-04-20T18:51:13Z"
"","708","LUCENE-8775: Fix bug when selecting bridge and improve tests","When selecting a bridge, we need to check for shared vertex in its own loop. In addition the test now check that the area of the polygon is equal to the area of the tessellation.","closed","","iverase","2019-06-10T06:33:57Z","2019-06-11T05:16:25Z"
"","1545","LUCENE-9365 FuzzyQuery false negative","when prefix length == search term length   Co-Authored-By: markharwood","closed","","madrob","2020-05-29T15:26:30Z","2020-06-03T20:19:35Z"
"","1180","Update solr-tutorial.adoc","When executing the tutorial in windows 10 platform line 664 throws an error ""& was unexpected at this time."", so adding an escape characters for ""&"" and ""|""   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  Please provide a short description of the changes you're making with this pull request.  # Solution  Please provide a short description of the approach taken to implement your solution.  # Tests  Please describe the tests you've developed or run to confirm this patch implements the feature or solves the problem.  # Checklist  Please review the following and check all that apply:  - [ ] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [ ] I have created a Jira issue and added the issue ID to my pull request title. - [ ] I have given Solr maintainers [access](https://help.github.com/en/articles/allowing-changes-to-a-pull-request-branch-created-from-a-fork) to contribute to my PR branch. (optional but recommended) - [ ] I have developed this patch against the `master` branch. - [ ] I have run `ant precommit` and the appropriate test suite. - [ ] I have added tests for my changes. - [ ] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","balaji-s","2020-01-17T11:59:40Z","2020-01-17T12:03:12Z"
"","899","LUCENE-8989: Allow IndexSearcher To Handle Rejected Execution","When executing queries using Executors, we should gracefully handle the case when Executor rejects a task and run the task on the caller thread.","closed","","atris","2019-09-25T16:49:15Z","2019-10-03T16:26:03Z"
"","1146","SOLR-6613: TextField.analyzeMultiTerm does not throw an exception…","when Analyzer returns no term.","closed","","bruno-roustant","2020-01-06T13:56:51Z","2020-08-31T06:57:30Z"
"","1020","LUCENE-9055: Fixes the detection of lines crossing triangles through edge points","When a line crosses a triangle through an edge point, the crossing is not detected.","closed","","iverase","2019-11-20T10:27:05Z","2019-12-17T08:44:08Z"
"","1278","LUCENE-9243: Add fudge factor when creating a bounding box of a xycircle","We need increase slightly the bounding box  of a `XYCircle` to prevent points at the provided distance to be outside of the bounding box due to numerical error. ~~This patch uses a small percentage of the provided radius to increment the bounding box.~~ We use Math.nextUp() to increase the box.","closed","","iverase","2020-02-24T06:44:27Z","2020-03-02T06:08:43Z"
"","857","LUCENE-8968: Improve performance of WITHIN and DISJOINT queries for Shape queries","We are currently walking the tree twice for INTERSECTS and WITHIN queries in ShapeQuery when we can do it in just one pass. Still we need most of the times to visit all documents to remove false positives due to multi-shapes except in the case where all documents up to maxDoc are on the tree. This pull request refactors that class and tries to improve the strategy for such cases.","closed","","iverase","2019-09-05T13:11:29Z","2019-09-10T12:59:00Z"
"","927","LUCENE-8997: : Add type of triangle info to ShapeField encoding","We are currently encoding three type of triangle in ShapeField:  - POINT: all three coordinates are equal - LINE: two coordinates are equal - TRIANGLE: all coordinates are different  Because we still have two unused bits, it might be worthy to encode this information in those two bits as follows:  - 0 0 : Unknown so this is an index created before adding this information. We can compute in this case the information while decoding for backwards compatibility. - 1 0: The encoded triangle is a POINT - 0 1: The encoded triangle is a LINE - 1 1: The encoded triangle is a TRIANGLE  We can later leverage this information so we don't need to decode all dimensions in case of POINT and LINE and we are currently computing in some of the methods ithe type of triangle we are dealing with, This will go as well.","open","","iverase","2019-10-05T06:54:02Z","2020-05-11T11:17:26Z"
"","1434","LUCENE-9324: Add an ID to SegmentCommitInfo","We already have IDs in SegmentInfo, as well as on SegmentInfos which are useful to uniquely identify segments and entire commits. Having IDs on SegmentCommitInfo is be useful too in order to compare commits for equality and make snapshots incremental on generational files. This change adds a unique ID to SegmentCommitInfo starting from Lucene 8.6. Older segments won't have an ID until the segment receives an update or a delete even if they have been opened and / or committed by Lucene 8.6 or above.","closed","","s1monw","2020-04-16T13:11:34Z","2020-04-18T12:24:58Z"
"","1648","SOLR-14616: Remove CDCR from Solr 9.x","We already deprecated CDCR in 8.6. We need to remove it from master/9.0.","closed","","chatman","2020-07-03T20:23:20Z","2020-08-25T07:57:28Z"
"","1535","SOLR-14474: Fix remaining auxilliary class warnings in Solr","Version 2, incorporating D. Smiley's comments, thanks!","closed","","ErickErickson","2020-05-24T23:59:11Z","2020-05-31T19:20:52Z"
"","1410","LUCENE-9302: Grouping to use long to avoid overflows","Using long instead of int to avoid overflows of hits and counts when multiple shards are involved.","open","","chatman","2020-04-06T17:15:51Z","2020-04-06T17:15:51Z"
"","819","SOLR-13676: Reduce log verbosity in TestDistributedGrouping","using ignoreException  # Description  SOLR-13404 added a test that expects Solr to fail if grouping is called with group.offset < 0. When the test runs it succeeds but the whole stack trace is printed out in the logs.  # Solution  This small patch avoid the stack trace by using ignoreException. I also replaced an `assertTrue` with a more specific check.   # Tests  This patch is improving a test.  # Checklist  Please review the following and check all that apply:  - [x] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [x] I have created a Jira issue and added the issue ID to my pull request title. - [x] I am authorized to contribute this code to the ASF and have removed any code I do not have a license to distribute. - [x] I have developed this patch against the `master` branch. - [x] I have run `ant precommit` and the appropriate test suite. - [x] I have added tests for my changes. - [...] I have added documentation for the [Ref Guide](https://github.com/apache/lucene-solr/tree/master/solr/solr-ref-guide) (for Solr changes only).","closed","","diegoceccarelli","2019-08-02T17:44:00Z","2019-08-05T03:57:45Z"
"","1217","SOLR-14223 PublicKeyHandler consumes a lot of entropy during tests","Use a non-blocking implementation of SecureRandom for generating RSA Keys.","closed","","madrob","2020-01-28T00:06:31Z","2020-02-24T20:07:15Z"
"","830","LUCENE-8933: Use expectThrows instead of expected.","Use `LuceneTestCase#expectThrows()` instead of `expected`.","closed","","mocobeta","2019-08-14T03:25:27Z","2019-11-10T10:17:16Z"
"","1631","SOLR-14599: Package manager support for cluster level plugins","Usage:     bin/solr package deploy  -y -cluster     bin/solr package deploy : -y -cluster --update     bin/solr package undeploy  -y -cluster","closed","","chatman","2020-06-30T07:30:26Z","2020-11-10T22:43:31Z"
"","1549","LUCENE-9382: update gradle to 6.4.1.","Upgrades gradle to 6.4.1. The log-check scripts doesn't work for me and fails with an internal gradle ugliness (AST incompatibility of some sort). @ErickErickson would you be able to take a look and maybe ask gradle guys on slack?","closed","build,","dweiss","2020-06-01T12:53:52Z","2020-06-02T11:49:58Z"
"","1231","SOLR-13132: single sweep iteration over base, foreground, and backgro…","Updating to master","open","","treygrainger","2020-02-02T06:13:05Z","2020-02-02T06:50:11Z"
"","1090","Update README.txt for analysis-extras","Update the analysis-extras README to include reference to including solr-analysis-extras jar.  I struggled to work out what was missing when I was using ICU for the first time, and this caught me out. There may be a better way of phrasing it.","closed","","tuftii","2019-12-17T15:29:14Z","2020-02-15T21:57:57Z"
"","775","LUCENE-8910: upgrade to icu 62.1 must be completed","Update of ICU files  I updated the version of ICU to use in GenerateUTR30DataFiles.java and checked-in the downloaded and generated files from the `ant gennorm2` target  # Checklist - [X] I have reviewed the guidelines for [How to Contribute](https://wiki.apache.org/solr/HowToContribute) and my code conforms to the standards described there to the best of my ability. - [X] I have created a Jira issue and added the issue ID to my pull request title. - [X] I am authorized to contribute this code to the ASF and have removed any code I do not have a license to distribute. - [X] I have developed this patch against the `master` branch. - [X] I have run `ant precommit` and the appropriate test suite.         * Precommit failed on -ecj-javadoc-lint-src with Solr issues not related to this change         * Lucene test suites all passed - [] I have added tests for my changes. - [] I have added documentation for the Ref Guide (for Solr changes only).","closed","","mariemat","2019-07-11T14:23:14Z","2019-09-05T06:51:25Z"
"","1353","LUCENE-9279: Update dictionary version for Ukrainian analyzer","Update morfologik dictionary version to 4.9.0 for Ukrainian analyzer. There's about 80k of new lemmas","closed","","arysin","2020-03-14T22:14:15Z","2020-03-15T01:02:43Z"
"","1131","SOLR-14134: Add lazy and time-based evictiction of shared core concurrency metada…","Two Main Changes: - This change switches the cache from a ConcurrentHashMap to a TimeAwareLruCache with its underlying implementation simply being a Caffeine Cache. The default configurations, time delay before least-recently accessed (read or write) are evicted and maximum cache size are currently arbitrarily chosen and will later be configurable. - In ZkController#register, we evict any entry that already exists in the SharedCoreConcurrencyController cache if it already exists. This supports the collection reuse case described in the JIRA. This is done here because all ADDREPLICA paths flow through here logically and we want to evict entries before the replica gets marked ACTIVE (done here)","closed","","andyvuong","2019-12-30T21:29:34Z","2020-01-10T18:52:25Z"
"","711","Solr 12013","Trying to get all modern and use pull requests. This  fixes SOLR-12013. Throwing a NoNodeException propagated into AddReplicaCmd, CloudConfigSetService and OverseerConfigSetMessageHandler, any additional eyes welcome.  All tests pass as well as precommit if I didn't mess up this newfangled Git stuff.","closed","","ErickErickson","2019-06-11T19:21:30Z","2019-06-14T12:07:01Z"
"","713","SOLR-12013: collections API CUSTERSTATUS command fails when configset…","Trying to get all modern and use Git, so bear with me.  This fixes the problem, but by throwing a NoNodeException it affected AddReplicaCmd, CloudConfigSetService and OverseerConfigSetMessageHandler, any extra eyes on those changes appreciated.  precommit and all tests pass if I haven't messed up the  whole PR thing.","closed","","ErickErickson","2019-06-11T19:46:59Z","2019-06-13T19:52:08Z"
"","1246","LUCENE-9216: Make sure we index LEAST_DOUBLE_VALUE","Trivial test fix","closed","","iverase","2020-02-10T08:37:40Z","2020-02-10T16:39:01Z"
"","1312","Fix resource leak in TestPolicyCloud","Trivial fix of a test resource leak","closed","","tflobbe","2020-03-03T18:03:19Z","2020-03-03T19:42:24Z"
"","978","SOLR-13207: Handle query errors in calculateMinShouldMatch","Traps error that arises when the < operator is used at the end of a query field. Also handles NumberFormatException when the operand isn't a number.   * SOLR-####:   LUCENE and SOLR must be fully capitalized. A short description helps people scanning pull requests for items they can work on.  Properly referencing the issue in the title ensures that Jira is correctly updated with code review comments and commits. -->   # Description  When < operator is used with no operand after it (i.e. at the end of the query field) or with a non-numeric operand, an HTTP 500 error arises caused by an ArrayIndexOutOfBoundsException or NumberFormatException respectively.  # Solution  Throws a SolrException with BAD_REQUEST as the error code when either situation arises, since the query is malformed.  # Tests  Added 2 cases in SolrPluginUtilsTest.testMinShouldMatchCalculator, for queries ""1<"" and ""1","closed","","Pr0methean","2019-10-26T22:11:11Z","2019-11-01T17:40:57Z"
"","1459","LUCENE-9347: Add support for forbiddenapis 3.0","TODO: Use task configuration avoidance also in Lucene/Solr build for speedup","closed","enhancement,","uschindler","2020-04-27T00:16:33Z","2020-04-27T09:55:03Z"
"","1110","SOLR-14138: enable request log via environ var","Today you have to edit XML to enable the jetty request log. This makes it work via environment variable.  It also gets this thing off the currently deprecated RequestLog class. SOLR_LOGS_DIR is now respected by default (today it uses hardcoded `logs/`)","closed","","rmuir","2019-12-21T23:02:41Z","2020-10-20T01:51:28Z"
"","1454","Consolidate all IW locking inside IndexWriter","Today we still have one class that runs some tricky logic that should be in the IndexWriter in the first place since it requires locking on the IndexWriter itself. This change inverts the API and now FrozendBufferedUpdates does not get the IndexWriter passed in, instead the IndexWriter owns most of the logic and executes on a FrozenBufferedUpdates object. This prevent locking on IndexWriter out side of the writer itself and paves the way to simplify some concurrency down the road","closed","","s1monw","2020-04-24T13:33:33Z","2020-04-24T17:07:23Z"
"","1325","Consolidated process event logic after CRUD action","Today we have duplicated logic on how to convert a seqNo into a real seqNo and process events based on this. This change consolidated the logic into a single method.","closed","","s1monw","2020-03-06T10:07:03Z","2020-03-09T17:47:44Z"
"","758","LUCENE-8833: Add a #load() method to IndexInput to allow preloading file content into physical memory","Today we have an all or nothing option on MMapDirectory to preload the contents of the file into physical memory. Yet, with recent efforts moving datastructures to disk if they can be accessed efficiently can benefit from a per IndexInput API to make better decisions for defaults if the index is mmapped.","open","","s1monw","2019-07-02T10:34:08Z","2019-08-15T15:03:42Z"
"","1346","LUCENE-9276: Use same code-path for updateDocuments and updateDocument","Today we have a large amount of duplicated code that is rather of complex nature. This change consolidates the code-paths to always use the updateDocuments path.","closed","","s1monw","2020-03-12T18:29:42Z","2020-03-13T19:33:16Z"
"","725","LUCENE-8865: Use incoming thread for execution if IndexSearcher has an executor","Today we don't utilize the incoming thread for a search when IndexSearcher has an executor. This thread is only idling but can be used to execute a search once all other collectors are dispatched.","closed","","s1monw","2019-06-17T16:07:16Z","2019-06-18T12:56:55Z"
"","688","LUCENE-8813: Ensure we never apply deletes from a closed DWPTDeleteQueue","Today we don't have a strong protection that we add and apply deletes / updates on or from an already flushed delete queue. DWPTDeleteQueue instances are replaced once we do a full flush in order to reopen an NRT reader or commit the IndexWriter.  In LUCENE-8813 we tripped an assert that used to protect us from such an situation but it didn't take all cornercases from concurrent flushing into account. This change adds a stronger protection and ensures that we neither apply a closed delete queue nor add any updates or deletes to it.  This change also allows to speculativly freeze the global buffer that might return null now if the queue has already been closed. This is now possible since we ensure that we never see modifications to the queue after it's been closed and that happens right after the last DWPT for the ongoing full flush is done flushing.","closed","","s1monw","2019-05-28T14:58:53Z","2019-06-01T06:52:23Z"
"","963","LUCENE-9022: Never cache GlobalOrdinalsWithScoreQuery","Today we disable caching for GlobalOrdinalsQuery (https://issues.apache.org/jira/browse/LUCENE-8062) but not GlobalOrdinalsWithScoreQuery. However the GlobalOrdinalsWithScoreQuery is sometimes executed in a filter context (despite the name, e.g. when min/max are provided) so we should protect this query for the same reasons invoked in LUCENE-8062.","closed","","jimczi","2019-10-22T11:11:09Z","2019-10-22T13:14:40Z"
"","1460","Fix visibility on member variables in IndexWriter and friends","Today it looks like wild wild west inside IndexWriter and some of it's associated classes. This change makes sure all non-final members have private visibility, methods that are not used outside of IW today are made private unless they have been public. This change also removes some unused or unnecessary members where possible and deleted some dead code from previous refactoring.","closed","","s1monw","2020-04-27T08:34:51Z","2020-04-27T15:49:24Z"
"","706","LUCENE-8843: Only ignore IOException on dirs when invoking force","Today in the method IOUtils#fsync we ignore IOExceptions when fsyncing a directory. However, the catch block here is too broad, for example it would be ignoring IOExceptions when we try to open a non-existent file. This commit addresses that by scoping the ignored exceptions only to the invocation of FileChannel#force. This prevents us from suppressing an exception in case we run into an unexpected issue when opening the file.  However, fsyncing directories on Windows is not possible. We always suppressed this by allowing that an AccessDeniedException is thrown when attemping to open the directory for reading. Yet, per the above, this suppression also allowed other IOExceptions to be suppressed, and that should be considered a bug (e.g., not only the directory not existing, but any filesystem error and other reasons that we might get an access denied there, like genuine permissions issues). Rather than relying on exceptions for flow control and continuing to suppress there, we simply return early if attempting to fsync a directory on Windows (we should not put this burden on the caller).","closed","","jasontedor","2019-06-07T23:32:43Z","2019-06-11T10:50:05Z"
