"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1","SOLR-8573: Implement ConnectionImpl,StatementImpl,ResultSetImpl clear…","…Warnings and getWarnings","closed","","joel-bernstein","2016-01-24T03:03:41Z","2016-01-24T03:45:02Z"
"","607","Concurrently flush next buffer during commit in RandomIndexWriter","This is a spinn-off from `LUCENE-8700` that is satisfied by IndexWriter#flushNextBuffer. The idea here is to additionally call flushNextBuffer in RandomIndexWriter for better test coverage.","closed","","s1monw","2019-03-13T14:08:41Z","2019-03-14T14:43:41Z"
"","650","LUCENE-8768: Javadoc search support","This is a PR to support **""Javadoc search""** released in Java 9.  **[Before - Lucene Nightly Core Module Javadoc]** ![javadoc-nightly](https://user-images.githubusercontent.com/14330832/56313117-c7fbe280-618c-11e9-8c47-58341959919a.png)  **[After]** ![new-javadoc](https://user-images.githubusercontent.com/14330832/56313118-c7fbe280-618c-11e9-8305-23caaf4da2f3.png)  For more information, please refer to the following JIRA link. (https://issues.apache.org/jira/browse/LUCENE-8768)  Signed-off-by: Namgyu Kim","closed","","danmuzi","2019-04-17T18:50:00Z","2019-04-20T18:02:05Z"
"","146","Rename Terms to IndexedField and some related renamings, LUCENE-7633","This is a more extensive renaming:  Class renames:  Terms to IndexedField Fields to IndexedFields MultiTerms to MultiField FilterLeafReader.FilterTerms to FilterLeafReader.FilterField AssertingTerms to AssertingField  Method renames:  Terms.iterator() to IndexedField.getTermsEnum() Fields.terms() to IndexedFields.indexedField() MultiFields.getTerms() to MultiFields.getIndexedField()  Not renamed:  class MultiFields local variables IndexedField terms  *Terms extends IndexedFields in codecs package","closed","","ghost","2017-01-28T12:10:07Z","2019-06-14T11:39:32Z"
"","24","SOLR-7729: ConcurrentUpdateSolrClient ignoring the collection parameter in some methods","This is a fix for SOLR-7729. I submitted a similar patch on JIRA for the 5.2.1 version, this is an updated version for the master branch.","closed","","nicolasgavalda","2016-03-22T17:51:29Z","2016-04-20T09:36:20Z"
"","69","SOLR-9399: Delete requests do not send credentials & fails for Basic Authentication","This is a bug fix to set Authentication credential in case of delete requests.    There is a duplicate code between update & delete requests which most likely has caused this issue and left to set credentials in case of delete requests.  I'll create a separate jira to refactor the code and also tests for authentication seems to be broken.   The test class BasicAuthIntegrationTest doesn't have any test methods except the protected method doExtraTests which doesn't seems to be called from anywhere and delete tests needs to be added.","closed","","susheelks","2016-08-11T01:11:58Z","2019-01-18T22:12:33Z"
"","622","Update Tessellator logic to label if triangle edges belongs to the original polygon.","This information is then encoded and triangles are decoded using LatLonShape.decodeTriangle.","closed","","iverase","2019-03-26T15:57:13Z","2019-07-09T11:58:52Z"
"","642","SOLR-12860: MetricsHistoryHandler now always uses PKI Auth","This gets rid of the 401 errors currently seen when using e.g. basic auth.","closed","","janhoy","2019-04-11T09:07:58Z","2019-04-12T08:21:20Z"
"","23","SOLR-8626: Fix urls for nodes in cloud graph view","This fixes SOLR-8626 (identical patch submitted on JIRA) by removing the invalid (404) links on collections and cores in the graph view. The issue existed - and has been fixed - in both the flat graph view and the radial view. Additionally, when one was in the radial view and clicked on the link for a node, it would switch back to flat graph view when navigating to the other node, so the patch also improves the link in the radial view so that it preserves the user's current view type on the URL when navigating between nodes.","closed","","treygrainger","2016-03-20T04:36:41Z","2016-06-28T11:13:27Z"
"","375","LUCENE-8287: Ensure that empty regex completion queries always return no results.","This ensures consistency with the `PrefixCompletionQuery`, which returns no results for an empty regex. It also fixes the exception described in the ticket when an empty regex is provided to a context query, as the empty prefix no longer matches any suggestion terms.","closed","","jtibshirani","2018-05-16T06:28:28Z","2018-05-25T20:09:09Z"
"","649","Use Map.copyOf in lucene core","This cuts over several places that use the pattern of creating a copy of the supplied map with Map.copyOf.","closed","","s1monw","2019-04-16T14:52:34Z","2019-04-17T13:26:16Z"
"","339","SOLR-12126 Add SolrConfig to SolrRequestParsers constructor in EmbeddedSolrServer","This commit allow users to use some settings in EmbeddedSolr mode, for example - stream.body in solrconfig","closed","","squallsama","2018-03-20T11:31:16Z","2018-03-20T12:44:55Z"
"","338","Add SolrConfig to SolrRequestParsers constructor in EmbeddedSolrServer","This commit allow users to use some settings in EmbeddedSolr mode, for example - stream.body in solrconfig","closed","","squallsama","2018-03-20T11:22:47Z","2018-03-20T11:28:45Z"
"","492","Answer to TODO: Replace Manual Encoding with JSON Module","This commit adds the python `json` module to replace manual json encoding.","open","missing Jira,","MarcusSorealheis","2018-11-06T01:38:02Z","2020-03-06T11:18:45Z"
"","581","LUCENE-3041: QueryVisitor","This commit adds a visit() method to Query, allowing you to traverse query trees and analyse their structure and the terms they use for matching.","closed","","romseygeek","2019-02-20T14:13:14Z","2019-03-14T15:04:33Z"
"","377","Solr-12361: change _childDocuments to Map","This change will allow childDocuments to keep their relation to their parent document in SolrInputDocument.","closed","","moshebla","2018-05-17T06:43:23Z","2018-05-23T13:57:15Z"
"","517","LUCENE-8595: Fix interleaved DV update and reset","This change fixes a bug where interleaved update and reset value to the same doc in the same updates package looses an update if the reset comes before the update as well as loosing the reset if the update comes frist.","closed","","s1monw","2018-12-06T20:39:03Z","2018-12-07T07:27:29Z"
"","226","LUCENE-7655 Speed up geo-distance queries that match most documents","This change applies optimisation introduced in LUCENE-7641 to speed up geo-distance queries that match most documents. As in LUCENE-7641, it's done by computing the set of documents that do not match the distance predicate.","closed","","mzasada","2017-08-04T18:25:18Z","2017-08-07T11:45:40Z"
"","606","LUCENE-8671: Allow more fine-grained control over off-heap term dictionaries","This change allows to control if term-dictionaries are loaded off-heap or on heap on a per reader basis. None NRT readers will access all term dictionaries off heap including ID fields while readers that require fast ID access like all readers used within index writer will by default only load non-ID like fields heap. Additionally, IOContext has now the ability to specify if ram-usage should be minimized and can control the off vs. on-heap decisions on a per-reader basis.  Off heap term dictionaries are still only used if the index input is memory mapped.","closed","","s1monw","2019-03-12T14:44:53Z","2019-03-19T14:59:55Z"
"","601","Adding reader settings for moving fst offheap","This change adds setting for moving fst offheap, specifically address [JIRA-8671](https://issues.apache.org/jira/browse/LUCENE-8671)","open","","jainankitk","2019-03-08T22:04:13Z","2019-03-12T14:49:43Z"
"","449","[LUCENE-8462] New Arabic snowball stemmer and test dataset","This change adds an Arabic snowball stemmer based on   https://github.com/snowballstem/snowball/blob/master/algorithms/arabic.sbl  as well as an Arabic test dataset in `TestSnowballVocabData.zip` based on https://github.com/ibnmalik/golden-corpus-arabic/blob/develop/core/words.txt  It also updates the `ant patch-snowball` target to be compatible with the java classes generated by the last snowball version (tree: 1964ce688cbeca505263c8f77e16ed923296ce7a). The `ant patch-snowball` target is retro-compatible with the version of snowball stemmers used in lucene 7.x and ignores already patched classes.","closed","","Ryado","2018-09-13T12:39:42Z","2019-01-19T01:29:32Z"
"","579","LUCENE-8681: prorated early termination","This adds support for prorated early termination in TopFieldsCollector, a new unit test that demonstrates that, and a convenience method for creating a CollectorManager that uses that. It also refactors IndexSearcher to use the new convenience method and cleans up some leftover javadocs about a search parameter that was removed. See LUCENE-8681","closed","","msokolov","2019-02-19T14:48:05Z","2020-03-18T03:30:32Z"
"","183","LUCENE-7778 Removed synchronized from RAMFile methods","These methods don't seem to benefit from locking - the methods that mutate the underlying fields aren't synchronized themselves, for example  Removing these methods gives me a 2x throughput increase under concurrent load on internal benchmarks","closed","","spmason","2017-04-11T16:12:21Z","2017-05-17T12:48:18Z"
"","25","SOLR-8785: Use Metrics library for core metrics","There were three main areas that used the copied classes in org.apache.solr.util.stats: - AnalyticsStatisticsCollector - Overseer.Stats - RequestHandlerBase  This patch adds depreciation tags to all the copied classes, and also replaces all usage of those classes with classes from the Metrics library. I added one new class (org.apache.solr.util.stats.Metrics) to provide some common access patterns for metrics gathering.  This patch only adds Registry-based tracking to RequestHandlerBase, although all three areas are a fit for it. The effect is that all one needs to do is add a Reporter to the SharedMetricRegistry named “solr.registry.requesthandler” and all named request handler stats will be exported automatically.  Compatibility notes: - The “totalTime” stat has been deleted from all three areas. This never seemed very useful, and Metrics didn’t support it in the Timer class, so it would have required some extra code to keep. - RequestHandler stats are now persistent, and will no longer reset on reload.","closed","","randomstatistic","2016-03-24T20:56:42Z","2019-01-18T21:51:28Z"
"","108","Minor - Fix error message","There was a missing space in error message","closed","","hornn","2016-11-03T19:45:34Z","2019-11-27T08:29:04Z"
"","156","SOLR-10072: Fix test reliability","There is no guarantee to order of docs with the same score","closed","","mnilsson23","2017-02-10T20:07:52Z","2019-01-18T23:16:01Z"
"","541","minor syntax corrections in CSS files of Solr's Angular UI","There are some minor syntax bugs in the CSS files of the Angular UI module.","closed","missing Jira,","saschaszott","2019-01-18T11:47:23Z","2019-01-20T19:32:30Z"
"","540","minor syntax corrections in CSS files of Angular UI","There are some minor syntax bugs in the CSS files of the Angular UI module.","closed","","saschaszott","2019-01-18T10:46:15Z","2019-01-18T11:30:49Z"
"","452","SOLR-12773: Fix typos widely spread around codebase","The typos below that are widely spread around the codebase, mostly on comments plus one occurrence in the documentation and another one in a test name.  `equivilent` instead of `equivalent`  `respones` instead of `responses`  `the the` instead of `to the`","closed","","eribeiro","2018-09-15T02:02:04Z","2018-09-17T10:26:15Z"
"","401","Autoscaling Suggestions API page typo","The suggestions api is on `/api/cluster/autoscaling/suggestions` and not `/api/cluster/autoscaling/suggestion`","closed","","janhoy","2018-06-11T14:58:07Z","2018-06-11T19:28:52Z"
"","484","solr 7.5 suggest The recommended result is empty","The solr 7.5 recommendation is empty and you can specify your own dictionary","open","","lunxian8","2018-10-26T05:58:30Z","2018-11-05T18:57:08Z"
"","381","[LUCENE-8329] disk size estimator MB bug fixes","The size estimator dev tool ( dev-tools/size-estimator-lucene-solr.xls )currently : Wrongly calculates disk size in MB ( showing GB) Doesn't specify clearly that the space needed by the optimize is FREE space Avg. Document Size (KB) when they are more correctly Avg. Document Field Size (KB) Scope of this issue is just to fix these small mistakes. Out of scope is any improvement to the tool ( potentially separate Jira issues will follow)","open","","alessandrobenedetti","2018-05-23T10:23:54Z","2018-05-23T10:23:54Z"
"","62","[SOLR-9242] Fix unit test failure on Windows platform.","The root cause of the failure is the usage of URI::getPath() method in the backup/restore functionality (e.g. in BackupManager::downloadFromZK OR in the OverseerCollectionMessageHandler::processBackupAction methods). On the Windows platform, usage of URI.getPath() returns an invalid path string (e.g.  URI file:///C:/lucene-solr/solr returns /C:/lucene-solr/solr as the result of getPath() method).  Refer to following discussion for more details, http://stackoverflow.com/questions/9834776/java-nio-file-path-issue  Since the caller may have used this method to generate the string representation for the pathComponents, we implement a work-around specifically for Windows platform to remove the leading '/' character.","closed","","hgadre","2016-08-03T21:24:35Z","2016-08-05T03:08:35Z"
"","354","SOLR-12244: Change method names","The method seems to add ""sliceName"" to ""shardNames"", thus the method name ""addShardNames"" should be better ""getShardNames"" since ""get"" means getting something.","open","","Kui-Liu","2018-04-17T13:04:38Z","2021-02-03T02:42:55Z"
"","624","WIP SOLR-12860 MetricsHistoryHandler does not work with BasicAuth","The issue is that the following test break now. I think I don't like the deleted lines because of this coment   > //if this is not running inside a Solr threadpool (as in testcases)         // then no need to add any header  I will be reordering some tests as the fails are not overall to understand better the situation.  ``` [junit4] - org.apache.solr.handler.TestReplicationHandlerDiskOverFlow.testDiskOverFlow [junit4] - org.apache.solr.security.PKIAuthenticationIntegrationTest.testPkiAuth [junit4] - org.apache.solr.security.hadoop.TestDelegationWithHadoopAuth.testDelegationTokenRenew [junit4] - org.apache.solr.security.hadoop.TestDelegationWithHadoopAuth.testDelegationTokenVerify [junit4] - org.apache.solr.security.hadoop.TestDelegationWithHadoopAuth.testDelegationTokenRenewFail [junit4] - org.apache.solr.security.hadoop.TestDelegationWithHadoopAuth.testZNodePaths [junit4] - org.apache.solr.security.hadoop.TestDelegationWithHadoopAuth.testDelegationTokenCancel [junit4] - org.apache.solr.security.hadoop.TestDelegationWithHadoopAuth.testDelegationTokenSolrClient [junit4] - org.apache.solr.security.hadoop.TestDelegationWithHadoopAuth.testDelegationTokenCancelFail [junit4] - org.apache.solr.security.BasicAuthIntegrationTest.testBasicAuth ```","closed","","yael-lorenzo","2019-03-28T12:02:13Z","2019-04-01T12:54:06Z"
"","576","LUCENE-8631: Longest-Matching for User words in Nori Tokenizer","The issue is described in [LUCENE-8631](https://issues.apache.org/jira/browse/LUCENE-8631).   The existing nori tokenizer is able to do Longest-Matching for system words, but not for user words. The reason why it doesn’t work for user words is because their large costs severely mitigate bigram costs. Longest-Matching is a natural behavior in that system words, whose costs were generated from large Korean corpus, can be applied. Also, it is needed when to search exact words. So, we want it also apply to user words.  Thankfully, Jim Ferenczi, who is a nori developer, gave to me some suggestions to fix it (ref. [LUCENE-8631](https://issues.apache.org/jira/browse/LUCENE-8631)). I followed the “Implement longest-match first in the dictionary” because it is simplest and efficient way. As Jim mentioned, it provides not only Longest-Matching, but also speed-up because it retains a single path for user words.  The idea is, whenever to iterate the input stream by character step, the longest word is only stored and its subset words are ignored. There are two steps to implement this. First, before break in the for-loop, we call at once add function with posAheadMax info. Second, we remember global_posAheadMax during while-loop and use it to avoid  storing subset words at different positions.   For checking how robust is the implementation, we tested using about 100,000 Korean words, where subset words are included, and all test cases were passed.   Yeongsu Kim high_yeongsu@wemakeprice.com Wemakeprice Inc., South Korea https://www.wemakeprice.com","closed","","gritmind","2019-02-16T17:01:46Z","2019-03-12T09:46:00Z"
"","303","Guide update: Grouping XML commands and curl description extension","The guide does not say anything about grouping XML commands with the  element, I =found it only once in some wiki. In addition I have faced problems myself wuth curl when dealing with multi gigabyte XML files. The solution I describe here works nicely. Tested with SOLR 7.1.","closed","","dwojtas","2018-01-11T16:56:31Z","2018-02-01T21:27:47Z"
"","508","Simplified JAVA_VER_NUM to utilize single expr execution","The fragility of the previous JAVA_VER_NUM causes solr to fail to start when JAVA_TOOL_OPTIONS is set:  ``` + /jenkins/tools/hudson.model.JDK/jdk8-latest/bin/java -version + JAVA_VER=Picked up JAVA_TOOL_OPTIONS: -Dmaven.ext.class.path=""/jenkins/workspace/Bates/bates-java_ver-test/7@tmp/withMavena29da72d/pipeline-maven-spy.jar"" -Dorg.jenkinsci.plugins.pipeline.maven.reportsFolder=""/jenkins/workspace/Bates/bates-java_ver-test/7@tmp/withMavena29da72d""  java version ""1.8.0_172"" Java(TM) SE Runtime Environment (build 1.8.0_172-b11) Java HotSpot(TM) 64-Bit Server VM (build 25.172-b11, mixed mode) + echo Picked up JAVA_TOOL_OPTIONS: -Dmaven.ext.class.path=""/jenkins/workspace/Bates/bates-java_ver-test/7@tmp/withMavena29da72d/pipeline-maven-spy.jar"" -Dorg.jenkinsci.plugins.pipeline.maven.reportsFolder=""/jenkins/workspace/Bates/bates-java_ver-test/7@tmp/withMavena29da72d"" java version ""1.8.0_172"" Java(TM) SE Runtime Environment (build 1.8.0_172-b11) Java HotSpot(TM) 64-Bit Server VM (build 25.172-b11, mixed mode) + head -1 + awk -F "" /version/ {print $2} + sed -e s/^1\.// + sed -e s/[._-].*$// + JAVA_VER_NUM=/jenkins/workspace/Bates/bates + echo /jenkins/workspace/Bates/bates ```","open","","LinkMJB","2018-11-26T21:06:52Z","2020-04-22T22:10:42Z"
"","58","SOLR-8379: Text file extension is 'txt'","The do-not-highlight comparison was expecting type to be text, but it is based on extension, so was actually 'txt'. This was causing a stack trace and aborted population of the content box.","closed","","arafalov","2016-07-28T02:40:24Z","2016-07-29T07:36:29Z"
"","272","Correct inconsistency on plugin support","The deleted sentence contradicts the sentence near the top of this document that says “All authentication and authorization plugins can work with Solr whether they are running in SolrCloud mode or standalone mode.”","closed","","jrpool","2017-11-11T03:41:07Z","2019-11-27T07:56:15Z"
"","97","[SOLR-9642] Refactor the snapshot cleanup mechanism to rely on Lucene","The current snapshot cleanup mechanism is based on reference counting the index files shared between multiple segments. Since this mechanism completely skips the Lucene APIs, it is not portable (e.g. it doesn't work on 4.10.x version).  This patch provides an alternate implementation which relies exclusively on Lucene IndexWriter (+ IndexDeletionPolicy) for cleanup.","closed","","hgadre","2016-10-16T23:54:36Z","2016-10-18T23:05:37Z"
"","68","[SOLR-9269] Refactor the snapshot cleanup mechanism to rely on Lucene","The current snapshot cleanup mechanism is based on reference counting the index files shared between multiple segments. Since this mechanism completely skips the Lucene APIs, it is not portable (e.g. it doesn't work on 4.10.x version).  This patch provides an alternate implementation which relies exclusively on Lucene IndexWriter (+ IndexDeletionPolicy) for cleanup.","closed","","hgadre","2016-08-11T00:18:43Z","2016-10-16T23:57:15Z"
"","446","LUCENE-8890: Improve parallel iteration of two lists of same length.","The class `BooleanWeight` takes a `BooleanQuery` (a list of `BooleanClause`s) as input and maintains a list of weights corresponding to the clauses. The clauses and the weights are iterated in parallel in various places throughout the class. At these code locations, it is not obvious that these two lists always have the same length, i.e., that the parallel iteration is safe. Moreover, the parallel iteration is not well supported by the Java language, which is why this operation is implemented differently throughout the code.  This patch joins the two lists to enable parallel iteration without managing two separate lists. This makes the code’s intent more obvious and prevents bugs due to the lists getting out of sync by a future change.  This problem was identified by our automated detector [MUDetect](https://github.com/stg-tud/MUDetect/). We would very much appreciate your feedback on our patch. Thank you very much!","closed","","salsolatragus","2018-09-05T11:39:38Z","2019-06-28T07:50:38Z"
"","411","Debugging PriorityQueue.java","The change I'm proposing eliminates a problem by properly checking the validity of maxSize itself, before even computing heapSize=maxSize+1.  In the constructor, when maxSize has a value == Integer.MAX_VALUE, then heapSize = maxSize+1 ends up being negative, more exactly -2147483648 (aka. Integer.MIN_VALUE.)  This is quite a bug because then the if statement checking whether heapSize is larger than ArrayUtil.MAX_ARRAY_LENGTH ends up false, so the IllegalArgumentException is never thrown. Yet the code in PriorityQueue.java fails immediately afterwards when reaching ""new Object[heapSize]"" because of heapSize being negative, causing a NegativeArraySize exception.  We saw this problem with our software which was using (correction--> ) Solr 6.6.1 in cloud mode.","closed","","rsaavedraf","2018-06-26T19:23:52Z","2019-01-18T23:42:39Z"
"","563","Support for moving FST offheap except PK","The change adds support for initializing FST offheap using mapped files during index open. To avoid impact on PKLookup performance, this change initializes FST offheap only if docCount != sumDocFreq (implying field is not PK) and indexInput isinstanceof ByteBufferIndexInput (implying MMapDirectory is being used). More details can be found in the issue below:  https://issues.apache.org/jira/browse/LUCENE-8635","closed","","jainankitk","2019-02-04T19:04:36Z","2019-02-19T18:48:39Z"
"","515","LUCENE-8593: Specialize single value numeric DV updates","The case when all values are the the same on a numeric field update is common for soft_deletes. With the new infrastucture for buffering DV updates we can gain an easy win by specializing the applied updates if all values are the same.","closed","","s1monw","2018-12-05T21:05:29Z","2018-12-06T08:46:37Z"
"","308","Add a suggester that operates on tokenized values from a field","The `TokenizingSuggester` is suspiciously similar to the `AnalyzingInfixSuggester` (and presumably it could be merged into or extend the `AnalyzingInfixSuggester`), but with an additional feature (the `tokenizingAnalyzer`) that allows us to pre-tokenizing suggestions into a manageable size (perhaps single words, shingles of multiple words, or perhaps even NLP-extracted noun phrases) .  Our use case is providing autocomplete suggestions for searching within OCR text of a document (searching within is powered by highlighting), and we're dealing with some page-level OCR that can easily exceed the 32k size limit for the `AnalyzingInfixSuggester`'s exacttext string field.","open","","cbeer","2018-01-17T17:33:07Z","2018-09-12T21:45:33Z"
"","464","SOLR-12555: refactor tests in package org.apache.solr.search","Tests are refactored to use expectThrows instead of try/catch.","closed","","barrotsteindev","2018-10-07T18:57:10Z","2018-11-03T14:49:58Z"
"","138","EdgeNGramTokenFilter drops payloads","Test and fix for https://issues.apache.org/jira/browse/LUCENE-7630.","closed","","xabbu42","2017-01-13T15:00:41Z","2017-01-16T10:18:07Z"
"","159","Merge pull request #1 from apache/master","sync","closed","","lyc1116","2017-02-19T07:37:05Z","2017-02-19T07:38:31Z"
"","415","SOLR-12458: ADLS support for SOLR","Support for ADLS","open","","hbasejanitor","2018-07-09T14:58:29Z","2019-06-14T12:53:21Z"
"","371","SOLR-9685 tag a query in JSON syntax","Support following structure: {""#RCOLOR"": { ""term"": { ""f"": ""color"",""v"": ""blue""}}}  RCOLOR will be tag name","closed","","squallsama","2018-05-05T11:57:40Z","2019-01-19T01:11:17Z"
"","300","SOLR-11831: Skip second grouping step if group.limit is 1 (aka Las Vegas Patch)","Summary: In cases where we do grouping and ask for  {{group.limit=1}} only it is possible to skip the second grouping step. In our test datasets it improved speed by around 40%.  Essentially, in the first grouping step each shard returns the top K groups based on the highest scoring document in each group. The top K groups from each shard are merged in the federator and in the second step we ask all the shards to return the top documents from each of the top ranking groups.  If we only want to return the highest scoring document per group we can return the top document id in the first step, merge results in the federator to retain the top K groups and then skip the second grouping step entirely.","open","","mjosephidou","2018-01-08T17:30:03Z","2019-12-10T14:18:21Z"
"","373","SOLR-7767: New Zookeeper cluster view, first cut","Still needs some buttons for showing details and refresh and probably some cleanup","closed","","janhoy","2018-05-08T09:05:30Z","2018-08-15T11:40:12Z"
"","336","SOLR-11774 langid.map.individual broken","Some failing tests. It is `langid.map.individual` that is broken, independent from `keepOrig` setting.","closed","","janhoy","2018-03-15T08:44:02Z","2019-01-15T16:30:59Z"
"","101","SOLR-9668 Support cursor paging in SolrEntityProcessor","SolrEntityProcessor paginates using the start and rows parameters which can be very inefficient at large offsets. In fact, the current implementation is impracticable to import large amounts of data (10M+ documents) because the data import rate degrades from 1000docs/second to 10docs/second and the import gets stuck. This patch introduces support for cursor paging which offers more or less predictable performance. In my tests the time to fetch the 1st and 1000th pages was about the same and the data import rate was stable throughout the entire import.  To enable cursor paging a user needs to add a ""sort"" attribute in the entity configuration:  ``` xml                url=""http://localhost:8983/solr/collection1"">          ```  If the ""sort"" attribute is missing then the default start/rows pagination is used.","closed","","YegorKozlov","2016-10-20T08:50:32Z","2019-01-18T22:27:19Z"
"","164","SOLR-10250: SolrCloudClient doesn't return 'adds' in Response when' versions' is requested","SolrCloudClient doesn't return 'adds' in Response when' versions' is requested  https://issues.apache.org/jira/browse/SOLR-10250","closed","","BorisNaguet","2017-03-08T17:40:30Z","2017-10-17T11:20:59Z"
"","44","SOLR-8981","SOLR-8981 upgrade to Tika 1.13","closed","","tballison","2016-06-16T16:57:18Z","2016-06-18T17:09:55Z"
"","437","SOLR-12672","SOLR-12672 initial commit.","open","","cahilltr","2018-08-16T16:56:07Z","2018-08-16T16:56:07Z"
"","363","SOLR-12276","SOLR-12276  This pull request is a start.  Done so far:  - Menus - Dashboard tab - Collections tab (not finished) - ""ant server""","open","","jdyer1","2018-04-25T20:12:09Z","2018-07-07T07:07:08Z"
"","312","Solr 11898","SOLR-11898 adding classes missed in SOLR-11898","closed","","millerjeff0","2018-01-24T20:22:10Z","2018-04-06T14:38:57Z"
"","289","SOLR-11745: change logging references to getName","SOLR-11745  this doesn't resolve to anything by object name, Eg: org.apache.solr.core.SolrCore@4812a0d7","closed","","millerjeff0","2017-12-11T21:57:06Z","2021-09-29T21:21:11Z"
"","291","jira/solr-11701","SOLR-11701 upgrade to Tika 1.17","closed","","tballison","2017-12-15T02:21:42Z","2019-01-19T01:56:11Z"
"","262","SOLR-11443: Remove the usage of workqueue for Overseer","SOLR-11443: Remove the usage of workqueue for Overseer","closed","","CaoManhDat","2017-10-14T02:34:25Z","2017-10-14T08:06:46Z"
"","233","Branch 6 6","SOLR-11222: Facet estimation on stream","closed","","peshashulc","2017-08-13T09:55:58Z","2019-01-19T01:24:33Z"
"","294","ZkStateReader: cache LazyCollectionRef (SOLR-8327)","SOLR-10524 introduced zk state update batching, with a default interval of 2 seconds.  That opens the door for a simple, time-based cache on the read side to address the issue described in SOLR-8327","closed","","slackhappy","2017-12-19T18:22:48Z","2019-01-19T00:23:24Z"
"","240","SOLR-10317","SOLR-10317: Integrate new benchmark suite [https://issues.apache.org/jira/browse/SOLR-10317]","open","","viveknarang","2017-08-29T19:15:18Z","2017-08-29T19:15:18Z"
"","40","SOLR-8542: Integrate Learning to Rank into Solr","Solr Learning to Rank (LTR) provides a way for you to extract features directly inside Solr for use in training a machine learned model. You can then deploy that model to Solr and use it to rerank your top X search results. This concept was previously presented by the authors at Lucene/Solr Revolution 2015.  See the [README](https://github.com/bloomberg/lucene-solr/tree/master-ltr-plugin-release/solr/contrib/ltr) for more information on how to get started.","closed","","mnilsson23","2016-05-27T14:35:37Z","2019-01-18T21:58:18Z"
"","4","SOLR-8542: Integrate Learning to Rank into Solr","Solr Learning to Rank (LTR) provides a way for you to extract features directly inside Solr for use in training a machine learned model. You can then deploy that model to Solr and use it to rerank your top X search results. This concept was previously presented by the authors at Lucene/Solr Revolution 2015","closed","","diegoceccarelli","2016-01-29T18:40:09Z","2016-05-27T14:38:26Z"
"","386","SOLR-12416 Add autoDeleteAge to optional router params","Since autoDeleteAge is not in either REQUIRED_ROUTER_PARAMS or OPTIONAL_ROUTER_PARAMS the CollectionsHandler will not pass it on and it will be ignored in the CREATEALIAS command.","closed","","saua","2018-05-29T11:17:00Z","2019-01-19T01:15:40Z"
"","534","SOLR-13137: NPE when /admin/zookeeper/statusin standalone mode","Simply throw an exception with 400 code for a cleaner experience","closed","","janhoy","2019-01-15T11:50:18Z","2019-01-15T16:26:34Z"
"","498","[LUCENE-8565] SimpleQueryParser to support field filtering (aka Add field:text operator)","SimpleQueryParser lacks support for the `field:` operator for creating queries which operate on fields other than the default field. Seems like one can either get the parsed query to operate on a single field, or on ALL defined fields (+ weights). No support for specifying `field:value` in the query.  It probably wasn't forgotten, but rather left out for simplicity, but since we are using this QP implementation more and more (mostly through Elasticsearch) we thought it would be useful to have it in.","open","","synhershko","2018-11-14T10:14:31Z","2018-11-14T11:28:19Z"
"","654","LUCENE-8778: Define analyzer SPI names as static final fields and document the names","See: https://issues.apache.org/jira/browse/LUCENE-8778  Changes in this PR: - Define SPI names as static final fields. - Document SPI names by custom Javadoc tag `@lucene.spi`. - Add validation rules for `NAME` field definition and the Javadoc tag. - Change SPI loader to get the names from the new `NAME` fields","closed","","mocobeta","2019-04-25T17:04:40Z","2019-06-22T04:36:08Z"
"","384","LUCENE-8332 move CompletionTokenStream to ConcatenateGraphFilter","See JIRA issue for overview comments.","closed","","dsmiley","2018-05-25T21:58:33Z","2018-06-11T15:02:57Z"
"","518","SOLR-13025: SchemaSimilarityFactory fallback to LegacyBM25Similarity","See https://issues.apache.org/jira/browse/SOLR-13025","closed","","janhoy","2018-12-07T10:25:54Z","2018-12-12T10:22:20Z"
"","254","LUCENE-7978: Improve Readme with ivy-bootstrap and Ivy known workaround","See https://issues.apache.org/jira/browse/LUCENE-7978 for the full description.","closed","","antonmry","2017-09-27T12:07:13Z","2017-09-29T12:56:21Z"
"","390","Refactor QueryElevationComponent to prepare query subset matching [SOLR-11865]","See comments in https://issues.apache.org/jira/browse/SOLR-11865","closed","","bruno-roustant","2018-05-31T16:10:44Z","2019-12-10T21:33:23Z"
"","505","LUCENE-8548: Reevaluate scripts boundary break in Nori's tokenizer","See [LUCENE-8548](https://issues.apache.org/jira/browse/LUCENE-8548).","closed","","cbismuth","2018-11-23T16:17:43Z","2019-04-03T21:12:57Z"
"","223","SOLR-11154: return useDocValuesAsStored fields in child documents","return useDocValuesAsStored fields in child documents","closed","","onumossn","2017-07-26T23:08:41Z","2019-01-18T23:56:34Z"
"","166","LUCENE-7580 of 8 Mar 2017.","Resolves a conflict with recent simplification of NearSpanUnordered. Includes recent SpanSynonymQuery.","closed","","ghost","2017-03-08T22:27:05Z","2017-03-26T18:52:54Z"
"","5","SOLR-8639 replace static SimpleDateFormat with threadsafe jodatimeDateFormatter","Resolve issue SOLR-8639:  sinceDateParser and afterFmt are declared as static variables of type SimpleDateFormat which is not threadsafe. This may cause data corruption and an incorrect value to be returned by the methods that use them.","closed","","mbreslow","2016-02-04T03:06:43Z","2020-09-21T16:44:10Z"
