"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1872","Merge pull request #1 from spring-projects/master","源码同步","closed","","ganyinglong","2018-07-07T04:06:32Z","2018-07-09T13:21:22Z"
"","21610","CookieWebSessionIdResolver doesn't recognise https scheme when used with ForwardedHeaderFilter [SPR-17072]","**[Mahan Hashemizadeh](https://jira.spring.io/secure/ViewProfile.jspa?name=mahanhz)** opened **[SPR-17072](https://jira.spring.io/browse/SPR-17072?redirect=false)** and commented  CookieWebSessionIdResolver sets the secure flag if it detects that the scheme is https.  **Note:** **SPR-16980** adds the ability to configure this yourself.  If ones setup is such that SSL termination occurs at the load balancer then the server will always think that the request is http.  In the Spring Webflux documentation it states that one can use the ForwardedHeaderFilter (https://docs.spring.io/spring/docs/current/spring-framework-reference/web-reactive.html#webflux-filters-forwarded-headers) to address this issue.  However this does not work (appears that the CookieWebSessionIdResolver is evaluated before the forwarded header filter has had a chance to mutate the uri).  I have created a github repository to reproduce this: https://github.com/mahanhz/secureflag  To check that my custom forwarded header filter works I compared the session cookie secure flag to the **Strict-Transport-Security** header in **StrictTransportSecurityServerHttpHeadersWriter** of spring-security (which sets the header using the same approach).  When the sample application is run using http via gradle:  **SPRING_PROFILES_ACTIVE=default,usingHttp ./gradlew bootRun**  Then there is no secure flag on the session cookie and there is also no **Strict-Transport-Security** header which is what I would expect.  However when the sample application is run using https via gradle:  **./gradlew bootRun**  Then there is still no secure flag on the session cookie but the **Strict-Transport-Security** header is now present which indicates that CookieWebSessionIdResolver does not recognise that the uri is https but StrictTransportSecurityServerHttpHeadersWriter does.  ---  **Issue Links:** - #21518 Provide more control for setting the secure flag on the session cookie  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/a8a1fc6de5be2307eb56844ac1df1a09168f2ad9, https://github.com/spring-projects/spring-framework/commit/2e4f5a7923993cc1d135d8a1bf75dc5a09c29d65, https://github.com/spring-projects/spring-framework/commit/41aa4218af442f94f889ad03082ffddcd4e7da1c","closed","type: enhancement,","spring-projects-issues","2018-07-20T17:52:00Z","2019-01-11T12:47:06Z"
"","21518","Provide more control for setting the secure flag on the session cookie [SPR-16980]","**[Mahan Hashemizadeh](https://jira.spring.io/secure/ViewProfile.jspa?name=mahanhz)** opened **[SPR-16980](https://jira.spring.io/browse/SPR-16980?redirect=false)** and commented  CookieWebSessionIdResolver sets the secure flag if it detects that the scheme is https.  Could this be adjusted so that we can set this value ourselves, in the same way that we can set the cookie name? Or maybe even via a property like it is in the servlet world (server.servlet.session.cookie.secure)?  Currently my workaround is to extend CookieWebSessionIdResolver and override setSessionId:  ```java public class MySecureCookieWebSessionIdResolver extends CookieWebSessionIdResolver {      @Override     public void setSessionId(final ServerWebExchange exchange, final String id) {         String name = getCookieName();         String path = exchange.getRequest().getPath().contextPath().value() + ""/"";         exchange.getResponse().getCookies().set(name, ResponseCookie.from(name, id).path(path).maxAge(getCookieMaxAge()).httpOnly(true).secure(true).build());     } } ```  And then create a configuration bean:  ```java @Bean public WebSessionIdResolver webSessionIdResolver() {     return new MySecureCookieWebSessionIdResolver(); } ```  ---  **Issue Links:** - #20964 CookieWebSessionIdResolver should leverage SameSite Cookie Attribute - #21610 CookieWebSessionIdResolver doesn't recognise https scheme when used with ForwardedHeaderFilter","closed","type: enhancement,","spring-projects-issues","2018-06-28T10:11:50Z","2019-01-11T16:07:38Z"
"","19778","Cyclic bean methods cause IllegalArgumentException instead of BeanCurrentlyInCreationException [SPR-17358]","**[Madhura Bhave](https://jira.spring.io/secure/ViewProfile.jspa?name=mbhave)** opened **[SPR-17358](https://jira.spring.io/browse/SPR-17358?redirect=false)** and commented  Following some recent changes on master, tests related to `BeanCurrentlyInCreationException` in Spring Boot have [started failing](https://github.com/spring-projects/spring-boot/blob/master/spring-boot-project/spring-boot/src/test/java/org/springframework/boot/diagnostics/analyzer/BeanCurrentlyInCreationFailureAnalyzerTests.java#L54). These tests expect the cyclic beans to throw a `BeanCurrentlyInCreationException` but instead we get a `IllegalArgumentException: wrong number of arguments`.   It might be related to the change [here.](https://github.com/spring-projects/spring-framework/commit/f662e3b85eb4c41087fcf5bb35f23fbfb1020b42#diff-cc936e219ae3ea6fcf88f74629262bbdR778)  ---  **Affects:** 5.1.1  **Issue Links:** - #21894 ""IllegalArgumentException: wrong number of arguments"" is thrown instead of NoUniqueBeanDefinitionException (_**""is duplicated by""**_) - #13532 Convenient programmatic bean retrieval with qualifiers  0 votes, 5 watchers","closed","in: core,","spring-projects-issues","2018-10-10T00:42:49Z","2019-01-11T14:14:24Z"
"","21447","StringUtils.cleanPath should not strip off the entire path for `file:./` [SPR-16908]","**[Madhura Bhave](https://jira.spring.io/secure/ViewProfile.jspa?name=mbhave)** opened **[SPR-16908](https://jira.spring.io/browse/SPR-16908?redirect=false)** and commented  `StringUtils.cleanPath(""file:../"")` returns `file:../` and it doesn't seem right that `StringUtils.cleanPath(""file:./"")` returns `file:`   ---  **Affects:** 5.0.6  **Reference URL:** https://github.com/spring-projects/spring-boot/issues/13147  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/d3b06a15f25f2474f87936d6cad0db43f56bac95, https://github.com/spring-projects/spring-framework/commit/7a02e438e7fa64840ee645fd4873bb074e694625  0 votes, 5 watchers","closed","type: enhancement,","spring-projects-issues","2018-06-05T21:20:51Z","2018-07-26T08:09:29Z"
"","21242","Improve Kotlin + bean validation documentation [SPR-16701]","**[Maciej Sawicki](https://jira.spring.io/secure/ViewProfile.jspa?name=humberd)** opened **[SPR-16701](https://jira.spring.io/browse/SPR-16701?redirect=false)** and commented  [GitHub example project with tests](https://github.com/Humberd/spring-annotation-kotlin) [Stackoverflow question](https://stackoverflow.com/questions/49712645/spring-does-not-create-constraintvalidator)  When I define a class implementing _CustomValidator_ and it uses an annotation, for example _ValidateRoles_, which is defined in Kotlin, then the field validation with this annotation doesn't work. Whereas when I define the same annotation in Java the field is validated correctly.  Consider these 2 the same annotations. One is in Java and one is in Kotlin.  ```java @Constraint(validatedBy = RolesValidatorJava.class) @Retention(RetentionPolicy.RUNTIME) @Target({ElementType.FIELD}) public @interface ValidateRolesJava {     String message() default ""{com.example.demo.validators.ValidateRolesJava.message}"";      Class[] groups() default {};      Class[] payload() default {}; }  @Constraint(validatedBy = arrayOf(RolesValidatorKotlin::class)) @Retention(AnnotationRetention.RUNTIME) @Target(AnnotationTarget.FIELD, AnnotationTarget.PROPERTY) annotation class ValidateRolesKotlin(     val message: String = ""{com.example.demo.validators.ValidateRolesKotlin.message}"",     val groups: Array> = arrayOf(),     val payload: Array> = arrayOf() ) ```  Consider 2 Validators one for each Annotation, each returning false upon validation  ```java public class RolesValidatorJava implements ConstraintValidator> {     @Override     public boolean isValid(Collection value, ConstraintValidatorContext context) {         return false;     } }  class RolesValidatorKotlin : ConstraintValidator> {     override fun isValid(value: Collection?, context: ConstraintValidatorContext?): Boolean {         return false     } } ```  Now we have 2 the same request bodies, but with different annotations  ```java class JavaBodyDTO {     @NotNull     @ValidateRolesJava     var roles: Set = emptySet() }  class KotlinBodyDTO {     @NotNull     @ValidateRolesKotlin     var roles: Set = emptySet() } ```  Each response should return 400  ```java @PostMapping(""/updateRolesJava"") fun updateRolesJava(@RequestBody @Valid body: JavaBodyDTO): ResponseEntity {     // this should never reach because validator invalidates body     return ResponseEntity(HttpStatus.OK) }  @PostMapping(""/updateRolesKotlin"") fun updateRolesKotlin(@RequestBody @Valid body: KotlinBodyDTO): ResponseEntity {     // this should never reach because validator invalidates body, but the validation doesn't work     return ResponseEntity(HttpStatus.OK) } ```    ---  **Affects:** 5.0.5  **Reference URL:** https://github.com/Humberd/spring-annotation-kotlin  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/e4298e8366bb5429cff9b51f05c4c86373179b5b, https://github.com/spring-projects/spring-framework/commit/1be585562faa405f491fa7e941140fac9618b4e5","closed","type: task,","spring-projects-issues","2018-04-08T10:43:58Z","2018-05-08T08:53:23Z"
"","21857","Quartz job bean can't have constructor with injected parameters [SPR-17323]","**[m-kay](https://jira.spring.io/secure/ViewProfile.jspa?name=m-kay)** opened **[SPR-17323](https://jira.spring.io/browse/SPR-17323?redirect=false)** and commented  When configuring a Quartz JobDetail with a bean which does not have a default constructor but only a constructor with argumnets to be injected the AutowireCapableBeanJobFactory fails to create the job. When removing the parameters from the constructor and use field injection everything works fine, however field injection is not recommended.  I'm using spring boot 2.0.5 with the starter spring-boot-starter-quartz and my configuration looks like following:     ```java @Configuration public class QuartzConfig {   @Bean(name = ""myQuartzJobDetail"")  public JobDetailFactoryBean myQuartzJobDetail() {   JobDetailFactoryBean jobDetailFactory = new JobDetailFactoryBean();   jobDetailFactory.setJobClass(MyJob.class);   jobDetailFactory.setDurability(true);   return jobDetailFactory;  }   @Bean  public CronTriggerFactoryBean advertisementUpdaterTrigger(@Qualifier(""myQuartzJobDetail"") JobDetail job) {   CronTriggerFactoryBean cronTriggerFactoryBean = new CronTriggerFactoryBean();   cronTriggerFactoryBean.setCronExpression(""0 0/1 * * * ? *"");   cronTriggerFactoryBean.setJobDetail(job);   return cronTriggerFactoryBean;  }  } ```  MyJob which does not work  ```java @Component @Scope(BeanDefinition.SCOPE_PROTOTYPE) class MyJob extends QuartzJobBean {    private SomeService someService;   @Autowired  public MyJob(SomeService someService) {   this.someService = someService;  }   protected void executeInternal(JobExecutionContext context){   System.out.println(""data from service "" + someService.getData());  } } ```  MyJob which works  ```java @Component @Scope(BeanDefinition.SCOPE_PROTOTYPE) class MyJob extends QuartzJobBean {   @Autowired  private SomeService someService;   protected void executeInternal(JobExecutionContext context){   System.out.println(""data from service "" + someService.getData());  } } ```     In my opinion the job factory should not create a new instance but rather get the instance from the application context and let the context create the instance if the scope is set to prototype.     ---  **Issue Links:** - #19337 Ability to suppress ""rejectedValue"" in error responses  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/19f33479322c17543b48d2a2ee9d68e95a3925f0","closed","type: enhancement,","spring-projects-issues","2018-10-02T13:38:28Z","2019-01-11T14:16:01Z"
"","21656","Handling multiple @XXXMapping annotations on same handler method [SPR-17119]","**[László Stahorszki](https://jira.spring.io/secure/ViewProfile.jspa?name=rolaca11)** opened **[SPR-17119](https://jira.spring.io/browse/SPR-17119?redirect=false)** and commented  When using the _`@GetMapping`, `@PostMapping`, ..._ shorthand annotations, except for the first one, all these annotation are ignored.  Of course it means that only the first `@RequestMapping` annotation is being used.  After short looking around, I'd guess instead of using the  ```java RequestMapping requestMapping = AnnotatedElementUtils.findMergedAnnotation(element, RequestMapping.class); ```  in _org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping_:257, maybe using  ```java Set requestMapping = AnnotatedElementUtils.findAllMergedAnnotations(element, RequestMapping.class); ```  plus required refactors with it could improve the situation.  Thanks in advance,  László Stahorszki  ---  **Affects:** 5.1 RC1","closed","type: enhancement,","spring-projects-issues","2018-08-02T12:46:54Z","2020-03-12T16:55:09Z"
"","21629","AbstractAuthenticationToken shadows Authentication methods, in some cases with bad return types [SPR-17092]","**[László Stahorszki](https://jira.spring.io/secure/ViewProfile.jspa?name=rolaca11)** opened **[SPR-17092](https://jira.spring.io/browse/SPR-17092?redirect=false)** and commented  I was trying to implement a Delegating token, when I realized that in the _Authentication.java_ there is a method declaration:  ```java Collection getAuthorities(); ```  A method with same signature is implemented in the _AbstractAuthenticationToken.java_:  ```java public Collection getAuthorities() {    return authorities; } ```  As you can see, the return type is slightly different, so when I'm creating a _AbstractAuthenticationToken_ that delegates to other _Authentication_, I have to cast the return type, which is kinda ugly:  ```java @Override public Collection getAuthorities() {     return (Collection) delegate.getAuthorities(); } ```  I think the method in _AbstractAuthenticationToken_ should override the method in the interface and have the same return type to avoid this kind of headache   ---  **Affects:** 5.0.8","closed","status: invalid,","spring-projects-issues","2018-07-26T11:31:52Z","2019-01-12T05:18:25Z"
"","21509","Scoped data container [SPR-16971]","**[László Stahorszki](https://jira.spring.io/secure/ViewProfile.jspa?name=rolaca11)** opened **[SPR-16971](https://jira.spring.io/browse/SPR-16971?redirect=false)** and commented  My suggestion would be some kind of a generic data container, whose scope can be parameterized. There could be some annotation, let's say  ```java @ScopedContainer(scope = ""some_scope"") ```  that can be applied to fields, or setter methods.  A typical use-case would be, when I want to store some data in a bean of scope _singleton_, but I need the data _List_ to be session scoped. I could then write a code:  ```java @Component public class MySingletonBean {      @ScopedContainer(scope=""session"")     private List dataForSession;      public List getStrings() {         return dataForSession;     }     ... } ```  A work around for this feature is creating a generic bean for every scope and using proxy to inject, but I think we could all at some point make use of some feature like this.   --- No further details from [SPR-16971](https://jira.spring.io/browse/SPR-16971?redirect=false)","open","in: core,","spring-projects-issues","2018-06-24T17:53:25Z","2019-01-11T16:08:43Z"
"","21166","FactoryBeanRegistrySupport atomicity issues [SPR-16625]","**[László Magyar](https://jira.spring.io/secure/ViewProfile.jspa?name=magyarl)** opened **[SPR-16625](https://jira.spring.io/browse/SPR-16625?redirect=false)** and commented  Within org.springframework.beans.factory.support.FactoryBeanRegistrySupport found some issues with atomic operation. Please check PR.  ---  **Affects:** 4.3.14, 5.0.4  **Issue Links:** - #21119 SimpleAliasRegistry registerAlias not atomic - #21161 Consistent thread-safe iteration in DefaultSingletonBeanRegistry - #21168 Address race condition within spring that causes about-to-be-created-bean exceptions  **Referenced from:** pull request https://github.com/spring-projects/spring-framework/pull/1749  **Backported to:** [4.3.15](https://github.com/spring-projects/spring-framework/milestone/164?closed=1)","closed","in: core,","spring-projects-issues","2018-03-22T19:55:30Z","2019-01-11T15:11:22Z"
"","21161","Consistent thread-safe iteration in DefaultSingletonBeanRegistry [SPR-16620]","**[László Magyar](https://jira.spring.io/secure/ViewProfile.jspa?name=magyarl)** opened **[SPR-16620](https://jira.spring.io/browse/SPR-16620?redirect=false)** and commented  Refactor concurrency within org.springframework.beans.factory.support.DefaultSingletonBeanRegistry  ---  **Affects:** 4.3.14, 5.0.4  **Issue Links:** - #21166 FactoryBeanRegistrySupport atomicity issues  **Referenced from:** pull request https://github.com/spring-projects/spring-framework/pull/1745  **Backported to:** [4.3.15](https://github.com/spring-projects/spring-framework/milestone/164?closed=1)","closed","in: core,","spring-projects-issues","2018-03-20T23:45:51Z","2019-01-11T15:11:06Z"
"","21881","AnnotationMetadata.getAnnotationAttributes inconsistency for empty array in ASM implementation [SPR-17347]","**[LutherWest](https://jira.spring.io/secure/ViewProfile.jspa?name=lutherwest)** opened **[SPR-17347](https://jira.spring.io/browse/SPR-17347?redirect=false)** and commented  Different implementations of `AnnotationMetadata` provides different annotation attributes. Currently, it makes `ImportBeanDefinitionRegistrar` inconsistent due to provided `AnnotationMetadata` in `registerBeanDefinitions(...)` method.     For the test case below, `StandardAnnotationMetadata` will return an empty `String` array (as expected). But `AnnotationMetadataReadingVisitor` will return `Hello world!`.     Please, consider the following test case:  ```java @SpringBootTest(classes = ClassAnnotationMetadataTest.class) @ClassAnnotationMetadataTest.SimpleAnnotation(arrayProperty = {}) // force emptiness @RunWith(SpringRunner.class) public class ClassAnnotationMetadataTest {      @Autowired     private ResourceLoader resourceLoader;      private MetadataReaderFactory metadataReaderFactory;      @Before     public void setup() {         this.metadataReaderFactory = new CachingMetadataReaderFactory(resourceLoader);     }      @Test     public void annotationMetadataResultInconsistency() throws IOException {         AnnotationMetadata meta1 = new StandardAnnotationMetadata(ClassAnnotationMetadataTest.class);         AnnotationMetadata meta2 = metadataReaderFactory.getMetadataReader(ClassAnnotationMetadataTest.class.getName())                 .getAnnotationMetadata();          Assertions.assertThat(meta1)                 .isInstanceOf(StandardAnnotationMetadata.class)                 .extracting(meta -> meta.getAnnotationAttributes(SimpleAnnotation.class.getName()))                 .containsAnyOf(entry(""arrayProperty"", new String[]{ }));         Assertions.assertThat(meta2)                 .isInstanceOf(AnnotationMetadataReadingVisitor.class)                 .extracting(meta -> meta.getAnnotationAttributes(SimpleAnnotation.class.getName()))                 .containsAnyOf(entry(""arrayProperty"", new String[]{ }));     }      @Retention(RetentionPolicy.RUNTIME)     @Target(ElementType.TYPE)     public @interface SimpleAnnotation {         String[] arrayProperty() default ""Hello world!"";     } } ```     **A bit more details, which I can found:**  https://github.com/spring-projects/spring-framework/blob/master/spring-core/src/main/java/org/springframework/core/type/classreading/RecursiveAnnotationAttributesVisitor.java#L46  This line will trigger registration of default values for annotation.  For given test case, explicitly specified empty array will be treated as absence of value (associated AnnotationAttributes object won't contain 'arrayProperty' value) and default one will be picked up.     **Finally**  Is it expected behavior?  ---  **Affects:** 5.0.7  **Issue Links:** - #21584 AnnotationMetadataReadingVisitor.getMetaAnnotationTypes(String) may return null but it is not marked `@Nullable`  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/53430760f34f7326213637710a39f1924dd52797, https://github.com/spring-projects/spring-framework/commit/83909e6e1e1c70090ebdbb791bf9a8a21e901430  **Backported to:** [5.0.10](https://github.com/spring-projects/spring-framework/milestone/191?closed=1)","closed","in: core,","spring-projects-issues","2018-10-05T13:42:08Z","2019-01-13T04:23:40Z"
"","21236","ClassCastException in TestDispatcherServlet [SPR-16695]","**[Lukas Krecan](https://jira.spring.io/secure/ViewProfile.jspa?name=dart0)** opened **[SPR-16695](https://jira.spring.io/browse/SPR-16695?redirect=false)** and commented  `ClassCastException` when testing async endpoint using Spring Boot 1.5.11 `@SpringBootTest(webEnvironment = RANDOM_PORT)` with Spring Security.  Apparently, Spring Security wraps `MockAsyncContext` which causes `TestDispatcherServlet` to fail.  ``` java.lang.ClassCastException: org.springframework.security.web.servletapi.HttpServlet3RequestFactory$SecurityContextAsyncContext cannot be cast to org.springframework.mock.web.MockAsyncContext  	at org.springframework.test.web.servlet.TestDispatcherServlet.initAsyncDispatchLatch(TestDispatcherServlet.java:90) 	at org.springframework.test.web.servlet.TestDispatcherServlet.service(TestDispatcherServlet.java:68) 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:790) 	at org.springframework.mock.web.MockFilterChain$ServletFilterProxy.doFilter(MockFilterChain.java:160) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:127) 	at org.springframework.boot.web.filter.ApplicationContextHeaderFilter.doFilterInternal(ApplicationContextHeaderFilter.java:55) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:127) 	at org.springframework.boot.actuate.trace.WebRequestTraceFilter.doFilterInternal(WebRequestTraceFilter.java:111) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:127) 	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:317) 	at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke(FilterSecurityInterceptor.java:127) 	at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter(FilterSecurityInterceptor.java:91) 	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331) 	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:114) 	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331) 	at org.springframework.security.web.session.SessionManagementFilter.doFilter(SessionManagementFilter.java:137) 	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331) ```  ---  **Affects:** 4.3.15  **Issue Links:** - #21239 ClassCastException in MockMvc when testing async calls with Spring Security (_**""is duplicated by""**_) - #21189 Concurrent result may be missed due to a race condition in MockMvc - #21887 MockAsyncContext not found. Did request wrapper not delegate startAsync?  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/7a896d7d80a9bdbbbbe5f987c3f79c7578cbb66c, https://github.com/spring-projects/spring-framework/commit/6deee3e8180e3b4f0c775ff27b81ee6b5728ac90, https://github.com/spring-projects/spring-framework/commit/313308208e857c5f4e56be8d50c76065ed59cdc2  **Backported to:** [4.3.16](https://github.com/spring-projects/spring-framework/milestone/165?closed=1)  1 votes, 7 watchers","closed","type: bug,","spring-projects-issues","2018-04-06T06:29:26Z","2019-01-11T15:02:30Z"
"","19476","Add WebSocket support to WebFlux Functional API (and Kotlin DSL) [SPR-16770]","**[Lucas](https://jira.spring.io/secure/ViewProfile.jspa?name=lucasvalenteds)** opened **[SPR-16770](https://jira.spring.io/browse/SPR-16770?redirect=false)** and commented  Allows to implement WebSockets without annotations via WebFlux Functional DSL.  It seems that only HTTP requests can be handled by the router { } block at the moment, but it would be nice to support WS too.   ---  **Reference URL:** https://kotlinlang.slack.com/archives/C0B8ZTWE4/p1524600160000590","open","type: enhancement,","spring-projects-issues","2018-04-25T15:18:49Z","2018-12-13T12:53:05Z"
"","21634","SimpleJdbcInsert doesn't support ""keyword"" column  [SPR-17097]","**[lmtoo](https://jira.spring.io/secure/ViewProfile.jspa?name=lmtoo)** opened **[SPR-17097](https://jira.spring.io/browse/SPR-17097?redirect=false)** and commented  I have a table, defined as follows:  ```sql create table im.t_process_instance_attributescreate table im.t_process_instance_attributes( ownerId int default '0' not null, `key` varchar(50) default '' not null, value varchar(200) null, primary key (ownerId, `key`)); ```  While `SimpleJdbcInsert` generated insert sql is:  ``` INSERT INTO t_process_instance_attributes (ownerId, key, value) VALUES(?, ?, ?) ```   Key column doesn't have escape symbol, and `BadSqlGrammarException` is thrown.  --- No further details from [SPR-17097](https://jira.spring.io/browse/SPR-17097?redirect=false)","closed","status: duplicate,","spring-projects-issues","2018-07-27T08:24:55Z","2019-04-14T14:10:25Z"
"","21830","Fallback for default persistence unit root location if classpath root is unresolvable [SPR-17297]","**[Liu Jichun](https://jira.spring.io/secure/ViewProfile.jspa?name=jliu666)** opened **[SPR-17297](https://jira.spring.io/browse/SPR-17297?redirect=false)** and commented   ---  **Affects:** 5.0.9, 5.1 GA  **Reference URL:** https://github.com/spring-projects/spring-boot/issues/14279","open","type: enhancement,","spring-projects-issues","2018-09-23T13:28:17Z","2018-10-12T08:30:55Z"
"","21751","Provide fine-grained configuration support for HTTP message converters created in WebMvcConfigurationSupport#addDefaultHttpMessageConverters [SPR-17218]","**[lgoldstein](https://jira.spring.io/secure/ViewProfile.jspa?name=lgoldstein1)** opened **[SPR-17218](https://jira.spring.io/browse/SPR-17218?redirect=false)** and commented  The current code creates and initializes said converters without providing the user any way to intervene and modify the defaults. E.g., provide some external `ObjectMapper` to the `MappingJackson2HttpMessageConverter`, modify the default charset of `StringHttpMessageConverter` etc... The only recourse currently available is to override `extendMessageConverters`, somehow detect the converter(s) of interest and re-initialize them - potentially repeating already existing code ([a.k.a. the D.R.Y. principle](https://en.wikipedia.org/wiki/Don%27t_repeat_yourself)). I propose the following (IMO simple) feature - add a `preConfigureDefaultHttpMessageConverter` method that allows users to re-configure the initial converter - e.g.:  ```java  // if returns null then discard the converter protected > C preConfigureDefaultHttpMessageConverter(C converter, ApplicationContext context) {     return converter;    // by default do nothing }  protected > C addDefaultHttpMessageConverter(         List> messageConverters, C converter, ApplicationContext context) {     converter = preConfigureDefaultHttpMessageConverter(converter, context);     if (converter != null) {         messageConverters.add(converter);     }     return converter;    // echo the effective converter }  protected final void addDefaultHttpMessageConverters(List> messageConverters) {     StringHttpMessageConverter stringHttpMessageConverter = new StringHttpMessageConverter();     stringHttpMessageConverter.setWriteAcceptCharset(false);  // see SPR-7316     addDefaultHttpMessageConverter(messageConverters, new ByteArrayHttpMessageConverter(), applicationContext);     addDefaultHttpMessageConverter(messageConverters, stringHttpMessageConverter, applicationContext);     ...etc... } ```    ---  **Affects:** 5.0.8","closed","type: enhancement,","spring-projects-issues","2018-08-27T07:51:35Z","2019-01-29T16:24:30Z"
"","21721","Expose InterfaceTypeFilter and AllTypeFilter classes as public [SPR-17186]","**[lgoldstein](https://jira.spring.io/secure/ViewProfile.jspa?name=lgoldstein1)** opened **[SPR-17186](https://jira.spring.io/browse/SPR-17186?redirect=false)** and commented  When scanning for components one needs to provide `TypeFilter`-s for including/excluding candidates. There are currently 2 useful implementations that are defined as `private` classes with `public` constructors - namely `org.springframework.data.repository.config.RepositoryComponentProvider.InterfaceTypeFilter` and `org.springframework.data.repository.config.RepositoryComponentProvider.AllTypeFilter`. After examining their code there does not seem to be any special reason for ""hiding"" them - especially since they are so useful. I propose making them `public` and perhaps moving them to their own class file instead of being inner classes. This should pose no backward compatibility issues since existing code does not ""see"" these classes anyway.   ---  **Affects:** 5.0.8  **Issue Links:** - [DATACMNS-1372](https://jira.spring.io/browse/DATACMNS-1372) Expose InterfaceTypeFilter and AllTypeFilter classes as public (_**""duplicates""**_)","closed","type: enhancement,","spring-projects-issues","2018-08-15T10:37:06Z","2018-08-15T10:47:10Z"
"","21316","ResourceBundleMessageSource should avoid ResourceBundle.Control on Jigsaw [SPR-16776]","**[Leonardo Zanivan](https://jira.spring.io/secure/ViewProfile.jspa?name=panga)** opened **[SPR-16776](https://jira.spring.io/browse/SPR-16776?redirect=false)** and commented  ResourceBundleMessageSource broken when using Java 9 module system.  Using a custom ResourceBundle.Control isn't supported by Java 9 Module system.  Strack trace:  ```java java.lang.UnsupportedOperationException: ResourceBundle.Control not supported in named modulesjava.lang.UnsupportedOperationException: ResourceBundle.Control not supported in named modules at java.base/java.util.ResourceBundle.checkNamedModule(ResourceBundle.java:1547) at java.base/java.util.ResourceBundle.getBundle(ResourceBundle.java:1508) at spring.context@5.0.5.RELEASE/org.springframework.context.support.ResourceBundleMessageSource.doGetBundle(ResourceBundleMessageSource.java:223) at spring.context@5.0.5.RELEASE/org.springframework.context.support.ResourceBundleMessageSource.getResourceBundle(ResourceBundleMessageSource.java:189) at spring.context@5.0.5.RELEASE/org.springframework.context.support.ResourceBundleMessageSource.resolveCodeWithoutArguments(ResourceBundleMessageSource.java:132) at spring.context@5.0.5.RELEASE/org.springframework.context.support.AbstractMessageSource.getMessageInternal(AbstractMessageSource.java:212) at spring.context@5.0.5.RELEASE/org.springframework.context.support.AbstractMessageSource.getMessage(AbstractMessageSource.java:169) at spring.context@5.0.5.RELEASE/org.springframework.context.support.AbstractApplicationContext.getMessage(AbstractApplicationContext.java:1276) at spring.webmvc@5.0.5.RELEASE/org.springframework.web.servlet.support.RequestContext.getMessage(RequestContext.java:725) ```  The error is caused by the following line which is using a custom ResourceBundle.Control.  https://github.com/spring-projects/spring-framework/blob/master/spring-context/src/main/java/org/springframework/context/support/ResourceBundleMessageSource.java#L223  **Steps to reproduce:**  Petclinic is the sample ported application to Spring Boot 2.0.1 and Java 9 module system.  1. Clone:  https://github.com/panga/spring-petclinic-java9modules  2. Build with JDK 10:  ```java mvn clean package ```  3. Run application with module-path:  ```java mvn exec:exec ```  _Note: mvn spring-boot:run goal will execute in classpath mode, thus the erros doesn't happen._  4. Open browser with url:  [http://localhost:8080/owners?lastName=test](http://localhost:8080/owners?lastName=test)  5. Verify the stack trace in the console.  ---  **Affects:** 5.0.5  **Issue Links:** - #17265 ResourceBundleMessageSource should allow for custom PropertyResourceBundle subclass","closed","in: core,","spring-projects-issues","2018-04-27T01:53:31Z","2019-01-11T16:41:41Z"
