"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","399","Update overview.html","合并原作者的更新","closed","","mezhou887","2013-11-03T15:26:21Z","2013-11-03T15:29:01Z"
"","477","SPR-11505: Use deepEquals/deepHashCode for keys","Using deepEquals and deepHashCode allows for cache keys that work with methods that have arguments that are array types.","closed","","candrews","2014-03-03T22:53:28Z","2014-06-25T11:07:19Z"
"","363","Fixed URLs in import-into-eclipse scripts","URLs in the import scripts were to 404s.  Updated them to current locations.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","mikesir87","2013-09-25T20:58:00Z","2014-06-26T01:55:38Z"
"","510","Make Spring 3.2.x compatible with Java 8 bytecode","Upgraded ASM from 4.0 to 5.0 and cglib from 3.0 to 3.1  ---  Simple example project that uses this build: https://github.com/mbknor/spring-3.2.x-java-8-test  ---  At work, I am not able to start using Java 8 because we're using Camel which needs Spring 3.2.x. With this fix, we can start using Java 8 while still use Camel and Spring 3.2.x","closed","","mbknor","2014-04-03T20:03:03Z","2014-06-18T11:40:05Z"
"","362","Upgrade to Reactor 1.0.0.M3","Upgrade Reactor dependency to 1.0.0.M3","closed","","wilkinsona","2013-09-25T15:47:18Z","2014-07-25T05:17:31Z"
"","505","Make WebSocket fields available after it is closed","Update some native WebSocket session getters to return basic information after it is closed. It is required for example in SubProtocolWebSocketHandler#afterConnectionEstablished() or StompSubProtocolHandler#afterSessionStarted().  Issue: SPR-11621","closed","","sdeleuze","2014-04-01T07:27:37Z","2021-04-28T09:55:36Z"
"","454","SPR-11103: Thread count doesn't need locking, instead should use an AtomicInteger","Thread count doesn't need locking, instead should use an AtomicInteger.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","guidomedina","2014-01-31T18:45:03Z","2014-06-25T11:04:24Z"
"","386","Upgrade json-path to 0.9.0 version","This version fixed bugs and improved performance. New features: ""select multiple attributes"" and ""Array operations and slicing improved"" (a new example has been added in tests to reflect that).  See https://github.com/jayway/JsonPath/blob/master/README  Issue: SPR-10990","closed","","bclozel","2013-10-17T12:29:33Z","2013-10-18T19:31:54Z"
"","378","Scripted docbook -> asciidoctor migration","This uses docbookrx script to migrate from docbook to asciidoctor. The index page did not do anything so that was scripted using a Groovy script.  **NOTE** The results are far from perfect but could be a good starting point for us.  See https://jira.springsource.org/browse/SPR-10960","closed","","rwinch","2013-10-04T20:56:51Z","2013-10-28T15:17:15Z"
"","456","Add tip clarifying that @Transactional is not applicable to @BeforeClass methods","This tip is needed because when using `@BeforeClass` with TestNG tests  unlike JUnit by the time `@BeforeClass` is called the whole application context is setup and and dependency injection is working therefore as a user it easy to assume that @Transactional should be working but it dose not work and then you waste lots of time trying to figure out why, until you make a call to `TransactionSynchronizationManager.isActualTransactionActive()` and discover that `@Transactional` is not supposed to be used with `@BeforeClass` when working with TestNG  For example   ``` java  @ContextConfiguration(locations = { ""classpath:test.xml"" })   @Transactional @TransactionConfiguration(defaultRollback = true) @ActiveProfiles({ ""development"", ""standalone"", ""test-db"" }) public class TransactionalTest extends AbstractTransactionalTestNGSpringContextTests {     @BeforeClass     @Transactional      public void setupDB()      {           // the following assert fails before there is no TX           assertThat(TransactionSynchronizationManager.isActualTransactionActive()).isTrue();            // do some stuff that needs a tx      } } ```","closed","type: documentation,","asaikali","2014-02-05T19:19:42Z","2019-02-22T18:21:35Z"
"","439","Fixed use of Java6 API","This removes the use of `newSetFromMap` for a simpler concurrent set. This will be less performant probably. I haven't found another way but maybe some utility in Spring itself can build  that.  Issue: SPR-11313","closed","","snicoll","2014-01-15T10:36:29Z","2014-07-09T23:35:43Z"
"","370","Add javax.servlet.http.Part support for databinding","This PR covers both ""scenario 7"" listed in [SPR-10591](https://jira.springsource.org/browse/SPR-10591). All other scenarii have been implemented by @rstoyanchev  Prior to this commit, Multipart databinding would only support MultiPartFile databinding using commons-multipart.  Now the WebRequestDataBinder supports Part and List databinding for Servlet 3.0 compliant containers.  Issue: SPR-10591","closed","","bclozel","2013-10-02T09:31:13Z","2014-07-10T18:15:33Z"
"","499","Remove duplicate transitive dependencies","This PR adds a number of transitive dependency exclusions so that, where possible, each project only has a single source for each class on its classpath. Please see the commit message for further details.","closed","","wilkinsona","2014-03-26T15:44:55Z","2014-06-13T22:57:28Z"
"","511","Compact ignore of all build directories","This patch replaces multiple ignore patterns for build directories with one which matches all.","closed","","sslavic","2014-04-07T15:07:17Z","2014-06-25T11:05:48Z"
"","437","SPR-11299: Add PATCH support to MockMvcRequestBuilders","This is shortcut to avoid having to use MockMvcRequestBuilders.request() and instead have a simple patch(url, params...)","closed","","gregturn","2014-01-10T21:33:07Z","2014-06-14T08:30:25Z"
"","377","Scripted Docbook -> Asciidoctor migration","This is one of two pull requests that have two different scripted ways of migrating to asciidcotor. This should provide a good basis to get us started.  **NOTE** It is still necessary to go through and clean things up, but this gets us pretty far.","closed","","rwinch","2013-10-04T20:54:28Z","2014-06-17T16:19:18Z"
"","382","Fix for SPR-9732 - Support for multiple resource entry for location attribute of util:properties","This is  a fiix for SPR-9732 - to support for multiple resource entry for location attribute of util:properties, along the lines of context:property-placeholder  https://jira.springsource.org/browse/SPR-9732","closed","","bijukunjummen","2013-10-11T01:58:41Z","2013-10-22T18:07:06Z"
"","418","Fix typos throughout project","This fixes a variety of typos throughout the project, primarily in comments (javadoc or otherwise) but also in a handful of log messages and a couple exception messages. I noticed a few typos and then  searched for more to fix.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","ericdahl","2013-11-24T02:51:34Z","2013-11-28T01:38:36Z"
"","436","SPR-11256: Added explanation regarding the special 'default' profile.","This explains what the 'default' profile means as described in the original description of SPR-11256","closed","","snicoll","2014-01-08T15:33:14Z","2014-06-18T14:11:35Z"
"","392","Add support for WebSocket Protocol Extensions","This commits adds simple, overridable WebSocket Extension filtering during the handshake phase and adds that information in the WebSocket session.  The actual WebSocket Extension negotiation happens within the server implementation (Glassfish, Jetty, Tomcat...), so one can only remove requested extensions from the list provided by the WebSocket client.  See RFC6455 Section 9.  Issue: SPR-10843","closed","","bclozel","2013-10-24T09:31:13Z","2013-10-29T02:42:17Z"
"","492","Improve MessageMethodArgumentResolver","This commit validates that the payload type of the message is assignable to the one declared in the method signature. If that is not the case, a meaningful exception message is thrown with the types mismatch.  Prior to this commit, only the `Message` interface could be defined in the method signature: it is now possible to define a sub-class of `Message` if necessary which will match as long as the Message parameter is assignable to that type.  Issue: SPR-11584","closed","","snicoll","2014-03-20T14:49:10Z","2014-03-25T16:09:06Z"
"","396","upgrade to Jetty 9.1.0 .RC0","This commit upgrades Jetty to its latest version, which is JSP-356 compliant and allows WebSocket extensions negotiation by the application.","closed","","bclozel","2013-10-29T18:27:46Z","2013-10-29T19:08:27Z"
"","489","Fix ""Configuring the WebSocket Engine"" documentation","This commit updates reference documentation in order to specify that ServletServerContainerFactoryBean is for server side use and WebSocketContainerFactoryBean for client side use.  Issue: SPR-11565","closed","","sdeleuze","2014-03-17T21:10:22Z","2021-04-28T09:55:16Z"
"","467","Fix PathVariable encoding if request charset is not set","This commit simply adds a `@PathVariable` decoding test to reproduce a scenario exposed in `SPR-11474`  Issue: SPR-11474","closed","in: web,","snicoll","2014-02-24T09:06:05Z","2021-11-19T11:01:13Z"
"","483","CollectionToCollectionConverter perf Improvement","This commit prevents a full useless copy of the source collection if the outcome is to return the original collection.  Also made the return paths a bit more explicit.","closed","","snicoll","2014-03-05T13:08:21Z","2014-06-14T13:17:38Z"
"","443","SPR-11129: Handling of HttpHeaders as controller return type","This commit permits to produce a response with only custom headers by returning a `HttpHeaders` instance. Previously, one has to wrap that `HttpHeaders` instance in a `ResponseEntity`  Simply returning the `HttpHeaders` instance directly as the same effect now.","closed","","snicoll","2014-01-17T15:45:31Z","2014-08-02T10:51:49Z"
"","395","Migrate documentation to asciidoctor","This commit migrates to asciidoctor to ease writing documentation.  Issues: SPR-10960","closed","","rwinch","2013-10-28T17:06:59Z","2013-11-04T19:24:08Z"
"","449","Introduce EJB-based transactional tests in the TCF","This commit introduces transactional integration tests executing against both JUnit and TestNG in the TestContext framework (TCF) using @TransactionAttribute in EJBs instead of Spring’s @Transactional annotation.  These tests disprove the claims raised in SPR-6132 by demonstrating that transaction support in the TCF works as expected when a transactional EJB method that is configured with TransactionAttribute.REQUIRES_NEW is invoked. Specifically: - The transaction managed by the TCF is suspended while such an EJB   method is invoked. - Any work performed within the new transaction for the EJB method is   committed after the method invocation completes. - The transaction managed by the TCF is resumed and subsequently   either rolled back or committed as necessary based on the   configuration of @Rollback and @TransactionConfiguration.  The configuration for the JUnit-based tests is straightforward and self explanatory; however, the configuration for the TestNG tests is less intuitive.  In order for the TCF to function properly, the developer must ensure that test methods within a given TestNG test (whether defined locally, in a superclass, or somewhere else in the suite) are executed in the proper order. In a stand-alone test class this is straightforward; however, in a test class hierarchy (or test suite) with dependent methods, it is necessary to configure TestNG so that all methods within an individual test are executed in isolation from test methods in other tests. This can be achieved by configuring a test class to run in its own uniquely identified suite (e.g., by annotating each concrete TestNG-based test class with @Test(suiteName = ""< Some Unique Suite Name >"")).  For example, without specifying a unique suite name for the TestNG tests introduced in this commit, test methods will be executed in the following (incorrect) order: - CommitForRequiredEjbTxDaoTestNGTests.test1InitialState() - CommitForRequiresNewEjbTxDaoTestNGTests.test1InitialState() - RollbackForRequiresNewEjbTxDaoTestNGTests.test1InitialState() - RollbackForRequiredEjbTxDaoTestNGTests.test1InitialState() - CommitForRequiredEjbTxDaoTestNGTests.test2IncrementCount1()  The reason for this ordering is that test2IncrementCount1() depends on test1InitialState(); however, the intention of the developer is that the tests for an individual test class are independent of those in other test classes. So by specifying unique suite names for each test class, the following (correct) ordering is achieved: - RollbackForRequiresNewEjbTxDaoTestNGTests.test1InitialState() - RollbackForRequiresNewEjbTxDaoTestNGTests.test2IncrementCount1() - RollbackForRequiresNewEjbTxDaoTestNGTests.test3IncrementCount2() - CommitForRequiredEjbTxDaoTestNGTests.test1InitialState() - CommitForRequiredEjbTxDaoTestNGTests.test2IncrementCount1() - CommitForRequiredEjbTxDaoTestNGTests.test3IncrementCount2() - RollbackForRequiredEjbTxDaoTestNGTests.test1InitialState() - RollbackForRequiredEjbTxDaoTestNGTests.test2IncrementCount1() - RollbackForRequiredEjbTxDaoTestNGTests.test3IncrementCount2() - CommitForRequiresNewEjbTxDaoTestNGTests.test1InitialState() - CommitForRequiresNewEjbTxDaoTestNGTests.test2IncrementCount1() - CommitForRequiresNewEjbTxDaoTestNGTests.test3IncrementCount2()  See the JIRA issue for more detailed log output.  Furthermore, @DirtiesContext(classMode = ClassMode.AFTER_CLASS) has been used in both the JUnit and TestNG tests introduced in this commit in order to ensure that the in-memory database is reinitialized between each test class.  Issue: SPR-6132","closed","","sbrannen","2014-01-22T12:01:54Z","2014-01-22T12:02:37Z"
"","462","Add tests for TransactionAwareCacheDecorator","This commit adds tests for `TransactionAwareCacheDecorator`. In particular, the put/evict behaviour when the operation is invoked in the course of Spring-managed transaction.","closed","","snicoll","2014-02-11T13:03:19Z","2014-06-27T09:56:59Z"
"","493","SPR-9488 Add GsonHttpMessageConverter","This commit adds support to read and write JSON using the Google Gson library. GsonHttpMessageConverter offers default Gson configuration, but can be customized by using GsonFactoryBean. GsonFactoryBean includes several convenience properties for configuring the internal GsonBuilder and the resulting Gson object.  By default Gson converts byte arrays to JSON arrays instead of a Base64 encoded string. GsonBase64ByteArrayJsonTypeAdapter provides support to read and write Base64 encoded byte arrays, and can be enabled in GsonFactoryBean.  RestTemplate will enable GsonHttpMessageConverter only if Jackson 2 is not found on the class path, because by default GsonHttpMessageConverter supports the same media types as Jackson.  Issue: SPR-9488","closed","","royclarkson","2014-03-21T20:05:30Z","2014-06-17T16:06:39Z"
"","495","Add URI based MockHttpServletRequestBuilder constructors","This commit adds new MockHttpServletRequestBuilder constructors with an URI parameter in addition to the URL template + URL variables existing ones.  It gives more control on how the URL is built, allowing for example to use URL variables containing '/' character with proper encoding.  Issue: SPR-11441","closed","","sdeleuze","2014-03-24T09:25:33Z","2021-04-28T09:55:18Z"
"","354","Added HTML close policy tag to control tag close style","This commit adds a new `` tag that can be used to specify how generated HTML tags are closed—XML style (`/>`) or HTML style (`>`). This is necessary to properly generate W3C validator-compliant HTML code.  Issue: SPR-10916","closed","in: web,","beamerblvd","2013-09-14T20:01:53Z","2021-11-15T12:07:23Z"
"","482","Update documentation for converting collections","This clarifies the documentation with regards to converting collection compared to single element and how this can be used programmatically.","closed","","snicoll","2014-03-05T12:39:56Z","2014-06-16T13:09:58Z"
"","441","SPR-8696, SPR-11316: custom key generator and cache manager","This change brings more features to the `Cacheable`, `CacheEvict` and `CachePut` annotations.  A custom `CacheManager` and/or `KeyGenerator` can be set _per cache operation_. If the parameter is set, we default as we did before to the global `CacheManager` and `KeyGenerator` respectively.","closed","","snicoll","2014-01-17T12:42:35Z","2014-06-18T13:14:23Z"
"","442","SPR-10548","This adds support for `javax.annotation.Priority` to filter multiple candidates for autowiring. When multiple candidates are available for a given bean, the bean annotated with `@Primary` is used. If none exists, the one with the higher  value for the `@Priority` annotation is used. If two beans have the same priority a `NoUniqueBeanDefinitionException` is thrown, just as if two beans are annotated with `@Primary`.  The underlying code for `getBean` and `resolveDependency` has been merged as this feature is available for both dependency injection and bean lookup by type.  This PR also improves the test coverage of `determinePrimaryCandidate`  There is still a problem to be discussed concerning some fallback code that was initially present in `determinePrimaryCandidate` and that has been moved to `determineAutowireCandidate` as it is not obvious which use case it covers.","closed","","snicoll","2014-01-17T13:39:56Z","2014-06-14T18:53:05Z"
"","513","Update ConcurrentReferenceHashMap.java","The value that between the specified maximum and minimum values used to calculate a shift value , not only less than the specified minimum value.","closed","","HejiaHo","2014-04-14T15:19:13Z","2014-06-13T06:04:45Z"
"","406","Change SpEL equality operators to use .equals","The SpEL operators == and != were using the java == comparison operator as part of their equality checking. It is more flexible to use the equals() method on Object. Under this commit the change to .equals() has been made and the equality checking code has been pushed into a common method in the Operator superclass. This commit also makes some tweaks to the other operator classes - the Float case was missing from OpGT.  Issue: SPR-9194","closed","","aclement","2013-11-07T21:52:00Z","2013-11-21T20:08:54Z"
"","430","Reference manual polishing (part 2)","The signed license agreement confirmation number is 69820131210061413. Thanks.","closed","","VasylTretiakov","2013-12-16T07:11:35Z","2015-04-28T20:47:12Z"
"","429","Reference manual polishing","The signed license agreement confirmation number is 69820131210061413. Thanks.","closed","","VasylTretiakov","2013-12-13T20:04:05Z","2014-06-26T12:10:50Z"
"","428","Fixed various typos and introduced some enhancements to facilitate better rendering of the html page","The signed license agreement confirmation number is 69820131210061413. Thanks.","closed","","VasylTretiakov","2013-12-13T14:42:22Z","2013-12-13T20:03:29Z"
"","427","Fixed a typo","The signed license agreement confirmation number is 69820131210061413. Thanks.","closed","","VasylTretiakov","2013-12-13T11:57:39Z","2013-12-13T14:37:26Z"
"","459","Should not close response output stream","The method renderMergedOutputModel should not close the HttpServletResponse output stream.  The called utility method  FileCopyUtils.copy(bos.toByteArray(), response.getOutputStream()); closes the stream avoiding other output filters adding more informations.  For example, if the view is invoked by a url under security, the session id cookie isn't sent back to the clinent.","closed","","robfrank","2014-02-10T08:25:45Z","2014-12-31T10:22:42Z"
"","432","Removed extraneous character from the online documentation","The curly brace after the XML snippet in section 27.4.1 -> http://docs.spring.io/spring/docs/current/spring-framework-reference/html/scheduling.html#scheduling-enable-annotation-support   ---  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kryger","2014-01-04T17:51:45Z","2014-06-27T09:56:30Z"
"","466","Changed documentation to favor constructor injection over setter injection.","The breakout box named ""Constructor-based or setter-based DI?"" now recommends to use constructor injection. See the changed section for why.  Issue: SPR-11459.","closed","","odrotbohm","2014-02-21T07:59:50Z","2014-06-14T13:19:22Z"
"","413","3.2.5 jmx exception when create MBeans","spring3.2.5 seems more strict with in createAndConfigMBean during MBeanExporter does(when invoke the registerBeans), here comes my stack trace:  org.springframework.jmx.export.MBeanExportException: Could not create ModelMBean for managed resource [ConsoleMsgMBeanInfo={fssModProductState_MsgMBean}] with key 'bean:name=fssModProductState_MsgMBean'; nested exception is javax.management.IntrospectionException: type mismatch between getter and setter     at org.springframework.jmx.export.MBeanExporter.createAndConfigureMBean(MBeanExporter.java:797)     at org.springframework.jmx.export.MBeanExporter.registerBeanInstance(MBeanExporter.java:654)     at org.springframework.jmx.export.MBeanExporter.registerBeanNameOrInstance(MBeanExporter.java:598)     at org.springframework.jmx.export.MBeanExporter.registerBeans(MBeanExporter.java:527)     at org.springframework.jmx.export.MBeanExporter.afterPropertiesSet(MBeanExporter.java:413)     at com.xyt.channel.server.service.listener.AbstractMBeanLoadEventListener.processAppEvent(Unknown Source)     at com.xyt.channel.server.service.listener.AbstractMBeanLoadEventListener.processAppEvent(Unknown Source)     at com.xyt.channel.component.event.AbstractChannelEventObserver.observeChannelEvent(Unknown Source)     at com.xyt.channel.wko.service.main.ChannelEnvConfiguration$1.startChannelService(Unknown Source)     at com.xyt.channel.wko.service.main.ChannelWkoServiceMain.startChannelService(Unknown Source)     at com.xyt.channel.server.service.main.AbstractChannelServiceMain.startChannelService(Unknown Source)     at com.xyt.channel.wko.service.main.ChannelWkoServiceMain.main(Unknown Source) Caused by: javax.management.IntrospectionException: type mismatch between getter and setter     at javax.management.MBeanAttributeInfo.attributeType(MBeanAttributeInfo.java:340)     at javax.management.MBeanAttributeInfo.(MBeanAttributeInfo.java:183)     at javax.management.modelmbean.ModelMBeanAttributeInfo.(ModelMBeanAttributeInfo.java:202)     at org.springframework.jmx.export.assembler.AbstractReflectiveMBeanInfoAssembler.getAttributeInfo(AbstractReflectiveMBeanInfoAssembler.java:315)     at org.springframework.jmx.export.assembler.AbstractMBeanInfoAssembler.getMBeanInfo(AbstractMBeanInfoAssembler.java:64)     at org.springframework.jmx.export.MBeanExporter.getMBeanInfo(MBeanExporter.java:819)     at org.springframework.jmx.export.MBeanExporter.createAndConfigureMBean(MBeanExporter.java:792)  As shown above, when I went back to spring3.2.4 or lower edition, the error stacktrace would not appear. I hope some could point out my mistake whether I had set wrong MBean Name.","closed","","bwzhang2011","2013-11-16T05:19:47Z","2014-06-19T17:47:44Z"
"","521","Clean up spring-websocket imports","spring-websocket is full of unused imports. This commit removes all unused imports from spring-websocket.  I did sing the CLA","closed","","marschall","2014-04-20T17:49:01Z","2014-06-25T11:05:52Z"
"","520","Clean up spring-messaging imports","spring-messaging is full of unused imports. This commit removes all unused imports from spring-messaging.  I did sing the CLA","closed","","marschall","2014-04-20T17:48:47Z","2014-06-14T13:07:37Z"
"","422","Spring Framework","Spring External JAR Files","closed","","purnimanagpal23","2013-11-28T20:18:14Z","2014-06-27T12:43:37Z"
"","393","Provide meta-annotation support in the TCF","Spring 3.0 already allows component stereotypes to be used in a meta-annotation fashion, for example by creating a custom @TransactionalService stereotype annotation which combines @Transactional and @Service in a single, reusable, application-specific annotation. However, the Spring TestContext Framework (TCF) currently does not provide any support for test-related annotations to be used as meta-annotations.  This commit overhauls the TCF with regard to how annotations are retrieved and adds explicit support for the following annotations to be used as meta-annotations in conjunction with the TCF. - @ContextConfiguration - @ContextHierarchy - @ActiveProfiles - @DirtiesContext - @IfProfileValue - @ProfileValueSourceConfiguration - @BeforeTransaction - @AfterTransaction - @TransactionConfiguration - @Rollback - @TestExecutionListeners - @Repeat - @Timed - @WebAppConfiguration  Note that meta-annotation support for @Transactional was already available prior to this commit.  Issue: SPR-7827","closed","","sbrannen","2013-10-28T00:16:07Z","2014-06-13T11:28:54Z"
"","404","Fixed the broken Javadoc links from http://*/spring/docs/current/api/org to http/*/spring/docs/current/javadoc-api/org","Some of the links to Javadocs are broken - their paths needed to be changed from /api/\* to /javadoc-api/*","closed","","bijukunjummen","2013-11-05T10:53:06Z","2013-11-08T01:37:12Z"
"","516","Added a Git .mailmap file","Some of Spring's most prolific contributors have changed email addresses one or more times over the course of the project. This .mailmap file joins the multiple identities of those contributors, making it easier to track their contribution over time.","closed","","GrahamLea","2014-04-18T03:47:54Z","2014-07-24T15:41:05Z"
"","502","Javadoc: removed support for JBoss AS 5's VFS","Since Spring 4.0, the VfsUtils class does not support any more the VFS 2 of JBoss AS 5 and JBoss 5.x EAP. See commit https://github.com/spring-projects/spring-framework/commit/ca194261a42a0a4f0c8bdc36f447e1029a7d2e3e","closed","","arey","2014-03-28T20:21:06Z","2014-03-29T08:51:34Z"
"","463","SPR-11415 Call free() on Blob and Clob","Since Java 1.6/JDBC 4 `ava.sql.Blob` and `java.sql.Clob` have a `#free()` method to release the resources that they hold. They should be called as early as possible because otherwise the objects remain valid for at least the duration of the transaction in which they are created. `DefaultLobHandler` currently creates `Blob`s and `Clob`s and throws them away without calling `#free()`. - change `#getBlobAsBytes()` and `#getClobAsString()` in   `DefaultLobHandler` to call `#free()`  There are more methods in `DefaultLobHandler` where `Blob`s and `Clob`s are used without calling free. However they return a stream so we probably shouldn’t call `#free()` before being done reading. This is a bit of an issues because the `Blob` and `Clob` are out of scope for calling code. `OracleLobHandler` also uses `Blobs` and `Clob`s are used without calling `#free()` but since the class is deprecated I did not update it.  I did sign the Contributor License Agreement.  Issue: SPR-11415 https://jira.springsource.org/browse/SPR-11415","closed","","marschall","2014-02-11T17:02:23Z","2014-02-12T08:22:46Z"
"","480","Fix custom config with older HttpClient","Since HttpClient 4.3, custom configuration such as the connection timeout and the socket timeout are set in a `RequestConfig` object stored in the `HttpContext`.  Unfortunately, older HttpClients are not supporting this infrastructure and new clients throw an exception when the deprecated API is used.  This commit detects if the client is an ""old"" implementation and set the configuration through the deprecated means to restore full backward compatibility with these features.  _Note that because of the -WError flag, no import on deprecated classes are allowed which is the reason why I used FQNs_","closed","","snicoll","2014-03-04T16:26:18Z","2014-06-19T10:15:04Z"
"","512","Enhance MessageHeaderAccessor support and optimize message creation","See individual commit descriptions.","closed","","rstoyanchev","2014-04-13T22:51:37Z","2014-06-19T09:08:09Z"
"","409","Allow InstrumentationSavingAgent to be used with the Attach API","See https://jira.springsource.org/browse/SPR-11083","closed","","cdupuis","2013-11-11T15:25:32Z","2014-07-08T04:31:46Z"
"","446","SPR-11337 Consistent serializable remoting classes","RemoteInvocation is a mutable JavaBean with default constructor while RemoteInvocationResult is immutable with no default constructor.  This makes the RemoteInvocationResult consistent with RemoteInvocation.","closed","","ArloL","2014-01-21T08:12:23Z","2014-06-26T06:44:52Z"
