"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1505","合并更新","合并更新","closed","","fqyee","2017-08-24T03:03:21Z","2017-08-24T06:42:22Z"
"","1725","Fix issue: getters and setters should be synchronized in pairs","When one part of a getter/setter pair is synchronized the other part should be too. Failure to synchronize both sides of a pair may result in inconsistent behaviour at runtime as callers access an inconsistent method state.","closed","","igor-suhorukov","2018-03-08T15:32:21Z","2018-03-08T16:01:17Z"
"","1722","Invert the check as ServletInputStream.isReady() is the active method","When checking whether there is still request body the first method that should be checked is ServletInputStream.isReady() and then ServletInputStream.isFinished(). ServletInputStream.isReady() is the active method whereas the ServletInputStream.isFinished() is not. It is important to call ServletInputStream.isReady() because if it returns false it will schedule a dispatch and if the request body is already read it will send onAllDataRead event.  Issue SPR-16521","closed","","violetagg","2018-03-07T15:08:32Z","2018-03-08T13:43:03Z"
"","1727","Polish: inner class calls to super class methods should be unambiguous","When an inner class extends another class, and both its outer class and its parent class have a method with the same name, calls to that method can be confusing. The compiler will resolve the call to the superclass method, but maintainers may be confused, so the superclass method should be called explicitly, using super.","closed","","igor-suhorukov","2018-03-08T17:32:46Z","2018-03-08T17:50:16Z"
"","1691","Corrected Javadoc in WebSocketMessageBrokerStats","WebSocketMessageBrokerStats's Javadoc now states the correct default logging period  Obvious Fix","closed","","theHacker","2018-02-17T22:43:39Z","2018-02-18T17:04:41Z"
"","1699","Take brotli encoding into account for caching","We use a BrotliResourceResolver to deliver pre compressed content. If we use the `CachingResourceResolver` including `ResourceHandlerRegistry.resourceChain(true)` we cache brotli compressed content and deliver it to only gzip aware clients.  This fix resolves that by taking the brotli encoding into account. As all brotli aware browsers most likely supports gzip I think those two ifs are fine :-)","closed","","burka","2018-02-23T15:15:46Z","2018-05-23T14:53:36Z"
"","1716","Faster search for characters in string for deletion","Using HashSet  time for searching every character in String charsToDelete  in StringUtils.deleteAny method, can be saved.","closed","","akikrasic","2018-03-04T00:26:26Z","2018-03-06T14:32:23Z"
"","1595","Merge pull request #1 from spring-projects/master","Updating master","closed","","ghost","2017-11-15T02:09:56Z","2017-11-15T07:46:39Z"
"","1617","Merge pull request #1 from spring-projects/master","update from spring  project framework 2017年12月7日18:42:42","closed","","liyongscys","2017-12-07T10:42:46Z","2017-12-07T11:11:01Z"
"","1631","SPR-16322 - Use BeanInfoFactory when introspecting interfaces","Update `CachedIntrospectionResults` to use `BeanInfoFactory` implementations when introspecting interfaces.  Also add a couple of optimizations to save introspection of `Object` and `Serializable`.","closed","","philwebb","2017-12-22T19:39:03Z","2018-01-08T16:50:55Z"
"","1692","Merge pull request #1 from spring-projects/master","update","closed","","chejinqiang","2018-02-18T11:50:41Z","2018-02-19T08:10:40Z"
"","1501","Delete extra characters","Underline is superfluous","closed","","vincenthsin","2017-08-21T01:32:34Z","2017-08-21T06:43:38Z"
"","1650","Remove an unnecessary intermediate variable","This PR removes an unnecessary intermediate variable.","closed","","izeye","2018-01-24T02:11:23Z","2018-01-24T08:27:09Z"
"","1647","Polish InterceptorRegistration","This PR refactors to reuse the existing `List` versions.","closed","","izeye","2018-01-20T01:14:40Z","2018-01-20T10:58:06Z"
"","1657","Polish SqlParameter.sqlTypesToAnonymousParameterList()","This PR polishes `SqlParameter.sqlTypesToAnonymousParameterList()`.","closed","","izeye","2018-02-01T05:09:29Z","2018-02-01T11:33:00Z"
"","1665","Polish","This PR fixes some typos and polishes trivial stuff.","closed","","izeye","2018-02-07T01:57:09Z","2018-02-07T13:23:37Z"
"","1636","Fix an exception message in ScheduledAnnotationBeanPostProcessor","This PR fixes an exception message missed in 591429e538d1e59b47dff4c760cfd8763c57ebd7.","closed","","izeye","2017-12-26T17:24:35Z","2018-01-15T14:42:44Z"
"","1516","Fix AbstractJackson2Encoder#canEncode and make writer type resolution more consistent","This PR contains 2 commits intended to address [SPR-15910](https://jira.spring.io/browse/SPR-15910) raised by @wilkinsona. The type resolution consistency change is a significant (but really needed IMO) one that I would like to validate with @wilkinsona, @rstoyanchev, @poutsma and @bclozel.  The details of this change are in the 2nd commit message log and reproduced bellow:  > Before this commit, Spring WebFlux used both the declared > return value type and the concrete object type in writers, > in a similar fashion than Spring MVC. >  > But this can lead to inconsistent behaviors, for example between > type resolution of a return value that requires an adapter > (declared return value type is used) and one that does not > (concrete return value type is used) or between ? and Object handling. >  > After this commit, only declared type (via return value type for > annotation-based programming model or ParameterizedTypeReference for > the functional API) is used in order to provide a consistent and > predictable behavior. >  > The asynchronous nature of WebFlux, type erasure and providing > error-prone SPI are also reasons that motivates this change. >  > Concretely that means that handler methods declaring an Object return > value type and returning a String or Resource value won't be handled > anymore by respectively by CharSequenceEncoder and ResourceEncoder. > These handler methods need to declare explicitly the return value type. >  > For use cases that requires Spring MVC dynamic type resolution based > on the concrete return value type, using the functional API which allows > programmatic type resolution is the recommended way to use with WebFlux.  Thanks in advance for your feedbacks.","closed","","sdeleuze","2017-09-05T11:50:54Z","2021-04-28T10:12:15Z"
"","1711","SPR-12756: Local visibility for writes to caches with transactional decorators","This patch adds an alternative to the TransactionAwareCacheDecorator that addresses issues raised in SPR-12756 - it makes writes to decorated caches visible within the scope of the transaction.  It is intended to be minimally obtrusive. The current interface is not changed beyond adding a `setCacheDecoratorFactory` method to the `TransactionAwareCacheManagerProxy` to allow the strategy to be selected. The behaviour defaults to use the existing `TransactionAwareCacheDecorator`.","open","in: data,","williamhoyle","2018-03-01T07:20:57Z","2021-11-18T05:37:30Z"
"","1592","SPR-16022: avoid implicit autowiring with Kotlin secondary ctors","This one is tricky, but after some time to think and experiment on it, I tend to think we went maybe a little bit to far with implicit autowiring of Kotlin classes with secondary constructors, which has impact on `ConstructorResolver`.  In order to fix [SPR-16022](https://jira.spring.io/browse/SPR-16022), my proposal is to avoid implicit autowiring when the Kotlin class has secondary constructors.  Notice that Kotlin compiler can generate (in additional to the synthetic constructor generated for primary constructor) a non-synthetic default constructor when using no-arg compiler plugin or when a class have primary constructor with optional parameters that have all default values. This proposed change try to handle all these use cases.","closed","","sdeleuze","2017-11-13T11:16:43Z","2021-04-28T09:58:11Z"
"","1581","Fix SpEL comparison operator for comparable types","This is my first contribution to spring, so please advise if I have missed anything.  This PR fixes SPR-16141 by allowing equality checking to defer to the `TypeComparator`'s `canCompare`, rather than hardcoding conditions.","closed","in: core,","triggerNZ","2017-11-01T05:58:25Z","2021-11-25T20:23:23Z"
"","1548","SPR-9989 Using multiple PropertyPlaceholderConfigurer breaks @Value default value behaviour","This is a difficult ticket requiring nontrivial refactoring (see comments on https://jira.spring.io/browse/SPR-9989 for details). I explored quite some alternatives and found the following plan most ideal:  - tweak PropertyPlaceholderHelper's implementation to accept a new boolean parameter (ignoreDefault) to control whether default value will be used for a specific StringValueResolver;  - change AbstractBeanFactory's internal implementation of 'resolveStringValue(String)' to dictate that only the last StringValueResolver will go about default value return (if needed) and ignore default value for all the other ones, by passing appropriate boolean parameter to the above tweaked PropertyPlaceHolderHelper's public method;  A a new unit testing method named 'resolveEmbeddedDefaultValue' was added to DefaultListableBeanFactoryTests.","closed","","NathanQingyangXu","2017-10-05T21:45:36Z","2020-03-09T13:22:22Z"
"","1542","SPR-16027: Remove possible Servlet instance leak","This happens for example from JolokiaMvcEndpoint in spring-boot-actuator 1.5.7 where ``@ConfigurationProperties`` triggers two calls to ``afterPropertiesSet()`` thus resulting in a duplicate AgentServlet that is initialized but never destroyed.","closed","","ArloL","2017-09-29T10:45:25Z","2017-09-29T13:12:08Z"
"","1662","SPR-15083: Improve WebFlux exception logging","This commit updates `HttpWebHandlerAdapter` and `ResponseStatusExceptionHandler` in order to specify the method/uri in the logged message.  It also logs a `WARN` message for bad request (400) HTTP responses in order to get some logs when an exception is thrown due to client error (unable to deserialize request body for example).  Issue: [SPR-15083](https://jira.spring.io/browse/SPR-15083)","closed","","sdeleuze","2018-02-05T10:07:21Z","2021-04-28T09:58:19Z"
"","1602","SPR-16166: Handle top level json value in Jackson2JsonTokenizer","This commit introduces support for top level Json value `String`, `true`, `false`, `null`, `number`) to `Jackson2JsonTokenizer`.  Before this change `Jackson2JsonTokenizer` would only consider token in an object or array and this scenario will fail:  ``` @RestController public class JsonValueResource {     @GetMapping(""/fail"")     public Mono fail() {         return WebClient.builder().baseUrl(""http://localhost:8000"")                 .build().get().uri(""/"")                 .accept(MediaType.APPLICATION_JSON)                 .retrieve()                 .bodyToMono(Boolean.class)                 .switchIfEmpty(Mono.error(new RuntimeException(""No response"")));     }      @GetMapping     Mono jsonValueBoolean() {         return Mono.just(true);     }  } ```  Issue: SPR-16166","closed","","madgnome","2017-11-21T21:47:17Z","2017-12-15T10:17:03Z"
"","1620","SPR-16282 Deprecate classes removed in 5","This commit deprecates the following things   * the entire NativeJdbcExtractor hierarchy  * all types in the org.springframework.beans.factory.access package  * all types in the org.springframework.context.access package  * all types in the org.springframework.ejb.interceptor package  Issue: SPR-16282","closed","","marschall","2017-12-09T17:10:52Z","2017-12-12T14:41:26Z"
"","1593","SPR-16098: Fix Reactive JsonView + HttpEntity handling","This commit adds an `AbstractMessageWriterResultHandler#writeBody` variant which allows to pass the actual `MethodParameter` in order to perform proper annotation-based hint resolution with nested generics like with `ResponseEntityResultHandler`.","closed","","sdeleuze","2017-11-14T17:22:17Z","2021-04-28T09:58:12Z"
"","1580","Move requests.add(request) into finally block.","This avoids ""IllegalStateException: Expectations already declared"" when a MockRestServiceServer is used after one request throws an exception. I consider this a trivial fix.  Issues: SPR-16132","closed","","epabst","2017-10-30T14:55:07Z","2017-11-09T15:56:36Z"
"","1621","SPR-16291 - Declarative null checks","This *PR* illustrates an approach when explicit *null*-checks are replaced by a *NonNull* annotations on method parameters. Actual checks are generated during compilation and inserted into resulting byte code by the [Traute](http://traute.oss.harmonysoft.tech/) *javac* plugin.    Example: [here](https://github.com/denis-zhdanov/spring-framework/commit/5a126cf58a9c30cfbf55ebc5a88eafbc188efc34#diff-bf9a31b564bfe45387eb54a9f23560a0) we mark the parameters by Spring's *NonNull* annotation. Result:    ``` javap -c ./spring-core/build/classes/java/main/org/springframework/core/annotation/AbstractAliasAwareAnnotationAttributeExtractor.class ...   org.springframework.core.annotation.AbstractAliasAwareAnnotationAttributeExtractor(java.lang.Class, java.lang.Object, S);     Code:        0: aload_0        1: invokespecial #1                  // Method java/lang/Object."""":()V        4: aload_1        5: ifnonnull     18        8: new           #2                  // class java/lang/NullPointerException       11: dup       12: ldc           #3                  // String annotationType must not be null       14: invokespecial #4                  // Method java/lang/NullPointerException."""":(Ljava/lang/String;)V       17: athrow       18: aload_3       19: ifnonnull     32       22: new           #2                  // class java/lang/NullPointerException       25: dup       26: ldc           #5                  // String source must not be null       28: invokespecial #4                  // Method java/lang/NullPointerException."""":(Ljava/lang/String;)V       31: athrow ... ```  I'm fine with creating new *PR* where the change is applied to all use-cases within the project if the team likes the idea.","closed","","denis-zhdanov","2017-12-12T08:00:28Z","2017-12-22T17:27:21Z"
"","1557","Move ""Note"" before ""source"" in webmvc.adoc and fix typo","There is a "":"" in the end of the ""Note"" sentence, just like the sentence below, so move the ""Note"" sentence before ""source"".","closed","","nkjackzhang","2017-10-12T07:58:42Z","2017-12-18T07:25:14Z"
"","1555","Move ""Note"" before ""source"" in webmvc.adoc","There is a "":"" in the end of the ""Note"" sentence, just like the sentence below, so move the ""Note"" sentence before ""source"".","closed","","nkjackzhang","2017-10-12T03:22:24Z","2017-10-12T07:51:44Z"
"","1504","SPR-15900 - StringIndexOutOfBoundsException from RestTemplate.doExecute IOException handler when query string is empty","The RestTemplate.doExecute IOException handler produces a StringIndexOutOfBoundsException when the URI's query string is an empty string.","closed","","bbohl","2017-08-23T20:21:58Z","2017-09-01T20:59:05Z"
"","1720","Make MockRestRequestMatchers independent of JUnit","The MockRestRequestMatchers was using `org.junit.Assert.assertNotNull` and thus it could not be used in projects that use e.g. TestNG instead of JUnit, because this causes a `java.lang.NoClassDefFoundError: org/junit/Assert` at runtime.  This PR removes that dependency.","closed","","yankee42","2018-03-07T07:59:32Z","2018-03-07T12:24:09Z"
"","1641","SPR-16368 - jdbcTemplate in JdbcDaoSupport should have non-null 'dataSource'","The method checkDaoConfig() may throw an IllegalArgumentException which message is ""'dataSource' or 'jdbcTemplate' is required"", but doesn't require that jdbcTemplate has non-null 'dataSource' value, this message may confuse users, or maybe the IllegalArgumentException's message  should be ""'jdbcTemplate' is required""?  [SPR-16368](https://jira.spring.io/browse/SPR-16368)","closed","","nkjackzhang","2018-01-12T02:32:05Z","2018-03-27T06:51:08Z"
"","1549","Fix markdown","The list of resources for working with Asciidoctor were being displayed in the same line because of the missing line break.","closed","","wilder","2017-10-06T01:47:14Z","2017-10-06T05:47:00Z"
"","1685","Align spring-webflux's Webjars Locator dependency with spring-webmvc","The intention is to align with [this change](https://github.com/spring-projects/spring-framework/commit/8d42888476e892dfa1b099684c9a381bbd26f916#diff-6b23f872b29c97049a56354504169781L29) to spring-webmvc.","closed","type: task,","wilkinsona","2018-02-14T21:21:13Z","2019-03-19T15:17:56Z"
"","1651","SPR-16417 - Support varargs for expectations in MockMvc","The current way of writing multiple expect statements is kinda verbose:  ```java  mockMvc.perform(get(""/person/1""))    .andExpect(status().isOk())    .andExpect(content().contentType(MediaType.APPLICATION_JSON))    .andExpect(jsonPath(""$.person.name"").value(""Jason"")); ```  I propose vararg method that can do the same in a slightly cleaner way using default interface method:  ```java  mockMvc.perform(get(""/person/1""))    .andExpect(      status().isOk(),      content().contentType(MediaType.APPLICATION_JSON),      jsonPath(""$.person.name"").value(""Jason"")    ); ```","closed","","neonailol","2018-01-25T05:56:04Z","2018-07-21T08:07:10Z"
"","1706","SPR-16519 - Adding new acknowledge method version","The change according to Rossen Stoyanchev' comment","closed","","mariusz-jasinski","2018-02-27T15:48:41Z","2018-02-27T20:47:42Z"
"","1704","Polish: String.valueOf() should not be appended to a String","The argument passed to String.valueOf() should be directly appended to string instead.","closed","","igor-suhorukov","2018-02-25T20:02:28Z","2018-02-25T20:10:21Z"
"","1643","Use ArrayList instead of LinkedList for known size","Spring JDBC unlike other modules uses LinkedList instead of ArrayList in several places. There is a large body of evidence suggesting that on contemporary hardware ArrayList is both faster and has less overhead than even in degenerate cases of empty lists [3] or unknown size.  There are two places in Spring JDBC where the size of the list is known in advance and an ArrayList of the correct final size can be created   [1] https://bugs.java.com/bugdatabase/view_bug.do?bug_id=8011200  [2] http://cliffc.org/blog/2017/11/05/modern-hardware-performance-cache-lines/  [3] https://bugs.openjdk.java.net/browse/JDK-8011200  Issue: SPR-16378","closed","","marschall","2018-01-14T13:21:00Z","2018-01-14T16:45:33Z"
"","1689","SPR-16505 - getReader/getInputStream retaining previous result","SPR-16505","closed","","av-pinzur","2018-02-15T20:59:25Z","2018-06-13T19:41:20Z"
"","1642","Specify AbstractWebSocketMessageBrokerConfigurer as depricated","Specify AbstractWebSocketMessageBrokerConfigurer as depricated.  Add to interface WebSocketMessageBrokerConfigurer default methods (made possible by a Java 8 baseline) from AbstractWebSocketMessageBrokerConfigurer and can be implemented WebSocketMessageBrokerConfigurer interface directly without the need abstract class using default methods","closed","","EnvOut","2018-01-13T12:30:53Z","2018-01-15T21:14:14Z"
"","1538","Kotlin documentation readability improvements","Some tiny tidyups and grammar improvements.","closed","","dharrigan","2017-09-28T19:45:50Z","2017-09-28T20:04:37Z"
"","1524","Documentation readability improvements","Some changes to make the Kotlin documentation a little more readable.  -=david=-","closed","","dharrigan","2017-09-12T13:38:41Z","2017-09-13T08:58:17Z"
"","1648","SPR-16404 - Removed unnecessary cast to int","Since Java7 HttpURLConnection offers setFixedLengthStreamingMode method with long parameter which should be prefered over version with int argument, therefore casting ContentLength to int is no longer needed. Moreover it makes impossible to stream payload larger than Integer.MAX_VALUE  The issue was actually caught within one of our production applications where RestTemplate is used to stream large binaries. I understand that this is not the intended use of RestTemplate, but since the Spring Framework is baselined on Java8 there is no harm of applying this fix. Moreover according to HttpURLConnection javadoc using the method with long argument must be preferred and it takes precedence over the int version  Excerpt from HttpURLConnection.fixedContentLength javadoc:        *  NOTE: {@link #fixedContentLengthLong} is recommended instead      * of this field, as it allows larger content lengths to be set.","closed","","mrmaus","2018-01-20T10:31:29Z","2018-01-20T13:11:17Z"
"","1667","Add support to set visibility via Jackson2ObjectMapperBuilder","See SPR-16411","closed","","eddumelendez","2018-02-08T04:12:15Z","2018-05-15T08:56:43Z"
"","1680","Avoid creating message arguments to Assert.isABC calls","See https://github.com/spring-projects/spring-framework/commit/67f184293b94c076b0474231f739a74f42d5ffa8","closed","","vlsi","2018-02-13T11:19:56Z","2018-02-13T11:31:50Z"
"","1694","Return correct return type for Kotlin suspending functions in MethodParameter.","Return type for Kotlin suspending functions (as returned by `MethodParameter#getParameterType` and `MethodParameter#getgenericReturnType` methods) is incorrect. The true return type is the generic parameter of the last parameter of the method.  This change modifies the behaviour of the aforementioned methods so that they work correctly for all cases.  Issue: [SPR-16515](https://jira.spring.io/browse/SPR-16515)","closed","","konrad-kaminski","2018-02-19T10:45:43Z","2022-02-18T19:11:08Z"
"","1550","4.3.x","Retrieve and Review","closed","","krishs09","2017-10-09T03:06:20Z","2017-10-09T21:23:22Z"
"","1494","Update RestTemplate.java","ResponseEntity responseEntity = restTemplate.exchange(                 url,                 HttpMethod.GET,                 new HttpEntity(headers),                 InputStreamResource.class);         OutputStream out = null;         try {             InputStream inputStream = responseEntity.getBody().getInputStream();   If I need an original InputStream ,the response is closed here,the original InputStream is closed","closed","","ooooow","2017-08-05T03:14:22Z","2017-11-03T05:26:52Z"
"","1496","SPR-14555","Resolve map of dependencies by keying on an enum value instead of bean name. This is more a proof of concept than a complete implementation, as I believe there are many ways to go about this.  I chose the route to just leave resolving beans by type in place, and remap the keys by searching a method on the value type that returns the expected key type. If multiple methods have the return type, this throws an exception. If multiple beans resolve to the same key, this throws an exception.  Very open to suggestions and guidance towards a complete solution.","closed","in: core,","NielsDoucet","2017-08-12T19:31:56Z","2021-11-26T11:08:11Z"
"","1525","Fix broken RequestMappingHandlerAdapter setter","RequestMappingHandlerAdapter.setReactiveRegistry() doesn't actually set the value appropriately.  FYI: I found this using lgtm.com  https://lgtm.com/projects/g/spring-projects/spring-framework/alerts/?mode=list","closed","","nertzy","2017-09-12T15:55:16Z","2017-09-12T19:08:06Z"
"","1539","Fix SPR-16024 broken links to Message Converters","Replace wrong link #rest-message-conversion with correct link  #mvc-config-message-converters.","closed","","arend-von-reinersdorff","2017-09-28T20:03:03Z","2017-09-29T15:50:45Z"
"","1573","Remove redundant lower cased strings creation for their comparison in startsWithIgnoreCase method.","Remove redundant lower cased strings creation for their comparison in startsWithIgnoreCase method.","closed","","ruslan5t","2017-10-22T10:20:14Z","2017-10-23T13:19:24Z"
"","1574","Remove redundant lower cased strings creation for their comparision in endsWithIgnoreCase method.","Remove redundant lower cased strings creation for their comparision in endsWithIgnoreCase method.","closed","","ruslan5t","2017-10-22T10:26:24Z","2017-10-22T12:18:27Z"
"","1572","Remove redundant check for string emptiness before calling overridden method for checking text presence.","Remove redundant check for string emptiness before calling overridden method for checking text presence. This check is already present in called method for CharSequence.","closed","","ruslan5t","2017-10-22T09:34:03Z","2017-10-22T10:11:21Z"
"","1713","Polish: Overriding methods should do more than simply call the same method in the super class","Remove methods with the same visibility and without comments about workaround.","closed","","igor-suhorukov","2018-03-01T23:00:40Z","2018-03-03T15:16:35Z"
"","1628","Refactor getMethodIfAvailable to not cause NoSuchMethodExceptions","Refactor `ClassUtils.getMethodIfAvailable(...)` to loop over methods rather than cause a `NoSuchMethodException`. Since this method is called often, this change can help improve application startup times.  Issue:","closed","","philwebb","2017-12-22T19:29:14Z","2017-12-31T07:09:30Z"
"","1629","Refactor getMethodIfAvailable to not cause NoSuchMethodExceptions","Refactor `ClassUtils.getMethodIfAvailable(...)` to loop over methods rather than cause a `NoSuchMethodException`. Since this method is called often this change can help improve application startup times.  Issue:","closed","","philwebb","2017-12-22T19:29:17Z","2017-12-22T19:31:37Z"
"","1630","Refactor AnnotatedElementUtils to not cause NoSuchMethodExceptions","Refactor `AnnotatedElementUtils` to loop over methods rather than cause a `NoSuchMethodException`. Since this method is called often, this change can help improve application startup times.  Issue:","closed","","philwebb","2017-12-22T19:33:20Z","2017-12-31T07:09:51Z"
"","1739","SPR-16578 - queryForMap returns last value","queryForMap returns last value returns the last value of equally named columns. The JDBC specification says that in such cases the first value should be returned instead.   - change ColumnMapRowMapper to not overwrite existing values  Issue: SPR-16578","closed","","marschall","2018-03-10T12:47:49Z","2018-06-11T08:48:12Z"
"","1619","Merge pull request #1 from spring-projects/master","pull new code","closed","","sunkolin","2017-12-07T11:54:55Z","2017-12-07T11:55:21Z"
"","1625","Merge pull request #1 from spring-projects/master","pull from oirgin","closed","","tempestLXC","2017-12-18T09:55:29Z","2017-12-18T14:26:32Z"
"","1534","SPR-15993: Revisit meaning of response.close() in HTTP client","Prior to this issue, SPR-15920 added this new `close()` method which was supposed to be called to clean resources after response processing.  This commit changes the meaning of that method: calling `close()` will close the underlying HTTP connection. This has to be called if the response body is not consumed by the application, since at that point the underlying connection might be in an inconsistent state if shared in a connection pool.  Issue: SPR-15993","closed","","bclozel","2017-09-25T16:09:54Z","2017-09-27T12:03:59Z"
"","1659","MockHttpServletRequestBuilder decodes pathInfo","Previously MockHttpServletRequestBuilder calculated the pathInfo from the provided URL without decoding the value. This meant that the pathInfo incorrectly included URL encoded values.  Now MockHttpServletRequestBuilder properly decodes the pathInfo.  Fixes: SPR-16453","closed","","rwinch","2018-02-01T19:26:01Z","2018-03-15T19:15:51Z"
"","1503","SPR-15892 - Url parameter based version strategy support","Prefix based version path strategy has a problem with css.  If css include any relative url, the server can not resolve relative url, because it has two version prefix in the url.  **Example**  The version: 1.0.0  The css url: http://localhost/application/1.0.0/css/test.css  Original css content ``` body {     background-image: url(""img/picture.jpg"");     background-size: cover; } ``` Modified css content ``` body {     background-image: url(""1.0.0/img/picture.jpg"");     background-size: cover; } ``` The picture.jpg url will be: http://localhost/application/1.0.0/css/1.0.0/img/picture.jpg but the expected is http://locahost/application/1.0.0/css/img/picture.jpg  **Solution**  We was make the UrlParameterFixedVersrionStrategy class.  The css url: http://localhost/application/css/test.css?v=1.0.0  Modified css content ``` body {     background-image: url(""img/picture.jpg?v=1.0.0"");     background-size: cover; } ``` the picture.jpg url: http://localhost/application/css/img/picture.jpg?v=1.0.0  MvcConfig example ``` import org.springframework.context.annotation.ComponentScan; import org.springframework.context.annotation.Configuration; import org.springframework.web.servlet.config.annotation.ResourceHandlerRegistry; import org.springframework.web.servlet.config.annotation.WebMvcConfigurerAdapter; import org.springframework.web.servlet.resource.AbstractVersionStrategy; import org.springframework.web.servlet.resource.UrlParameterFixedVersionStrategy; import org.springframework.web.servlet.resource.VersionResourceResolver;  @Configuration @ComponentScan({""test.controller""}) public class MvcConfig extends WebMvcConfigurerAdapter {      @Override     public void addResourceHandlers(ResourceHandlerRegistry registry) {         AbstractVersionStrategy fixedVersionStrategy = new UrlParameterFixedVersionStrategy(""1.0.0"");         VersionResourceResolver versionResourceResolver = new VersionResourceResolver()                 .addVersionStrategy(fixedVersionStrategy, ""/**"");          registry.addResourceHandler(""/**"")                 .addResourceLocations(""classpath:/other-resources/"")                 .resourceChain(true)                 .addResolver(versionResourceResolver);     }  } ```","closed","","zsoltii","2017-08-23T08:59:08Z","2018-01-12T14:37:35Z"
"","1735","Merge pull request #1 from spring-projects/master","pr","closed","","jiuzhou9","2018-03-09T03:08:14Z","2018-03-09T03:08:33Z"
"","1698","Polish: Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()""","Polish: Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()""","closed","","andrey916","2018-02-23T00:14:22Z","2018-04-11T17:28:52Z"
"","1675","Polish: assertion arguments should be passed in the correct order","Polish: assertion arguments should be passed in the correct order, use assertNull instead of assertEquals(null, value), declare delta as double value in assertEquals","closed","","igor-suhorukov","2018-02-10T12:42:39Z","2018-02-10T16:17:29Z"
