"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1471","refactor redundancy code in spring-core/src/main/java/org/springframe…","…work/util/CommonsLogWriter.java","closed","status: superseded,","qcq","2017-07-07T16:09:59Z","2021-04-27T11:09:57Z"
"","1415","Merge pull request #1 from spring-projects/master","WebFlux multpart support polish + minor refactoring","closed","","leerenbo","2017-05-04T13:50:31Z","2017-05-04T13:50:46Z"
"","1286","SPR-15107 Updating MySQLMaxValueIncrementer to not rely on MYISAM","We should no longer rely on MYISAM for the sequence table since this engine might not always be available. After this change the storage engine used by the sequence table can be MYISAM or INNODB since the sequences are allocated using a separate connection without being affected by any other transactions that might be in progress.  Issue: SPR-15107","closed","","trisberg","2017-01-06T22:09:32Z","2017-01-12T19:25:05Z"
"","1487","New overview","We have written a replacement for the current overview, as the beginning of a larger documentation effort.","closed","","Buzzardo","2017-07-28T13:39:59Z","2017-07-28T14:18:35Z"
"","1420","WebJarsResourceResolver: multiple matches fix","Using WebJarAssetLocator.getFullPathExact instead of WebJarAssetLocator.getFullPath avoid multiple matches in case of multiple files with the same name in the same webjar.  Refer to this issue for details https://github.com/webjars/webjars-locator/issues/90","closed","","Skarafaz","2017-05-07T17:14:25Z","2017-05-24T08:52:30Z"
"","1418","Fix WebJarsResourceResolver multiple matches","Using WebJarAssetLocator.getFullPathExact instead of WebJarAssetLocator.getFullPath avoid multiple matches in case of multiple files with the same name in the same webjar.  Refer to this issue for details https://github.com/webjars/webjars-locator/issues/90","closed","","Skarafaz","2017-05-07T14:48:52Z","2017-05-07T15:55:25Z"
"","1321","SPR-15238 - Use getOrDefault method","Use the getOrDefault method for Maps in Java 8.","closed","","jonathanborenstein","2017-02-09T07:48:57Z","2017-02-09T11:32:01Z"
"","1404","Use Java 8 forEach method on Map","Use the forEach Method that Java 8 provides for the Map class.","closed","","jonathanborenstein","2017-04-25T22:03:19Z","2017-04-28T09:09:57Z"
"","1278","Build - Update Apache Licence 2.0 name and URL","Use same Apache Licence 2.0 formal name and URL across all Spring projects.  References: * https://www.apache.org/licenses/LICENSE-2.0#apply * https://github.com/spring-projects/spring-data-build/blob/master/pom.xml#L42","closed","","stonio","2016-12-29T16:55:06Z","2017-03-27T15:21:52Z"
"","1334","Polish CollectionFactoryTests","Use `is(empty())` to test empty collections.","closed","","stonio","2017-02-21T15:07:05Z","2017-03-27T15:21:11Z"
"","1352","[Documentation] Updated URI Template reference links","Updated link to URI Template reference - the existing link no longer works/exists.  Instead I've linked to the RFC and related GitHub repository.","closed","","pgpx","2017-03-07T18:12:31Z","2017-03-27T19:50:04Z"
"","1403","Merge pull request #1 from spring-projects/master","update","closed","","jonathanborenstein","2017-04-25T20:43:54Z","2017-04-25T20:44:09Z"
"","1351","Typo","Typo on the front page","closed","","neo01124","2017-03-07T11:46:59Z","2017-03-07T12:01:06Z"
"","1432","Polish RequestMappingHandlerMapping.java","type-level RequestMapping annotation is functionaly equal to Controller annotation","closed","","QBNemo","2017-05-24T09:18:34Z","2017-06-01T01:26:51Z"
"","1381","SPR-15423 ForwardedHeaderRequestWrapper should return a new StringBuffer instance on each invocation of the getRequestURL method","To be consistent with servlet containers a new StringBuffer instance should be returned each time the request.getRequestURL() method is invoked.    https://jira.spring.io/browse/SPR-15423","closed","","xyloman","2017-04-07T20:01:36Z","2017-04-07T21:02:20Z"
"","1456","Update to Reactor Bismuth-M2","This resolves https://jira.spring.io/browse/SPR-15646","closed","","rwinch","2017-06-09T14:52:12Z","2017-06-09T15:15:10Z"
"","1422","SPR-15505 - Use original query string of forwarded request","This pull request solves the problem happening when FlashMaps are used in conjunction with forwarded requests with differing query parameters. The AbstractFlashMapManager has used the originating URI but the query string of the forwarded request. That resulted to FlashMap not being matched even when both originating URI and query string matched the FlashMap attributes. The originating query string is now used to match the forwarded request.  This is my first pull request to Spring project so I hope I followed all the guidelines correctly. I've submitted the ICLA.   Issue: SPR-15505","closed","","svorcmar","2017-05-08T14:19:23Z","2017-05-20T06:05:31Z"
"","1380","[freemarker] improve ftl marcos support especially for handling forms","This PR will introduce a new freemarker template `spring-form.ftl` for proper form handling similar to the spring tag library and in addition it improves some of the existing message macros.  **spring-form.ftl** Here is a quick example of how the new form macros work.  ```ftl                                                          Value 1     Value 2                      ${error}                              ${error}                      ${error}               ${error}     ``` Most of the marcos are similar to the existing elements in the spring tag library. They also cover the type conversion via `PropertyEditor` to parse and format property values in the same way as the JSP tag library.  **spring.ftl** ```ftl   ``` Both macros now support optional parameters so there is now need to use the other marcos `messageText`,  `messageArgsText`, `themeText`, `themeArgsText` anymore. I've marked them deprecated, but let me know if we should remove them.  This PR is currently WIP, because the test cases fail and need some more love. Before I spent more time in this, let me know if this PR might be interesting and will be merged if everything is fine.","closed","","xhaggi","2017-04-07T08:21:25Z","2018-03-06T07:32:22Z"
"","1296","Fix SPR-15136 - Exception if no RequestDataValueProcessor is present","This modifications fix the way the reactive AbstractView retrieves the RequestDataValueProcessor bean, correctly returning null if there is no bean of such type at the Application Context.  This avoids an exception at the reactive RedirectView (which extends AbstractView) when trying to post-process the URL generated for  redirection, when no RequestDataValueProcessor exists.","closed","","danielfernandez","2017-01-13T23:04:38Z","2017-01-17T15:14:08Z"
"","1442","SPR-15604 Fixed cron expression validation method in CronSequenceGenerator","This method validated only fields length of the given expression, not the validity of cron expression. It seems logical that the method with name 'isValidExpression' would validate cron as well. Plus, possible NPE fixed.","closed","","Enigo","2017-05-31T19:55:43Z","2017-06-29T20:24:10Z"
"","1315","Add ability to set a caffeine ticker","This is useful for easier testing of cache implementations. Normally you would have to configure a completely new cache in the tests (e.g. something as described here: http://dolszewski.com/spring/multiple-ttl-caches-in-spring-boot/). Then it makes no more sense to actually write a test at all...  With spring boot you can use a CacheManagerCustomizer to just change the ticker, still testing the real configuration of the cache.  ```java     private static FakeTicker fakeTicker = new FakeTicker();      @Configuration     public static class TestConfig {         @Bean         public CacheManagerCustomizer customizer() {             return cacheManager -> cacheManager.setTicker(fakeTicker::read);         }     }      @Test     public void testRefresh() {         (...)         fakeTicker.advance(1, TimeUnit.HOURS);         (...)     } ```","closed","","ulich","2017-02-03T12:25:22Z","2017-02-03T20:02:53Z"
"","1390","SPR 15260 & 15419","This fixes SPR-15260 and SPR-15419.  SPR-15260 relates to automatically matching trailing separators so you don't need to add paths with  and without them. The behaviour is configurable on the path pattern parser and defaults to ON. It also better handles multiple separators, we don't silently match multiple separators in the path with a single one in the pattern.  SPR-15419 is related so i've included it in here. I've changed getPathRemaining() to return not only the remaining path but also any variables bound in the part of the path that matched.  I am submitting this as a PR because there are 'other tests' that are failing and I suspect some behaviours need altering to cope with the fact that trailing separators are auto matched now and I don't know 100% where all those places are. Feedback welcome.","closed","","aclement","2017-04-14T17:44:14Z","2017-04-19T19:38:17Z"
"","1482","Support instantiating Kotlin classes with optional parameters","This commit updates BeanUtils class in order to add Kotlin optional parameters with default values support to the immutable data classes support introduced by SPR-15199.  @jhoeller Could you please review and hopefully merge it with your changes if any?  Issue: SPR-15673","closed","","sdeleuze","2017-07-19T15:25:46Z","2021-04-28T09:58:06Z"
"","1316","Making example easier for GenericApplicationContext.","This commit makes easier for understanding example of GenericApplicationContext. The beginners may get confused while reading the reference docs due to undeclared object `ctx`. Hence, I think this change is essential.","closed","","aviskarBasnet","2017-02-06T05:50:50Z","2017-03-05T06:04:53Z"
"","1458","Introduce LocaleContextResolver in WebFlux","This commit introduces LocaleContextResolver interface, which is used at ServerWebExchange level to resolve Locale, TimeZone and other i18n related informations.  It follows Spring MVC locale resolution patterns with a few differences:  - Only LocaleContextResolver is supported since LocaleResolver is less    flexible  - Support is implemented in the org.springframework.web.server    package of spring-web module rather than in spring-webflux in order    to be able to leverage it at ServerWebExchange level  - The LocaleContextResolver to use is an optional DefaultServerWebExchange    constructor parameter rather than a bean with well known name  2 implementations are provided:  - FixedLocaleContextResolver  - AcceptHeaderLocaleContextResolver  It can be configured with both functional or annotation-based APIs.  Issue: SPR-15036","closed","","sdeleuze","2017-06-12T07:47:52Z","2021-04-28T09:57:04Z"
"","1314","Introduce JSON streaming support","This commit introduces JSON streaming support which consists of serializing HTTP request with `application/stream+json` media type as line delimited JSON.  It also optimize `Flux` serialization for `application/json` by using `flux.collectList()` and a single Jackson invocation instead of one call per element previous strategy. This change result in a x4 throughput improvement for collection with a lot of small elements.  Issues: [SPR-15095](https://jira.spring.io/browse/SPR-15095), [SPR-15104](https://jira.spring.io/browse/SPR-15104)","closed","","sdeleuze","2017-02-03T10:23:46Z","2021-04-28T09:56:58Z"
"","1472","Make getters and setters null-safety consistent","This commit ensures that null-safety is consistent between getters and setters in order to be able to provide beans with properties with a common type when type safety is taken in account like with Kotlin.  It also adds a few missing property-level @Nullable annotations.  Issue: SPR-15540","closed","","sdeleuze","2017-07-10T16:56:16Z","2021-04-28T09:57:06Z"
"","1304","Support i18n and nested template in ScriptTemplateView","This commit changes the 3rd parameter passed to the rendering function from String url to RenderingContext renderingContext.  RenderingContext contains 4 properties:  - ApplicationContext applicationContext  - Locale locale  - Function templateLoader  - String url  Issue: [SPR-15064](https://jira.spring.io/browse/SPR-15064)","closed","","sdeleuze","2017-01-24T10:59:11Z","2021-04-28T09:56:56Z"
"","1462","SPR-15690 Add cloneBuilder method on WebClient.Builder","This commit adds a new `cloneBuilder()` method on `WebClient.Builder`; we can now reuse the customizations of an existing builder without sharing its state across several `WebClient` building code paths.  cc @poutsma  Issue: SPR-15690","closed","","bclozel","2017-06-22T16:07:51Z","2017-06-27T22:49:24Z"
"","1313","SPR-15218 - Add logging to processPropertySource() (Obvious Fix)","This change set amends ConfigurationClassParser.processPropertySource() to log a message at debug level when a PropertySource with ignoreResourceNotFound = true cannot be loaded for any reason.  Detailed justification for this change, including a link to an illustrative project, may be found on the JIRA:  https://jira.spring.io/browse/SPR-15218  I believe this qualifies as an ""obvious fix"" which does not require a CLA signature according to the following document:  https://cla.pivotal.io/about#obvious-fixes","closed","","amdw","2017-02-03T03:55:10Z","2017-02-08T23:34:03Z"
"","1279","Update logging documentation to include Log4j 2","This also updates the version numbers provided in the sample pom.xml snippets for configuring logging for SLF4J and Log4j 1.x. A sample log4j2.xml file is also given with the same configuration as demonstrated in the log4j.properties example. The link to the Log4j 1.x site has been fixed to point to the 1.2 URL (do note that Log4j 1.2 is end of life and is not compatible with JDK 9+).  ---  I was also thinking of adding info about how Log4j 2.3 is the last release that supports JDK6, but that would only be relevant in the Spring 4.x documentation.","closed","","jvz","2016-12-31T08:31:03Z","2017-01-20T16:19:04Z"
"","1372","SPR-15411: Avoid query parameters in filename","The URL.getFile() javadocs say : Gets the file name of this URL. The returned file portion will be the same as getPath(), plus the concatenation of the value of getQuery(), if any. If there is no query portion, this method and getPath() will return identical results.  This causes a bug in Spring boot when specifying --spring.config.location=http://host/group/repo/raw/branch/config.yml?private_token=NyAq4wDit3hmJ7UZPyMU because "".yml?private_token=NyAq4wDit3hmJ7UZPyMU"" is not a supported extension.  My workaround until this gets fixed is to use --spring.config.location=http://host/group/repo/raw/branch/config.yml?private_token=NyAq4wDit3hmJ7UZPyMU&fake_param=whatever.yml  https://jira.spring.io/browse/SPR-15411","closed","","jhordies","2017-04-04T13:31:49Z","2017-04-06T12:03:50Z"
"","1413","SPR-15504 - UriComponentsBuilder's fromHttpRequest uses server port as host port when handling the Forwarded header","The UriComponentsBuilder's adaptFromForwardedHeaders method doesn't handle the host port of the Forwarded header correctly, which means that the URI generated through the fromHttpRequest method will append the server port to the host (of the Forwarded header), instead of just using the port (if any) defined in the host part of the Forwarded header. This pull request will try to parse the port of the host of the Forwarded header, and configure the builder accordingly. According to the RFC https://tools.ietf.org/html/rfc7239#section-5.3 and https://tools.ietf.org/html/rfc7230#section-5.4 the host part of the Forwarded header ""provides the host and port information from the target URI"", and as such should be handled in the adaptFromForwardedHeaders method.","closed","","gvdenbro","2017-05-02T08:35:32Z","2017-05-02T21:02:07Z"
"","1283","SPR-8190: Added support for Byte Buddy AOP proxies and bean subclassing instantiation strategy.","The suggested proxy makers are working but this is still work in progress. I require input for any further steps:  There is still no mechanism to specify a specific another byte code provider. Also, there is potential of sharing code for the cglib and Byte Buddy proxy classes unit tests but for this PR, i tried to not change any existing code. There are no explicit tests for the cglib bean proxy maker which could serve as a specimen which is why this call is untested.","open","in: core,","raphw","2017-01-02T12:54:14Z","2021-11-10T10:04:13Z"
"","1360","ServerHttpMessage[Reader|Writer] refactoring","The refactoring removes the separate class hierarchy under `ServerHttpMessage[Reader|Writer]`, including `AbstractServerHttpMessage[Reader|Writer]` and `Jackson2ServerHttpMessage[Reader|Writer]`, which used to wrap and delegate to the ""regular"" `HttpMessage[Reader|Writer]`.  Instead `[Encoder|Decoder]HttpMessage[Writer|Reader]` now have an expanded role covering the server-side contract too. There is also a new `ServerHttp[Encoder|Decoder]` that allows encoders and decoders to encapsulate the preparation of the very hints they also look for. The approach works well for the SSE writer which no longer needs to be wrapped with the `Jackson2ServerHttpMessageWriter` to get the encoding hints needed for the `Jackson2Encoder`.  See individual commits for more details.","closed","","rstoyanchev","2017-03-21T02:00:48Z","2017-04-05T18:46:18Z"
"","1323","Add a Kotlin RouterFunction implementation","The reason for this PR is to give opportunity to create functional controllers in Kotlin without implementing `RouterFunction.route` function but writing mappings inside the controller. Insired by [Twitter Finatra](https://github.com/twitter/finatra/blob/develop/examples/hello-world/src/main/scala/com/twitter/hello/HelloWorldController.scala) ""server as a function principle"" and [Spek](http://spekframework.org/)  - Kotlin testing framework.  Sample controller can look like this: ```kotlin class SampleController : KotlinRouterFunction({     GET(""/super"") { req ->         ServerResponse.ok().body(fromObject(""super!!!""))     } }) ```","closed","","melgenek","2017-02-12T13:11:34Z","2017-02-24T18:56:37Z"
"","1378","webmvc: AbstractEmitterSubscriber check terminated the right time","The original version was prone to lose the final item in case of an unfortunate interleaving:  ``` Drain thread                Source thread ----------------------------------------- elementRef.get() != null   request(1)                             onNext(item) -> elementRef.lazySet(item)                             onComplete() -> terminated = true; if (terminated)   emitter.complete() ``` The emitter is completed but the ""queue"" still holds the final element that will never be emitted.","closed","","akarnokd","2017-04-06T17:21:28Z","2017-04-06T19:01:39Z"
"","1425","Specify the HandlerMapping#order in the websocket example","The order value has to be specified for the HandlerMapping so that it will be ordered before the one that serves the static resources.","closed","","violetagg","2017-05-12T17:46:19Z","2017-05-29T08:51:20Z"
"","1411","Minor Javadoc typo fix: form -> from","The method takes in an `HttpInputMessage inputMessage`, so I don't think the intent of the comment was to _form_ an input message.","closed","","andreykaipov","2017-05-01T16:28:10Z","2017-06-13T17:00:34Z"
"","1310","Fix Javadoc in UriComponentsBuilder","The Javadoc for `UriComponentsBuilder.fromHttpUrl` contains an example that uses the wrong method.  If not paying attention, like me, this might lead you to believe that `fromHttpUrl` could be used with relative URIs, when in fact this leads to a `java.lang.IllegalArgumentException: ... is not a valid HTTP URL`.  This PR alters the Javadoc example to demonstrate correct use of the method.  I'm sure this is an Obvious Fix but I've signed the CLA anyway.","closed","","hdpe","2017-02-02T18:06:33Z","2017-02-02T22:30:35Z"
"","1483","Formatting fix","The ending backtick (`) is not not recognized when an apostroph (') is following. Corrected it by inserting a space.","closed","","jonasholtkamp","2017-07-21T09:53:50Z","2017-09-29T12:42:43Z"
"","1474","SPR-15762: improve performance of ContentCachingRequestWrapper","The `ContentCachingInputStream` class has only implemented the `int read()` method of the stream, let the corresponding `read(byte[], int, int)` method inherit from the `InputStream` class.  However, reading a few bytes from an `InputStream` with a loop call of the `int read()` method and a call with the `read(byte[], int, int)` method differs a lot. The latter method is much faster than the former method. My code and result for this comparison are listed bellow.  ```java byte[] bytes = new byte[100_000]; // 100k // test reading an input stream with loop method ByteArrayInputStream in1 = new ByteArrayInputStream(bytes); long start = System.nanoTime(); for (int i = 0; i < 100_000; i++) {     in1.read(); } System.out.println(""loop calling cost: "" + (System.nanoTime() - start) + ""ns"");  // test reading the same input stream with batch method ByteArrayInputStream in2 = new ByteArrayInputStream(bytes); byte[] buffer = new byte[1000]; int c = 0; start = System.nanoTime(); while (c < 100_000) {     c += in2.read(buffer); } System.out.println(""batch calling cost: "" + (System.nanoTime() - start) + ""ns""); ```  Finally, I got the following result on my machine.  ``` loop calling cost: 9158452ns batch calling cost: 85389ns ```","closed","","xnslong","2017-07-11T16:57:14Z","2018-07-10T05:29:14Z"
"","1342","1Merge pull request #1 from spring-projects/master","sync","closed","","chenjianyao","2017-02-27T05:05:27Z","2017-02-27T06:49:19Z"
"","1326","SPR-15254 RestTemplate with MockMvcClientHttpRequestFactory double encodes URIs","SPR-15254 RestTemplate with MockMvcClientHttpRequestFactory double encodes URIs  Using an URI with an email address as a request parameter with a RestTemplate method causes the @ to be double encoded. It should be encoded as %40, but will eventually end up as %2540. The reason is that the MockMvcClientHttpRequestFactory will run .toString() on the URI before passing it over to the MockMvc request builder. The MockMvc request builder assumes that Strings are unencoded, and will (re-) encode the URI. Passing it as an URI to the MockMvc builder will skip that encoding step.","closed","","JanespenCerpus","2017-02-14T08:55:38Z","2017-02-14T14:17:55Z"
"","1392","Fix Selenium links in testing.adoc","Selenium wiki & javadoc moved from google code to github. Also a fix to a link for Geb.","closed","","KingBuzzer","2017-04-18T17:37:57Z","2017-04-19T07:23:39Z"
"","1386","SPR-15448 - Fix condition in caching examples","See ticket SPR-15448, those conditions need the lenght() call.","closed","","michael-simons","2017-04-13T06:18:26Z","2017-04-13T15:51:14Z"
"","1488","Upgrade jackson to 2.9.0","See SPR-15548","closed","","eddumelendez","2017-07-30T23:39:47Z","2017-07-31T08:46:00Z"
"","1387","SPR-15449 - Improve unless condition and hint","See SPR-15449. The unless condition with an optional should use the safe navigation operator.","closed","","michael-simons","2017-04-13T06:19:31Z","2017-04-13T15:51:14Z"
"","1423","Remove redundant slashes in URI-string before it's URI will be resolve.","See more about issue here: https://github.com/spring-projects/spring-boot/issues/9133","closed","","daggerok","2017-05-09T00:09:27Z","2017-05-23T02:03:35Z"
"","1280","SPR-15075 - Remove String#toCharArray from ScriptUtils","ScriptUtils contains two calls to String#toCharArray for the sole purpose to iterating over all chars in a String. Not only is this unnecessary and can be replaced with String#charAt it also causes additional allocator and heap pressure because String#toCharArray rather than returning the backing array (which is gone in Java 9) creates a copy.  This commit contains the following changes:   - remove String#toCharArray from ScriptUtils and replace with    String#charAt  Issue: SPR-15075","closed","","marschall","2016-12-31T09:01:42Z","2017-01-03T22:31:16Z"
"","1353","spring-jdbc meta data prcoessing bugfix","ResultSet.getBoolean doesn't describe how to handle anything other than NULL, 0, or 1. Since the 'NULLABLE' column can return 2, meaning unknown, the code should change to process the ResultSet with the explicitly defined types.  Issue: SPR-15333","closed","","seanmmills","2017-03-08T19:33:02Z","2017-03-16T15:37:06Z"
"","1428","SPR-15544 - RestTemplate is missing ""Typed"" error handler.","RestTemplate's default error handler is DefaultResponseErrorHandler  The default error handler creates a String body from the output source. It would be nice if there were an alternative ""Typed"" Error handler that could use the same HttpMessageConverterExtractor to non-success states that handle JSON/XML responses.  See ticket: https://jira.spring.io/browse/SPR-15544  And similar historical request: https://jira.spring.io/browse/SPR-7001","closed","","SamG1000","2017-05-15T01:37:47Z","2017-06-01T01:30:58Z"
"","1363","Use a WebClient instead of a RestTemplate","Replace the RestTemplate with a WebClient.","closed","","jonathanborenstein","2017-03-22T01:23:09Z","2017-03-24T20:26:31Z"
"","1469","replace for  with addAdvisors method","replace the code  for (Advisor advisor : advisors) { 			proxyFactory.addAdvisor(advisor); 		} with proxyFactory.addAdvisors(advisors)","closed","","tian-junwei","2017-07-06T04:40:50Z","2017-07-12T15:25:30Z"
"","1465","Fix typo.","replace sessiondId to sessionId in SimpleBrokerMessageHandler.java","closed","","hackerwins","2017-06-27T00:29:15Z","2017-07-12T15:16:06Z"
"","1333","CollectionToObjectConverter - Refactor with Collection#isEmpty()","Replace `sourceCollection.size() == 0` by `sourceCollection.isEmpty()` in class `CollectionToObjectConverter`.","closed","","stonio","2017-02-21T14:51:14Z","2017-03-27T15:21:03Z"
"","1484","SPR-15741 - Remove the unuseful check from ReflectionUtils.getUniqueDeclaredMethods()","Remove the covariant return type check from ReflectionUtils.getUniqueDeclaredMethods(…)  This check is not needed as doWithMethods(…) by definition traverses the type hierarchy bottom up. Although, the check is not correctly implemented because it add the method just after it remove from the resulting list  Issue : SPR-15741 ICLA: Signed","closed","","medbelamachi","2017-07-21T22:01:44Z","2017-07-21T22:33:32Z"
"","1343","Remove extra string ""","Remove extra string ""","closed","","nkjackzhang","2017-03-03T04:01:05Z","2017-10-13T10:03:28Z"
"","1309","SPR-15124 Fix missing uriVariables","Related to https://jira.spring.io/browse/SPR-15124","closed","","making","2017-01-29T13:35:19Z","2017-01-30T17:15:07Z"
"","1430","Merge pull request #1 from spring-projects/master","pull from oirgin","closed","","tempestLXC","2017-05-18T10:35:18Z","2017-05-18T11:21:56Z"
"","1319","Implement reactive HiddenHttpMethodFilter","Provides the ability to embed an HTTP verb inside a hidden form field (like Thymeleaf's th:method operator).","closed","","gregturn","2017-02-06T19:58:55Z","2017-08-30T21:03:03Z"
"","1277","SPR-15066 - Allow request interceptor to add to headers set via entity","Provide a fully mutable `HttpHeaders` to `ClientHttpRequestInterceptor`s of a `RestTemplate` when headers are set using `HttpEntity`. This avoids `UnsupportedOperationException` if both `HttpEntity` and `ClientHttpRequestInterceptor` add values for the same HTTP header.  I came upon this error while investigating a bug report in a third-party starter I maintain. The user was using a `RestTemplate` where our starter (without the user's knowledge) provided a `ClientHttpRequestInterceptor` that added an `Authorization` header. The user rather wanted to use a different authentication method and provided an `Authorization` header with a different scheme through an `HttpEntity` passed to the `RestTemplate`. I am avoiding this problem in our starter by calling `HttpHeaders#set(String, String)` instead of `#add(String, String)`.  But seeing that `HttpEntityRequestCallback` was copying over headers from the provided `HttpEntity` to another `HttpHeaders` object used for the request, I thought the intended behavior was rather to provide a fully mutable `HttpHeaders` for the remainder of the processing of the request, including any invocation of `ClientHttpRequestInterceptor`s.  On the other hand, this is a marginal use case at best, and could even be considered misuse of the API.  Issue: [SPR-15066](https://jira.spring.io/browse/SPR-15066)","closed","","einarpehrson","2016-12-29T15:18:30Z","2017-12-15T16:48:15Z"
