"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","814","Add missing super.httpMethods(); in OkHttpClientHttpRequestFactoryTes…","…ts.httpMethods()","closed","","izeye","2015-06-07T09:53:59Z","2015-06-15T16:18:13Z"
"","809","Long waiting on jms connection recovering when stopping application","This fix prevent long waiting on jms connection recovering when stopping application.","closed","","nivolg","2015-05-29T13:21:17Z","2016-10-21T08:47:51Z"
"","804","Support Forwarded-Header in UriComponentsBuilder","This commit introduces support for RFC 7239: Forwarded HTTP Extension in the UriComponentsBuilder. Unfortunately, RFC 7239 is not a complete replacement for the X-Forwarded-\* headers: specifically, there is not direct replacement for X-Forwarded-Port. The JIRA contains more information.  Issue: SPR-11856","closed","","poutsma","2015-05-21T12:15:31Z","2015-06-10T15:49:00Z"
"","800","Support OkHttp as (Async)ClientHttpRequestFactory","This commit introduces support for OkHttp (http://square.github.io/okhttp/) as a backing implementation for ClientHttpRequestFactory and AsyncClientHttpRequestFactory.  Issue: SPR-12893","closed","","poutsma","2015-05-18T13:00:31Z","2015-05-18T20:49:27Z"
"","754","Support byte ranges in ResourceHttpRequestHandler","This commit introduces support for HTTP byte ranges in the ResourceHttpRequestHandler. This support consists of a number of changes: - Parsing of HTTP Range headers in HttpHeaders, including a nested Range   class and ByteRange/SuffixByteRange subclasses. - MIME boundary generation moved from FormHttpMessageConverter to   MimeTypeUtils. - writePartialContent() method introduced in ResourceHttpRequestHandler,   handling the byte range logic - Additional partial content tests added to   ResourceHttpRequestHandlerTests.  Issue: SPR-10805","closed","","poutsma","2015-03-13T13:54:38Z","2016-01-03T10:10:13Z"
"","759","Support {/...} patterns in UriComponents(Builder)","This commit introduces support for ""Path Segment URI Variable expansion"", see https://tools.ietf.org/html/rfc6570#section-3.2.6. In practice, this means that URI template variables prefixed with a '/' are treated like path segments and - as such - will encode any '/' found. For example: {/foo} expanded with ""bar/baz"" with result in ""bar%2F"".  Issue: SPR-12750","closed","","poutsma","2015-03-20T11:33:42Z","2015-04-01T01:35:47Z"
"","794","Introduce Marshalling MessageConverter","This commit introduces a messaging.converter.MessageConverter that marshals to/from XML using the abstractions provided in the OXM module.  Issue: SPR-12726","closed","","poutsma","2015-05-07T13:20:29Z","2015-05-07T16:04:18Z"
"","838","Reference more recent resources","There is a new version of AspectJ in Action which is now mentioned in the _Further Resources_ section of the AOP chapter.  Issue: SPR-13238  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","mdeinum","2015-07-16T05:46:55Z","2015-07-16T07:27:09Z"
"","770","Improve RedirectAttributes reference docs","The use of RedirectAttributes was documented in four places in the reference documentation. This commit merges some of the places and links properly between them.  Issue: SPR-12759  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","dgtombs","2015-04-07T13:22:09Z","2015-04-07T13:27:39Z"
"","771","Improve RedirectAttributes reference docs","The use of `RedirectAttributes` was documented in four places in the reference documentation. This commit merges some of the places and links properly between them.  Issue:   I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","dgtombs","2015-04-07T13:29:38Z","2015-04-13T19:27:15Z"
"","728","Fixed bug for build file.","The javadoc url of ehcache ""http://ehcache.org/apidocs/"" is invalid,use ""http://ehcache.org/apidocs/2.9/"" instead.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","xiaolongzuo","2015-01-26T09:55:17Z","2016-01-01T11:08:55Z"
"","725","Fix bug for build file.","The javadoc url of ehcache ""http://ehcache.org/apidocs/"" is invalid,use ""http://ehcache.org/apidocs/2.9/"" instead.","closed","","xiaolongzuo","2015-01-25T15:39:19Z","2015-01-26T09:58:27Z"
"","849","Clarify documentation on @Ordered","The `LOWEST_PRECEDENCE` is not only the default value for `@Ordered` but is also applied to any compared elements that are unannotated.  See spring-projects/spring-boot#3599.","closed","","chrylis","2015-07-28T15:33:51Z","2015-07-30T13:25:18Z"
"","864","Support CALL Statement for SAP HANA","Support for calling Stored Proedures in SAP HANA. Adding support for HANA alongwith the already existing support for ""Derby"", ""DB2"", ""Mysql"", ""Microsoft SQL Server"", ""Oracle"", ""POSTgreSQL"" & ""Sybase"". - Bug Fixes: The names of Stored Procedures in SAP HANA can be in lowercase   as well. The default implementation in GenericCallMetaDataProvider always   converts name to uppercase.  Issue: SPR-13381  CLA form signed. Ref. no. : 135320150823102506","closed","","sbcd90","2015-08-23T10:42:10Z","2015-08-25T15:19:35Z"
"","840","Reset Pragma header when caching","Spring Security by default sets a `Pragma: no-cache` header (see [CacheControlHeadersWriter](https://github.com/spring-projects/spring-security/blob/master/web/src/main/java/org/springframework/security/web/header/writers/CacheControlHeadersWriter.java)). Even if explicitly calling `WebContentGenerator#applyCacheSeconds` that header is still present, preventing the browser from caching the resource. So `cacheForSeconds` should remove the Pragma header if it has been set.","closed","","felixbarny","2015-07-17T12:51:05Z","2015-07-21T14:24:19Z"
"","833","Configure embedded database with properties","Spring embedded database support isn't very configurable at the moment. These changes related to SPR-12455.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","type: enhancement,","akalotkin","2015-07-04T00:17:56Z","2019-02-22T14:44:02Z"
"","832","Configure embedded database with properties","Spring embedded database support isn't very configurable at the moment. These changes related to SPR-12455.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","akalotkin","2015-07-03T17:59:29Z","2015-07-04T13:57:48Z"
"","722","SPR-12639 : Corrected the method name in Spring JDBC section","SPR-12639 : Corrected the method name from 'executeReturningKey' to 'executeAndReturnKey' under Spring JDBC.","closed","","mgooty","2015-01-20T08:55:07Z","2015-01-22T18:24:09Z"
"","852","Add EnumToEnumConverter","sometime we need copy a shadow package for export remote service interface, service interface depend domain object which include domain enum type, it is necessary to support conversion between origin Enum type to shadow Enum.","closed","","quaff","2015-08-04T02:09:10Z","2022-02-18T19:11:03Z"
"","835","correction for single quote inside double quote","Some databases (Oracle for example) allow alias of columns inside double quote in order to have case sensitive and special characters, including single quote. For example :  select address as ""programmer’s address"" from programmer  So those single quotes must not be taken as literal beginning.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","ndebeiss","2015-07-10T12:51:56Z","2015-07-14T12:36:43Z"
"","758","Allow subclass adaptation of @Scheduled runnable creation.","Small change in ScheduledAnnotationBeanPostProcessor to allow subclass adaptation of @Scheduled runnable creation. This allows generic behaviour for scheduled tasks to be added in one place.","closed","","ManicRooks","2015-03-19T17:35:32Z","2018-07-14T09:24:59Z"
"","815","Allow StopWatch to be started on construction","Simplify starting stopwatch after construction  Return ""this"" from the start method of the stopwatch, so that a stopwatch can be constructed and started in one line. Most of the time you use the stopwatch you want to start it right away, this saves a line of code and makes the stopwatch a preferable approach to a simple system time comparison.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.  Issue: SPR-13106","closed","","magJ","2015-06-09T13:34:15Z","2018-08-14T01:58:52Z"
"","776","FutureAdapter should wrap RuntimeExceptions","RuntimeExceptions thrown from FutureAdapter.adapt() should be wrapped in an ExecutionException, not thrown as is.  Issue: SPR-12887","closed","","poutsma","2015-04-10T11:08:06Z","2015-04-13T17:27:18Z"
"","748","Fix SpEL Compilation mode IMMEDIATE.","Require 1 interpreted pass only (instead of 2)  cc @aclement","closed","in: core,","ericbottard","2015-02-27T14:22:00Z","2021-11-22T09:45:16Z"
"","855","Update NumberUtils.java - constructor -> valueOf method","Replace calling the constructor of Number classes by calling valueOf method.","closed","","vladad","2015-08-06T11:49:08Z","2015-08-06T18:07:42Z"
"","747","Fix SPR-11759, added support of List injection from YAML propert...","Related to this issue: https://jira.spring.io/browse/SPR-11759 Also related to this discussion: https://github.com/spring-projects/spring-boot/issues/501","closed","","cooniur","2015-02-27T11:25:27Z","2015-05-14T00:35:08Z"
"","826","Refactor WebSocket int. tests to work w/ Jetty 9.3","Recent builds of Jetty 9.3 require that Jetty's own ServletContext implementation be supplied to WebSocketServerFactory's init() method. Otherwise, the Jetty server will fail to start with the exception message: ""Not running on Jetty, WebSocket support unavailable"".  This commit refactors AbstractSockJsIntegrationTests and all WebSocketTestServer implementations in order to support this new requirement. Specifically: - WebSocketTestServer defines a new getServletContext() method.   TomcatWebSocketTestServer and UndertowTestServer simply return a   MockServletContext; whereas, JettyWebSocketTestServer returns the   ServletContext created internally by Jetty's ServletContextHandler. - The setup() method in AbstractSockJsIntegrationTests has been   refactored so that the WebApplicationContext is supplied the   appropriate ServletContext, after the WebSocketTestServer has been set   up.  Issue: SPR-13162","closed","","sbrannen","2015-06-24T15:54:26Z","2015-06-24T19:18:31Z"
"","715","Revisit empty body response support in HTTP client","Prior to this commit, HTTP responses without body (response status 204 or 304, Content-Length: 0) were handled properly by RestTemplates. But some other cases were not properly managed, throwing exceptions for valid HTTP responses.  This commit better handles HTTP responses, using a response wrapper that can tell if a response: - has no message body (HTTP status 1XX, 204, 304 or Content-Length:0) - has an empty message body  This covers rfc7230 Section 3.3.3.  Issue: SPR-8016","closed","","bclozel","2014-12-31T13:07:22Z","2015-01-27T13:25:07Z"
"","795","Remove duplicate separators when combining","Prior to this commit, AntPathMatcher would not correctly combine a path that ends with a separator with a path that starts with a separator. I.e. /foo/ + /bar combined into /foo//bar.  This commit removes the duplicates separator. It also improves RequestMappingInfo's String representation.  Issue: SPR-12975","closed","","poutsma","2015-05-08T09:35:18Z","2015-05-08T12:06:52Z"
"","843","Improve DateHeaders in MockServletRequest/Response","Prior to this change, calling the `setDateHeader` method on a Spring Test MockHttpServletResponse instance would just store the given long value in a Map, not writing it as a formatted date String. Also, calling `getDateHeader` on a MockHttpServletRequest would not support date strings and could not parse those values.  This can be problematic when testing features related to date headers such as ""Expires"", ""If-Modified-Since"", ""Last-Modified"", etc.  This commit adds formatting and parsing capabilities to Servlet Mocks for date strings in HTTP headers.  When formatting dates to Strings, the date format used is the one preferred by the HTTP RFC. When parsing date Strings, multiple date formats are supported for better compatibility.  Issue: SPR-11912","closed","","bclozel","2015-07-22T11:43:58Z","2015-07-23T11:13:47Z"
"","816","Improve charset management in XpathResultMatchers","Prior to this change, `XpathResultMatchers` and more generally the `MockHttpServletResponse` would default to ISO-8859-1 encoding even when it's not supposed to. The Servlet/HTTP specs mention this encoding for all `text/*` mime types when decoding bodies to Strings, but this issue is about XML Parsers.  XML Parsers should use the encoding: - defined in the `Content-Type` response header (if available) - written in the XML declaration of the document - ""guessed"" by a built-in auto-detection mechanism  This commit changes the following: - XPathMatchers now feed the XML parser with byte arrays instead of   decoded Strings - the response should be written to `MockHttpServletResponse` using   its OutputStream, and not a PrintWriter which defaults to ISO-8859-1  Issue: SPR-12676","closed","","bclozel","2015-06-10T15:16:31Z","2015-06-17T08:17:38Z"
"","834","DelegatingFilterProxy looks at ""registered"" WebApplicationContexts","Previously when users registered an additional Filter in the DispatcherServlet the DelegatingFilterProxy would not find it unless the context attribute was set. The value for which was difficult to remember and added quite a bit of additional ""if"" statements to setting up Spring Security successfully.  This change allows registering additional known WebApplicationContext instances. The DispatcherServlet uses this mechanism to register its context. With that change DelegatingFilterProxy searches for the first registered WebApplicationContext that contains the bean name.  This change also sets up the ability for Spring Security to lookup Beans defined in the child context within the Tag libs.  Issue: SPR-13191","closed","","rwinch","2015-07-09T21:02:25Z","2015-10-27T19:13:44Z"
"","836","Add support for JdbcTempalte.queryForObject(sql,.class)","Previously using jdbcTemplate.queryForObject(sql, int.class) produced a TypeMismatchDataAccessException stating it could not convert an Integer to an int.  This update allows conversion to the respective primitives instead of just the wrapper Objects.  Issue: SPR-13220","closed","","rwinch","2015-07-10T15:11:17Z","2015-07-13T18:18:34Z"
"","782","SPR-12945: Add merged RequestPostProcessor to front on merge","Previously MockHttpServletRequestBuilder merge method would append the parent's (default) RequestPostProcessor implementations to the end. This means that the default RequestPostProcessor implementations would override values set by previous RequestPostProcessor implementations.  This commit ensures that the default RequestPostProcessor are preformed first so that additional RequestPostProcessor implementations override the defaults.  Issue: SPR-12945","closed","","rwinch","2015-04-22T20:43:03Z","2015-04-24T17:14:36Z"
"","762","Override properties using system properties in PropertyOverrideConfigurer","Please review. For detail, refer to https://jira.spring.io/browse/SPR-12853.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","in: core,","kazuki43zoo","2015-03-26T15:09:23Z","2021-11-22T09:48:27Z"
"","773","Performance Optimization on getResultSetValue","Performance Optimization, using "".equals"" is signifigantly slower than ""=="".   When using ""BeanPropertyRowMapper"", we ran load tests and found significant lack of performance when calling ""getColumnValue"". I noticed that ""getColumnValue"" simply just calls ""JdbcUtils.getResultSetValue"". These tests were run on an table with roughly 70 columns.  After making change I ran three tests 1) with existing BeanPropertyRowMapper 2) with optimized BeanPropertyRowMapper 3) with a Custom RowMapper, mapped exactly to the class. # Benchmark Results  1) round: 0.38 [+- 0.11], round.block: 0.00 [+- 0.00], round.gc: 0.00 [+- 0.00], GC.calls: 1, GC.time: 0.01, time.total: 7.98, time.warmup: 0.28, time.bench: 7.70 2) round: 0.23 [+- 0.02], round.block: 0.00 [+- 0.00], round.gc: 0.00 [+- 0.00], GC.calls: 0, GC.time: 0.00, time.total: 4.80, time.warmup: 0.22, time.bench: 4.58 3) round: 0.22 [+- 0.02], round.block: 0.00 [+- 0.00], round.gc: 0.00 [+- 0.00], GC.calls: 0, GC.time: 0.00, time.total: 4.62, time.warmup: 0.19, time.bench: 4.43  As you can see the optimized version makes BeanPropertyRowMapper almost as fast as a custom made RowMapper.","closed","","DR9885","2015-04-09T05:11:30Z","2015-07-11T07:04:19Z"
"","736","access user-agent via requestContext","Our colleagues want to access the ""user-agent"" in freemarker.","closed","status: declined,","xiaoshuai","2015-02-11T06:23:58Z","2020-06-23T07:00:53Z"
"","839","fix package of MockMvcResultHandlers and MockMvcResultMatchers","org.springframework.test.web.SERVER.result.MockMvcResultMatchers -> org.springframework.test.web.SERVLET.result.MockMvcResultMatchers","closed","","ghost","2015-07-16T08:25:43Z","2015-07-16T09:29:01Z"
"","763","SPR-12801 Support for named parameters in SimpleJdbcCall","Modification to support named parameter binding in JDBC calls. See SPR-12801 for more info.","closed","","cynicLT","2015-03-29T13:28:30Z","2015-05-15T07:58:44Z"
"","769","4.1.x","love springframework","closed","","gaods","2015-04-04T04:27:27Z","2015-04-04T06:01:28Z"
"","854","SPR-13320: Additional Testing Methods Added To JsonPathResultMatchers","JsonPathResultMatchers has some useful methods: - doesNotExist - exists - isArray  This commit adds a few more useful methods: - isBoolean - isNumber - isMap - isString  Issue: https://jira.spring.io/browse/SPR-13320  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","candrews","2015-08-06T04:52:44Z","2015-08-06T22:30:59Z"
"","853","SPR-13321: SocketUtils, Bind to localhost","JIRA: https://jira.spring.io/browse/SPR-13321","closed","","garyrussell","2015-08-05T16:41:24Z","2015-08-12T16:50:47Z"
"","865","4.1.x","Java config  Quartz + Spring double execution on startup   Example :   import java.time.LocalTime; import javax.servlet.http.HttpServletResponse; import org.springframework.context.annotation.ComponentScan; import org.springframework.context.annotation.Configuration; import org.springframework.scheduling.annotation.EnableScheduling; import org.springframework.scheduling.annotation.Scheduled; import org.springframework.stereotype.Controller; import org.springframework.web.bind.annotation.RequestMapping; import org.springframework.web.bind.annotation.RequestMethod; import org.springframework.web.bind.annotation.RequestParam; import org.springframework.web.bind.annotation.ResponseBody; import org.springframework.web.servlet.config.annotation.EnableWebMvc; import org.springframework.web.servlet.config.annotation.WebMvcConfigurerAdapter; import org.springframework.web.servlet.support.AbstractAnnotationConfigDispatcherServletInitializer;   @Configuration @EnableWebMvc @EnableScheduling @ComponentScan({""ru.web.portal.onlinescheduling""}) @Controller public class WebConfig extends WebMvcConfigurerAdapter {       @Scheduled(fixedDelay = 3000)     public void time() {         System.out.printf(""%s\n"", LocalTime.now());     }           public static class MvcWebApplicationInitializer extends AbstractAnnotationConfigDispatcherServletInitializer {             @Override         protected Class<?>[] getRootConfigClasses() {             return new Class[]{WebConfig.class};         }           @Override         protected Class<?>[] getServletConfigClasses() {             return new Class[]{WebConfig.class};         }           @Override         protected String[] getServletMappings() {             return new String[]{""/""};           }     }   }     not a singleton by default   14:19:25.386 14:19:25.491 14:19:28.386 14:19:28.492 14:19:31.387 14:19:31.492   solution       @Override         protected Class<?>[] getServletConfigClasses() {             return null;         }   14:20:25.477 14:20:28.478 14:20:31.478 14:20:34.479","closed","","isalnikov","2015-08-24T11:22:43Z","2015-08-24T11:35:00Z"
"","737","Fix Animal Sniffer","Jasper Reports’ transitive dependency on spring-context (via castor-xml which is a new dependency in 6.0.3) was being mapped by Gradle to a dependency on the spring-context project. For reasons that I do not fully understand this was causing -source and -javadoc jars to be added to the project's compile classpath which is used by the Animal Sniffer Ant task. When the task runs these jars do not exist which causes it to fail. This commit fixes the problem by adding an exclusion of org.springframework:spring-context to the Jasper Reports dependencies in spring-context-support and spring-webmvc.","closed","","wilkinsona","2015-02-11T17:06:43Z","2015-02-11T17:10:30Z"
"","810","Add nullToEmpty convenience method to StringUtils","It allows you to replace common patterns like:  ``` java if(string == null) {     string = """"; } doSomethingWith(string); ```  or:  ``` java return string == null ? """" : string; ```  with a `nullToEmpty(string)` method call.","closed","status: declined,","kamilszymanski","2015-05-30T15:50:15Z","2020-06-23T13:57:16Z"
"","867","Support MessageSourceResolvable to string argument value at SpringValidatorAdapter","Issues: SPR-13406  For details, refer to the [SPR-13406](https://jira.spring.io/browse/SPR-13406). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-08-29T20:17:52Z","2016-02-17T23:21:52Z"
"","787","Change to the BeanPropertyRowMapper from the ParameterizedBeanPropertyRowMapper","Issues: SPR-12980  For details, please refer to the [SPR-12980](https://jira.spring.io/browse/SPR-12980). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-05T12:31:05Z","2015-05-05T12:55:10Z"
"","869","Prevent a IllegalStateException in BindStatus at the time of without property access","Issue: SPR-13426  For details, refer to the [SPR-13426](https://jira.spring.io/browse/SPR-13426). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-09-03T18:50:21Z","2016-03-04T14:10:54Z"
"","866","Add preventBinding attribute at @ModelAttribute","Issue: SPR-13402  For details, refer to the [SPR-13402](https://jira.spring.io/browse/SPR-13402). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-08-27T21:56:53Z","2016-07-18T06:17:28Z"
"","856","Modify default value of CommonsPool2TargetSource#maxWait","Issue: SPR-13350  For details, refer to the [SPR-13350](https://jira.spring.io/browse/SPR-13350). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-08-14T14:08:49Z","2015-08-14T14:41:24Z"
"","796","Modify to use the ConfigurableApplicationContext in reference document","Issue: SPR-13000  For details, please refer to the [SPR-13000](https://jira.spring.io/browse/SPR-13000). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-09T01:28:30Z","2015-05-09T10:26:08Z"
"","792","Remove the RemoteAccountService","Issue: SPR-12992  For details, please refer to the [SPR-12992](https://jira.spring.io/browse/SPR-12992). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-06T10:17:39Z","2015-05-08T15:28:55Z"
"","791","Modify to disply the image of oxm exceptions hierarchy","Issue: SPR-12990  For details, please refer to the [SPR-12990](https://jira.spring.io/browse/SPR-12990). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-06T06:44:50Z","2015-05-06T17:04:37Z"
"","790","JpaDialect description replace to EclipseLink from Toplink","Issue: SPR-12988  For details, please refer to the [PR-12988](https://jira.spring.io/browse/SPR-12988). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-05T19:24:34Z","2015-05-06T11:21:30Z"
"","789","Remove descriptions of classic ORM API(JDO/JPA)","Issue: SPR-12987  For details, please refer to the [PR-12987](https://jira.spring.io/browse/SPR-12987). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-05T18:21:23Z","2015-05-06T12:05:05Z"
"","788","Improve description of DefaultLobHandler","Issue: SPR-12985  For details, please refer to the [PR-12985](https://jira.spring.io/browse/SPR-12985). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.  **Note:** Sorry, I don't have a confidence to the English. If bad grammar or representation or words exist, please modify it.","closed","","kazuki43zoo","2015-05-05T14:21:01Z","2015-05-06T17:45:57Z"
"","786","Fixes bad grammar in reference document","Issue: SPR-12981  For details, please refer to the [SPR-12981](https://jira.spring.io/browse/SPR-12981). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-05T12:24:02Z","2015-05-05T12:54:48Z"
"","785","Fixes description of JdbcTemplate#setResultsMapCaseInsensitive","Issue: SPR-12979  For details, please refer to the [SPR-12979](https://jira.spring.io/browse/SPR-12979). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-05-05T09:05:15Z","2015-05-05T12:54:18Z"
"","857","Add @since at SimpleJdbcCallOperations#withNamedBinding","Issue: SPR-12801  I've improve JavaDoc comment. I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-08-14T22:56:39Z","2015-08-15T07:08:26Z"
"","753","Ignore null in HeadersBuilder#headers","Issue: SPR-12792  For detail, refer to https://jira.spring.io/browse/SPR-12792.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-03-07T03:53:52Z","2015-03-10T15:51:18Z"
"","741","Support the meta annotation at @NumberFormat","Issue: SPR-12743  I support the meta annotation mechanism at the `@NumberFormat` as same with the `@DateTimeForamt`. For detail, refer to https://jira.spring.io/browse/SPR-12743.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-02-22T15:07:44Z","2015-03-08T04:44:22Z"
"","723","Make TransactionAwareCacheDecorator.clear synchronized with transaction","Issue: SPR-12653  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","svolsky","2015-01-22T20:55:16Z","2015-02-10T13:54:06Z"
"","860","Register Hibernate4Module and Hibernate5Module when available","Issue: https://jira.spring.io/browse/SPR-13355, https://jira.spring.io/browse/SPR-13356  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","candrews","2015-08-17T13:05:33Z","2015-09-15T00:45:50Z"
"","861","Register Jdk7Module when using Java 7","Issue: https://jira.spring.io/browse/SPR-13354  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","candrews","2015-08-17T13:10:32Z","2015-08-18T12:33:38Z"
"","850","SPR-13293","Issue https://jira.spring.io/browse/SPR-13293","closed","","m-szalik","2015-07-30T10:09:16Z","2015-07-30T10:13:42Z"
"","829","Add an ObjectMapper constructor to MappingJackson2JsonView","Instead of having to use the default constructor then calling #setObjectMapper(ObjectMapper), this constructor allows the MappingJackson2JsonView to be created and configured with the desired object mapper in one step.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","candrews","2015-06-29T14:34:28Z","2015-08-19T12:26:08Z"
"","830","Update about dependency library for integrating the email functionality in reference document","In the JDK requirement of Spring 4 (JDK 1.6+), the activation.jar is unnecessary on the class path. Therefore i removed description about the activation.jar.  Please review this PR.  I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","","kazuki43zoo","2015-06-30T15:08:11Z","2015-06-30T16:21:57Z"
"","775","Add isNotEmpty convenience method to StringUtils","In some (most?) cases `isNotEmpty(someString)` expresses your intentions better than `hasLength(someString)` and is more readable and less error-prone than `!isEmpty(someString)`","closed","","kamilszymanski","2015-04-10T07:36:34Z","2015-04-23T20:34:27Z"
