"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1232","4.0.x","我需要源码","closed","","lianyiwuming","2016-11-08T08:10:53Z","2016-11-08T08:19:59Z"
"","1245","Make the signature of ReactiveHttpOutputMessage#writeAndFlush(…) more flexible","This solves [SPR-14952](https://jira.spring.io/browse/SPR-14952) by applying the suggested solution and cascading the change through the interface hierarchy (and clients).  Original signature of `ReactiveHttpOutputMessage#writeAndFlushWith(…)`:  ```java Mono writeAndFlushWith(Publisher> body); ```  Modified signature:  ```java Mono writeAndFlushWith(Publisher> body); ```  Which makes this method callable with `Flux>` objects as arguments. Which is what is obtained for example by means of calling `Flux#window(…)`:  ```java final Flux dataStream = ...; // Flux#window(...) returns Flux> exchange.getResponse().writeAndFlushWith(dataStream.window(3)); ```","closed","","danielfernandez","2016-11-24T22:03:30Z","2016-11-25T09:34:51Z"
"","1106","SPR-14456 - Asynchronous tests of controller that returns StreamingResponseBody","This pull requests add 3 tests to `AsyncTests.java`. They demonstrate testing of asynchronous request handling if controller returns an instance of `StreamingResponseBody`. This differs from testing of controller that return `Callable` or `DeferredResult` very much. ## Background story  While testing my Spring MVC application I came across your great examples of how to test asynchronous request processing using `spring-test` library in [AsyncTests.java](https://github.com/spring-projects/spring-framework/blob/master/spring-test/src/test/java/org/springframework/test/web/servlet/samples/standalone/AsyncTests.java) file.  My application however is designed to steam a huge amount of data and thus controllers return instances of `StreamingResponseBody` interface.  Unfortunately the examples from `AsyncTests.java` did not work as expected. During second step after the `asyncDispatch(mvcResult)` method my expectations against `content()` always failed claiming that response is empty whereas I've expected some data to be written to output stream.  It took me some time to debug and figure out that the `asyncDispatch(...` method is actually returns back only the modified version of original request, and the `perform(...` method creates a new instance of `MvcResult` with a fresh version of `MockHttpServletResponse`. The logic inside controllers was writing the data into original HTTP response generated by initial `perform(...` method, while I was validating the content of HTTP response generated by second `perform(...`.  If somebody else is looking for a good example to test controller with streaming body, it would be great if they could find it in the source code of original library.","closed","","darklynx","2016-07-11T20:26:16Z","2016-07-13T07:13:21Z"
"","1064","Polish Javadoc in MediaType","This PR simply removes unnecessary `*` in Javadoc for `MediaType`.","closed","","izeye","2016-05-25T05:50:41Z","2016-05-25T07:24:25Z"
"","1209","SPR-14800: Refactor tests with ScriptedSubscriber","This PR refactors all existing tests to use this new infrastructure and removed the `TestSubscriber` implementation.  This PR should be merged soon, still waiting for the latest changes on the `ScriptedSubscriber` for be reviewed by the reactor+spring team.","closed","","bclozel","2016-10-18T07:34:45Z","2016-10-25T08:57:39Z"
"","1264","SPR-14953: Provide shortcut methods for routing","This PR make the route declaration shorter and more readable, for example for Reactor website:  Instead of: ```java private static RouterFunction routes() { 	return route(GET(""/docs/api/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/docs/"", ""/old/""))).build()) 		.andRoute(GET(""/docs/reference/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/docs/"", ""/old/""))).build()) 		.andRoute(GET(""/docs/raw/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/docs/"", ""/old/""))).build()) 		.andRoute(GET(""/docs/{dir}/api""), request -> 			status(FOUND).location(URI.create(request.path().replace(""api"", ""release""))).build()) 		.andRoute(GET(""/core/docs/reference/**""), request -> 			status(FOUND).location(URI.create(""https://github.com/reactor/reactor-core/blob/master/README.md"")).build()) 		.andRoute(GET(""/core/docs/api/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/core/docs/"",""/docs/core/release/""))).build()) 		.andRoute(GET(""/netty/docs/api/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/netty/docs/"",""/docs/netty/release/""))).build()) 		.andRoute(GET(""/ipc/docs/api/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/ipc/docs/"", ""/docs/ipc/release/""))).build()) 		.andRoute(GET(""/ext/docs/api/**/test/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/ext/docs/"", ""/docs/test/release/""))).build()) 		.andRoute(GET(""/ext/docs/api/**/adapter/**""), request -> 			status(FOUND).location(URI.create(request.path().replace(""/ext/docs/"", ""/docs/adapter/release/""))).build()) 		.and(resources(""/**"", new ClassPathResource(""static/""))) 		; } ```  We can write: ```java private static RouterFunction routes() { 	return routeGet(""/docs/api/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/docs/"", ""/old/""))).build()) 		.andRouteGet(""/docs/reference/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/docs/"", ""/old/""))).build()) 		.andRouteGet(""/docs/raw/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/docs/"", ""/old/""))).build()) 		.andRouteGet(""/docs/{dir}/api"", request -> 			status(FOUND).location(URI.create(request.path().replace(""api"", ""release""))).build()) 		.andRouteGet(""/core/docs/reference/**"", request -> 			status(FOUND).location(URI.create(""https://github.com/reactor/reactor-core/blob/master/README.md"")).build()) 		.andRouteGet(""/core/docs/api/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/core/docs/"",""/docs/core/release/""))).build()) 		.andRouteGet(""/netty/docs/api/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/netty/docs/"",""/docs/netty/release/""))).build()) 		.andRouteGet(""/ipc/docs/api/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/ipc/docs/"", ""/docs/ipc/release/""))).build()) 		.andRouteGet(""/ext/docs/api/**/test/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/ext/docs/"", ""/docs/test/release/""))).build()) 		.andRouteGet(""/ext/docs/api/**/adapter/**"", request -> 			status(FOUND).location(URI.create(request.path().replace(""/ext/docs/"", ""/docs/adapter/release/""))).build()) 		.and(resources(""/**"", new ClassPathResource(""static/""))) 		; } ```  Also in Kotlin it provides for free a workaround for a limitation that forces to specify the lambda type, so instead of writing: ```kotlin route(GET(""/""), HandlerFunction { ok().body(fromObject(""Hello Mix-IT!"")) }) .andRoute(GET(""/user/{id}""), HandlerFunction { req -> ok().body(fromObject(User(req.pathVariable(""id"").toLong(), ""Robert""))) }) ``` We can write: ```kotlin routeGet(""/"", { ok().body(fromObject(""Hello Mix-IT!"")) }) .andRouteGet(""/user/{id}"", { req -> ok().body(fromObject(User(req.pathVariable(""id"").toLong(), ""Robert""))) }) ```","closed","","sdeleuze","2016-12-09T10:08:01Z","2021-04-28T10:12:26Z"
"","1183","fix spelling of word 'recommendation'","this PR fixes the spelling error for the word 'recommendation' in the description of the CORS headers.","closed","","joshlong","2016-09-21T04:26:56Z","2016-09-21T19:04:18Z"
"","1188","EncoderHttpMessageWriter tries to send wildcard type in response header","This PR fix issue when endpoint produce ByteBuffer's with content type octet-stream:  ``` java     @RequestMapping(value = ""/proxy"", produces = MediaType.APPLICATION_OCTET_STREAM_VALUE)     @ResponseBody     @ResponseStatus(code = HttpStatus.OK)     public Flux proxy() {        //impl     } ```  As a result I get stacktrace:  ``` java.lang.IllegalArgumentException: 'Content-Type' cannot contain wildcard type '*'     at org.springframework.util.Assert.isTrue(Assert.java:86) ~[spring-core-5.0.0.M2.jar:5.0.0.M2]     at org.springframework.http.HttpHeaders.setContentType(HttpHeaders.java:735) ~[spring-web-5.0.0.BUILD-20160926.160659-291.jar:5.0.0.BUILD-SNAPSHOT]     at org.springframework.http.codec.EncoderHttpMessageWriter.write(EncoderHttpMessageWriter.java:99) ~[spring-web-5.0.0.BUILD-20160926.160659-291.jar:5.0.0.BUILD-SNAPSHOT]     at org.springframework.web.reactive.result.method.annotation.AbstractMessageWriterResultHandler.writeBody(AbstractMessageWriterResultHandler.java:131) ~[spring-web-reactive-5.0.0.BUILD-20160926.160659-234.jar:5.0.0.BUILD-SNAPSHOT]     at org.springframework.web.reactive.result.method.annotation.ResponseBodyResultHandler.handleResult(ResponseBodyResultHandler.java:121) ~[spring-web-reactive-5.0.0.BUILD-20160926.160659-234.jar:5.0.0.BUILD-SNAPSHOT]     at org.springframework.web.reactive.DispatcherHandler.handleResult(DispatcherHandler.java:142) ~[spring-web-reactive-5.0.0.BUILD-20160926.160659-234.jar:5.0.0.BUILD-SNAPSHOT]     at org.springframework.web.reactive.DispatcherHandler.lambda$handle$2(DispatcherHandler.java:129) ~[spring-web-reactive-5.0.0.BUILD-20160926.160659-234.jar:5.0.0.BUILD-SNAPSHOT] [more] ```","closed","","soldierkam","2016-09-28T20:34:22Z","2016-10-14T21:20:12Z"
"","1193","Log unresolved exceptions at error level","This PR change the log level of unresolved exceptions from debug to error, in order to avoid the ""no exception displayed by default"" behaviour that we have currently. Are you ok with this change @rstoyanchev?","closed","","sdeleuze","2016-10-03T09:16:17Z","2021-04-28T09:58:46Z"
"","1211","Better encapsulation for CORS default permit configuration","This PR allows better encapsulation for CORS user-level configuration, and improve the `CorsRegistration` Javadoc as discussed in [SPR-14798](https://jira.spring.io/browse/SPR-14798).  I did not implement the `CorsConfiguration #PERMIT_ALL_CORS_CONFIGURATION` proposal because the properties won't be immutable, so I chose the previous proposal using `applyDefaultPermitConfiguration()` method name instead of `initEmptyToPermitAll()`.  I chose this name because this is not totally a permit all strategy, not all methods are allowed and it also set `allowCredentials` and `maxAge` to defaults that make sense for most users.","closed","","sdeleuze","2016-10-18T13:00:26Z","2021-04-28T09:58:47Z"
"","1212","add some utility methods for StringUtils","this PR add some useful method in StringUtils like ""isNotEmpty"",  this kind of method is more readable and avoid thing like this   > import static org.springframework.util.StringUtils.isEmpty; > (...) > if (!isEmpty(someString)) { > // some code with this string > }  OR   > import static org.springframework.util.StringUtils.isEmpty; > import static org.springframework.util.StringUtils.trimWhiteSpace; > (...) > if (!isEmpty(trimWhiteSpace(someString))) { > // some code with this string > }  Also I have update the StringUtils unit test","closed","","SympathyForTheDev","2016-10-19T09:16:44Z","2016-10-24T10:42:44Z"
"","1273","Ordering by root context first before exporting a json view of contexts","This is likely a fairly pointless PR - absolutely no issues if it is felt that this is likely not required.  I noticed that the `/beans` actuator endpoint in a spring-boot app returns the list of beans in a random order, this can be traced back to the behavior of the LiveBeansView class. This PR orders it parent context first before printing it as a json","closed","","bijukunjummen","2016-12-22T04:09:52Z","2016-12-22T07:55:39Z"
"","1113","Applied skeletal implementation to interface migration automated refactoring","This is a semantics-preserving refactoring that migrates existing method implementations in classes to the corresponding implemented interface methods as `default` methods. The tool **does not** add new code; it only rearranges _existing_ code. - We are evaluating a research prototype automated refactoring Eclipse plug-in called [Migrate Skeletal Implementation to Interface](https://github.com/khatchad/Migrate-Skeletal-Implementation-to-Interface-Refactoring). We have applied the tool to your project in the hopes of receiving feedback. - The approach is very conservative. That may mean that not all changes that can be made were made. Please feel free to continue the refactoring manually if you wish. - We only migrated methods declared in abstract classes with the hopes of such methods being suitable default methods in corresponding interfaces. - The source code should be semantically equivalent to the original.  Thank you for your help in this evaluation! Any feedback you can provide would be very helpful. In particular, we are interested if _each_ of the proposed changes are helpful or not.","closed","","khatchad","2016-07-16T00:03:28Z","2017-05-10T15:10:35Z"
"","1189","Add Reactive CORS support","This is a draft PR not ready yet to be merged, only here for review and discussion.  It implements CORS support by creating reactive version of Spring Web and Spring MVC CORS support classes: - I chose to keep the same class names, but in `reactive` package. - `CorsConfiguration` is not tied to Servlet API so we can reuse it - CORS `HandlerMapping` integration is done at `AbstractHandlerMapping` level. Since we can't add dynamically filters CorsProcessor#processRequest()` is directly called. - `AbstractUrlHandlerMapping` and `AbstractHandlerMethodMapping` have been slightly modified to call `AbstractHandlerMapping#processCorsRequest()` - Only support for global CORS configuration has been implemented, `@CrossOrigin` support will come with another commit.  Could you make a quick high-level overview of this PR @rstoyanchev, before I go further?","closed","","sdeleuze","2016-09-29T15:31:39Z","2021-04-28T09:58:47Z"
"","1187","ExceptionHandlingWebHandler should log exception at ""error"" level","This handler send status 500, so in logs should be information ""why"".","closed","","soldierkam","2016-09-28T19:04:48Z","2016-10-04T14:57:29Z"
"","1201","Add reactive multipart request support","This draft PR is a first Multipart support implementation here for high-level feedbacks and discussion.  It does not include RequestMapping level support, integration tests do not work yet with Reactor and RxNetty and `NioMultipartResolver` need to be rewritten using `Flux.create()` instead of `ReplayProcessor`.","closed","","sdeleuze","2016-10-12T09:24:06Z","2021-04-28T09:56:59Z"
"","1163","Refactor how hints (like JsonView) are passed to codecs","This draft PR brings the new hints API based on `Map`, a reactive port of `RequestBodyAdvice` and `ResponseBodyAdvice` and a concrete use case with the `JsonView` support for both request and response body.  Thanks in advance for your feedback @rstoyanchev, @bclozel, @poutsma !","closed","","sdeleuze","2016-09-08T09:44:56Z","2021-04-28T09:58:44Z"
"","1119","Reactor StringEncoder into CharSequenceEncoder","This commit refactors the StringEncoder to a CharSequenceEncoder, in order to support StringBuilders, Groovy GStrings, etc.  Issue: https://github.com/spring-projects/spring-reactive/issues/120","closed","","poutsma","2016-07-21T10:20:37Z","2016-07-22T17:51:11Z"
"","1267","Allow HandlerFunction to return Mono","This commit makes it possible for handler functions to return asynchronous status codes and headers, by making HandlerFunction.handle return a Mono instead of a ServerResponse. As a consequence, all other types that deal with HandlerFunctions (RouterFunction, HandlerFilterFunction, etc.) had to change as well.  However, when combining the above change with method references (a very typical use case), resulting signatures would have been something like:  ``` public Mono>> getPerson(ServerRequest request) ```  which was too ugly to consider, especially the two uses of Mono. It was considered to merge ServerResponse with the last Mono, essentialy making ServerResponse always contain a Publisher, but this had unfortunate consequences in view rendering.  It was therefore decided to drop the parameterization of ServerResponse, as the only usage of the extra type information was to manipulate the response objects in a filter. Even before the above change this was suggested; it just made the change even more necessary.  As a consequence, `BodyInserter` could be turned into a real `FunctionalInterface`, which resulted in changes in ClientRequest.  We did, however, make HandlerFunction.handle return a `Mono`, adding little complexity, but allowing for future `ServerResponse` subtypes that do expose type information, if it's needed. For instance, a RenderingResponse could expose the view name and model.  Issue: SPR-14870","closed","","poutsma","2016-12-13T16:14:24Z","2016-12-14T15:53:20Z"
"","1265","Allow athentication at the STOMP level","This commit makes it possible for a ChannelInterceptor to override the user header in a Spring Message that contains a STOMP CONNECT frame.  After the message is sent, the updated user header is observed and saved to be associated with session thereafter.  Issue: SPR-14690","closed","","rstoyanchev","2016-12-09T22:43:58Z","2016-12-14T09:39:32Z"
"","1173","Add WebApplicationInitializers for Web Reactive","This commit introduces three new WebApplicationInitializers for use with Spring Web Reactive: - The AbstractServletHttpHandlerAdapterInitializer registers a   ServletHttpHandlerAdapter that wraps a user-provided HttpHandler. - The AbstractDispatcherHandlerInitializer registers a   ServletHttpHandlerAdapter that wraps a DispatcherHandler (or any   WebHandler). The handler is provided with an application context. - The AbstractAnnotationConfigDispatcherHandlerInitializer is a   subclass of the above, creating an   AnnotationConfigWebApplicationContext based on provided `@Configuration`   classes.  Issue: SPR-14713","closed","","poutsma","2016-09-14T10:53:46Z","2016-09-16T16:57:30Z"
"","1162","Change View.render method to take Map","This commit introduces support for model & view rendering in web.reactive.function. The first three commits or this PR contain changes in web.reactive.result.view necessary to facilitate this.  @rstoyanchev: could you take a look at this, especially the first three commits? If you are OK with the changes there, then I will make a JIRA issue to link to.","closed","","poutsma","2016-09-07T11:07:21Z","2016-09-09T13:36:38Z"
"","1116","SPR-14471 - Add autowiring support to SpringBeanJobFactory","This commit introduces autowiring support to the SpringBeanJobFactory. It will call the autowireBean method if an AutowireCapableBeanFactory has been injected. The autowiring will be done on either the Job or the delegate of the DelegatingJob which contains a Runnable.  A test has been added to verify the correct behavior of the autowiring and as well as retaining the initial support of using the job data for wiring dependencies.  Issue: [SPR-14471](https://jira.spring.io/browse/SPR-14471)","closed","","mdeinum","2016-07-18T07:13:24Z","2018-10-10T12:38:18Z"
"","1144","Introduce @DisabledIf annotation for JUnit 5","This commit introduces @DisabledIf annotation that takes SpEL as a condition.  The condition is evaluated at run time whether to disable JUnit 5 (Jupiter) test method/class.  Issue: SPR-14614","closed","","ttddyy","2016-08-25T17:58:03Z","2016-08-28T19:21:13Z"
"","1202","SPR-14754 - Add EnableWebReactive + WebReactiveConfigurer","This commit improves the existing web reactive configuration infrastructure with the following changes: - renamed `WebReactiveConfiguration` to   `WebReactiveConfigurationSupport` and is is no longer a Configuration   class - created the `WebReactiveConfigurer` interface; Configuration classes   implementing it will augment the web reactive configuration support - created the `DelegatingWebReactiveConfiguration` and   `WebReactiveConfigurerComposite` to effectively tie those custom-defined   configurers to the main configuration support - created the `@EnableWebReactive` to active that support in   configuration classes  Issue: SPR-14754","closed","","bclozel","2016-10-13T18:46:59Z","2016-10-17T09:23:43Z"
"","1156","SPR-10502 - PropertyPlaceholder multiple locations resolution","This commit fixes an issue, when in XML defined config there is context:property-resolver with the value if form of value=""${placeholder}"" thus it should be resolved with system property. Issue occurs when property already resolved, but appropriate splitting by comma already had passed.  Issue: https://jira.spring.io/browse/SPR-10502","closed","","fdesu","2016-09-03T00:09:04Z","2016-11-03T20:17:05Z"
"","1121","AbstractListenerServerHttpResponse improvements","This commit changes writeWithInternal(Publisher body). It is implemented as writeAndFlushWith(Mono.just(body)).","closed","","violetagg","2016-07-26T13:24:47Z","2016-07-27T17:10:50Z"
"","1140","SpringJUnit4ClassRunner should be thread safe","This commit changes the SpringJunit4ClassRunner to use a ThreadLocal to store the TestContextManager instead of using a single instance.  Initial code from Bastian Voigt (https://github.com/BastianVoigt/spring-framework/commit/a5e466e12edca26fb3637d7acafc214f83019345)  Issue: SPR-12421","closed","","mdeinum","2016-08-25T09:43:20Z","2016-09-08T10:46:00Z"
"","1247","Add Vertx support","This commit adds Vert.x integration that includes Vert.x-based implementations of ServerHttpRequest and ServerHttpResponse as well as an adapter from the Vert.x HttpServerRequest to the HttpHandler contracts.  I'm interested in feedback if implementation of spring reactive using Vert.x is reasonable task.","closed","","melgenek","2016-11-26T12:11:41Z","2016-11-28T12:32:27Z"
"","1214","ApplicationContext-based HttpHandler setup","This commit adds support for detecting the target WebHandler along with WebFilters, WebExceptionHandlers, and other spring-web reactive strategies in an ApplicationContext.  WebReactiveConfigurationSupport has @Bean factory methods for DispatcherHandler and ResponseStatusExceptionHandler.  WebHttpHandlerBuilder has a static factory method that initializes the builder from an ApplicationContext. This method is also used in the DispatcherHandler#toHttpHandler(ApplicationContext) shortcut method.  Issue: SPR-14837","closed","","rstoyanchev","2016-10-21T22:09:10Z","2016-11-03T14:47:35Z"
"","1154","Addes static start method to HttpHandler adapters","This commit adds a static ""start"" method to the Reactor and RxNetty HttpHandler adapters, to facilitate easy starting from a main method.","closed","","poutsma","2016-09-02T13:10:01Z","2016-09-14T13:54:15Z"
"","1219","Add ""mutate"" builder to ServerWebExchange","This commit adds a default mutate method to ServerWebExchange which prepares an immutable wrapper and returns the provided mutated properties.","closed","","rstoyanchev","2016-10-24T01:10:21Z","2016-10-28T16:07:16Z"
"","1237","Add SockJS clients for EventSource transport","There were no transport implementations available in spring-websocket that were able to use the EventSource transport method. This commit adds EventSource transports based on RestTemplate, Jetty and Undertow.  This commit also extracts some common code that can be shared between XHR and EventSource transports to the `AbstractHttpTransport` class.","closed","","slovdahl","2016-11-14T18:53:09Z","2018-03-30T15:01:08Z"
"","1165","Fix typo in asciidoc","There is no attribute named `path` in `@RequestParam`, so I change it to `name`.","closed","","nkjackzhang","2016-09-09T10:25:25Z","2016-09-10T05:50:01Z"
"","1084","SPR-14433 - Inline variable that is used only once","The variable canonicalName is used only once, and there is no need to call canonicalName() when  ""alreadySeen != null && alreadySeen.contains(beanName)"" is true,  so inline it.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","nkjackzhang","2016-06-17T08:37:59Z","2016-07-06T15:52:30Z"
"","1097","Fix broken javadoc","The javadocs are broken where lines start with ""@{"".  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","nkjackzhang","2016-07-01T09:45:09Z","2016-07-01T12:26:26Z"
"","1205","Fix NativeJdbcExtractors documentation","The documentation mentions various NativeJdbcExtractors that no longer exist. To be specific CommonsDbcpNativeJdbcExtractor and XAPoolNativeJdbcExtractor no longer exist.  This commit includes the following changes: - remove CommonsDbcpNativeJdbcExtractor references from Asciidoctor - remove CommonsDbcpNativeJdbcExtractor references from Javadoc - remove XAPoolNativeJdbcExtractor references from Asciidoctor  I did sign and agree to the CLA.  Issue: SPR-14810","closed","","marschall","2016-10-14T13:59:10Z","2016-10-15T08:58:04Z"
"","1262","SPR-13508 - Add i18n support to ScriptTemplateView","The current ScriptTemplateView does not provide support for internationalization using a message resource bundle on the classpath. This PR allows configuring a resource bundle basename on the ScriptTemplateConfigurer and then load that resource bundle at render time using the HttpServletRequest locale.  Two new methods have been added to ResourceBundleMessageSource allowing to return a ResourceBundle as a Map for a given basename and locale, or simply for a given locale. The resulting map can then be passed to the render function from ScriptTemplateView where it can be used to replace message placeholders in the template.  Issue: SPR-13508  I have signed the CLA.","closed","","pgrimard","2016-12-07T22:21:25Z","2017-01-24T11:36:38Z"
"","1261","SPR-13508 - Add i18n support to ScriptTemplateView","The current `ScriptTemplateView` does not provide support for internationalization using a message resource bundle on the classpath.  This PR allows configuring a resource bundle basename on the `ScriptTemplateConfigurer` and then load that resource bundle at render time using the `HttpServletRequest` locale.  Two new methods have been added to `ResourceBundleMessageSource` allowing to return a `ResourceBundle` as a `Map` for a given basename and locale, or simply for a given locale.  The resulting map can then be passed to the render function from `ScriptTemplateView` where it can be used to replace message placeholders in the template.  Issue: SPR-13508  I have signed the CLA.","closed","","pgrimard","2016-12-07T20:58:56Z","2016-12-07T22:13:55Z"
"","1127","4.3.x","Test Spring code","closed","","chandramcsr","2016-07-31T04:20:32Z","2016-07-31T14:34:31Z"
"","1230","Merge pull request #1 from spring-projects/master","test","closed","","ghost","2016-11-05T10:32:44Z","2016-11-06T10:41:59Z"
"","1190","Merge pull request #1 from spring-projects/master","test","closed","","ghost","2016-09-30T14:16:22Z","2016-09-30T14:37:45Z"
"","1066","SPR-14235 - Reactive types support for @Cacheable methods","Support for cache Observable return values.  Not ready to be merge as it doesn't follow the Code style, but I need a bit of feedback :) Tests are included  https://jira.spring.io/browse/SPR-14235","closed","","padilo","2016-05-26T00:14:55Z","2016-10-03T17:37:03Z"
"","1242","Treat Kotlin nullable as non-required","Superseeds #1060  @jhoeller Could you please review the polished version of this pull request, since this is the first time we introduce Kotlin code in our unit tests and since it adds a new `Optional MethodParameter#isNullable()` method that I would like to validate with you?  Issue: https://jira.spring.io/browse/SPR-14165","closed","","sdeleuze","2016-11-21T23:20:24Z","2021-04-28T09:58:51Z"
