"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","882","SPR-13545: fix for nullpointer when receiving a request with an inval…","…id transport type  Tagging @nstarke who wrote the fuzzer that found the issue.","closed","","benkiefer","2015-10-07T02:51:34Z","2015-10-07T09:59:39Z"
"","1001","Merge pull request #1 from spring-projects/master","update from origin","closed","","willseeyou","2016-03-12T02:41:46Z","2016-03-12T02:42:07Z"
"","914","Merge pull request #1 from spring-projects/master","update from origin","closed","","willseeyou","2015-11-08T03:39:35Z","2015-11-08T08:03:44Z"
"","980","Remove @BootstrapWith from @WebAppConfiguration","Update @WebAppConfiguration so that it no longer directly specifies a TestContextBootstrapper. This allows third parties to use the annotation in combination with their own bootstrapper.  BootstrapUtils now provides the detection logic for when WebTestContextBootstrapper should be used.  Issue: SPR-13991","closed","","philwebb","2016-02-26T23:31:37Z","2016-07-25T10:37:06Z"
"","1040","Merge pull request #1 from spring-projects/master","update","closed","","LuoYuWuSheng","2016-04-19T06:12:18Z","2016-04-19T07:25:27Z"
"","1022","Merge pull request #1 from spring-projects/master","update","closed","","yuyonglucky","2016-03-31T13:39:28Z","2016-03-31T13:40:23Z"
"","1017","Improve HTTP support for JDK client and HttpInvoker server","Two commits that improve HTTP support when using the native JDK HTTP architecture.  The first commit prevents the RestTemplate from closing the underlying HTTP connection when closing an HTTP response and completely drains the content of the response. Those are the two conditions to really leverage HTTP persistent connections support in HTTP 1.1.  The second commit works around a JDK API that seems to artificially prevent gathered writes when using the HttpInvoker server implementation.  Issue: SPR-14040","closed","","bclozel","2016-03-25T20:45:14Z","2016-11-06T10:41:07Z"
"","939","Fix markup in reference section 9.4.2","Trivial markup fix in the 'Built-in PropertyEditor implementations' section of core-validation.  Before:  ![before](https://cloud.githubusercontent.com/assets/172363/11918963/3d528d9c-a744-11e5-9a0e-0befaa5d3cbc.PNG)  After:  ![after](https://cloud.githubusercontent.com/assets/172363/11918964/448bc3e4-a744-11e5-967d-585eb03f7d5d.PNG)  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","sniewczas","2015-12-20T17:07:21Z","2015-12-21T16:24:10Z"
"","950","SPR-13841 - Add RFC-5681 support to CacheControl","Thoughts?   Have signed agreement in the past.","closed","","madorb","2016-01-05T17:16:27Z","2016-01-07T17:18:40Z"
"","915","SPR-13657 Buffered AsyncClientHttpResponse","This pull request relates to https://github.com/spring-projects/spring-framework/pull/912 in a way that it covers some additional use cases that could be covered through AsyncRestTemplate like for instance request/response logging. To fully facilitate that you would require the responses to be buffered.","closed","","jmnarloch","2015-11-08T18:53:28Z","2018-02-05T14:10:53Z"
"","1028","Fix url and prefix for cache schema: ""cache"" instead of ""jdbc""","This prevents copy & paste errors for casual readers of the documentation.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","michael-simons","2016-04-06T09:54:41Z","2016-04-12T06:53:40Z"
"","1037","Use the defined constant in MergedContextConfiguration","This PR simply uses the defined constant instead.","closed","","izeye","2016-04-16T00:10:35Z","2016-04-16T08:33:31Z"
"","1039","Remove duplicate words","This PR simply removes duplicate words.","closed","","izeye","2016-04-19T01:58:01Z","2016-04-19T06:24:37Z"
"","1008","Add a way to disable SSL verification","This is similiar to curl --insecure (-k) where sometimes you don't want ssl verification.","closed","status: declined,","selkhateeb","2016-03-17T03:45:00Z","2020-09-10T11:52:56Z"
"","957","Decrease allocation rate by making CacheOperation immutable","This is new PR after original one (https://github.com/spring-projects/spring-framework/pull/942) has been messed up.","closed","","soldierkam","2016-01-24T19:58:41Z","2016-02-17T13:51:16Z"
"","994","delegate PayloadApplicationEvent type resolution to the PayloadApplicationEvent itself","this fix allows writing custom application events that implement ResolvableTypeProvider, as an alternative to extending ApplicationEvent. see for example this custom event implementation - https://github.com/radai-rosenblatt/spring-events/blob/master/src/main/java/net/radai/ContentsChangedEvent.java  Signed-off-by: radai-rosenblatt radai.rosenblatt@gmail.com","closed","","radai-rosenblatt","2016-03-09T07:41:55Z","2016-03-09T16:03:36Z"
"","982","Introduce composed annotations for web scopes","This commit introduces the following common composed annotations for web scopes. - @RequestScope - @SessionScope - @ApplicationScope  Issue: SPR-13993","closed","","sbrannen","2016-02-27T19:31:36Z","2016-02-29T16:43:03Z"
"","981","Introduce composed annotations for @RequestMapping","This commit introduces the following common composed annotations for @RequestMapping in Spring MVC and Spring MVC REST. - @GetMapping - @PostMapping - @PutMapping - @DeleteMapping - @PatchMapping  Issue: SPR-13992","closed","","sbrannen","2016-02-27T18:12:41Z","2016-02-29T17:27:38Z"
"","1007","Implementing Jackson MixIn's","This commit implements Jackson MixIn's on MappingJacksonValue and its processors: MappingJackson2HttpMessageConverter and MappingJackson2XmlHttpMessageConverter","closed","","ghost","2016-03-15T07:05:55Z","2022-02-18T19:11:08Z"
"","1032","Fix logging issue with MessageConverter","This commit fixes an issue with MappingJackson2HttpMessageConverter where it always logs a Warning, even if another message converter can handle it. Example:  2016-04-13 13:22:30.760  WARN [app-service] 15947 --- [AppClient-1] .c.j.MappingJackson2HttpMessageConverter : Failed to evaluate deserialization for type [simple type, class com.company.product.component.protobuf.Client$Configurations]: com.fasterxml.jackson.databind.JsonMappingException: Can not find a (Map) Key deserializer for type [simple type, class com.google.protobuf.Descriptors$FieldDescriptor]  Issue: SPR-14163  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","mogren","2016-04-13T12:18:59Z","2016-04-13T14:22:15Z"
"","963","Use synchonous API for synchonous OkHttp requests","This commit changes the OkHttpClientHttpRequestFactory to use the synchronous OkHttp API for non-async requests, as opposed to synchronizing the async API (which it used to do).  Issue: SPR-13942","closed","","poutsma","2016-02-16T11:23:05Z","2016-02-16T14:33:38Z"
"","1006","SPR-14050 - ReflectionTestUtils doesn't detect proxy","This commit adds proxy detection for the set-/getField methods on the ReflectionTestUtils. Instead of accessing the field on the passed in targetObject the AopTestUtils class is used to obtain the possible ultimateTargetObject and use that for accessing the fields.  I've signed the SpringSource ICLA...","closed","","mdeinum","2016-03-14T14:56:48Z","2016-07-05T15:27:47Z"
"","896","Add null check to enable creation of triggers without JobDetail.","This change allows SimpleTriggerFactoryBean and CronTriggerFactoryBean to create triggers without associated job details. This is something that we need in our project (we are using spring to configure triggers, but we associate them with jobs programmatically) and it worked fine in Spring 3.x.  Issue: [SPR-13604](https://jira.spring.io/browse/SPR-13604)  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","bendiscz","2015-10-23T09:15:50Z","2016-01-19T17:05:31Z"
"","922","Added quotes around attribute value.","There are missing quotes in XML configuration example","closed","","uthark","2015-11-16T15:29:03Z","2015-11-17T09:57:40Z"
"","887","Fixed typo","The word ""that"" is duplicated.","closed","","stoeckmann","2015-10-11T12:52:16Z","2015-10-11T14:57:30Z"
"","945","Fixed the issue SPR-10822","The user can use ${contextPath} and ${realPath} in the WebApplicationContext's Environment.  Issue: SPR-10822","closed","","xiaolongzuo","2016-01-01T15:38:06Z","2016-01-08T14:34:07Z"
"","884","prevent duplicate ""/""","The request url will remove the duplicate duplicate ""/"" by using UrlPathHelper.getLookupPathForRequest(request), but the RequestMappingInfo won't.  And ""directPathMatches""  will be null at AbstractHandlerMethodMapping.lookupHandlerMethod.  For example, when I request ///c, the lookupPath will be /c, it won't match the HandlerMethod //c","closed","","veryyoung","2015-10-10T07:17:39Z","2015-10-19T20:53:41Z"
"","904","Fix CronTrigger example in documentation","The original example would fire every second of the 15th minute, not just once as stated in the paragraph before.  Issue: SPR-10474  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","LinkedList","2015-10-28T09:45:59Z","2015-10-28T12:02:41Z"
"","924","TypeDescriptor.equals tests equality of annotations","The current implementation of TypeDescriptor.equals merely tests for the presence of annotations between the compared type descriptors, as apposed to also comparing annotation property values.  This ultimately lead to problems with the GenericConversionService cache returning the ""wrong"" conditional converter in my application.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.  Issue: SPR-13714","closed","","nathanpiper","2015-11-21T02:47:45Z","2015-12-18T20:34:18Z"
"","968","supprimer contenu readme.md","test","closed","","semlali","2016-02-17T23:35:52Z","2016-02-18T07:38:57Z"
"","910","Support empty attributes in TagWriter","Support for empty HTML attributes (like ""required"", ""ng-disabled""...) If you want to use this tool for a custom tag in a project that is mainly Angular-oriented, you may want to write attributes without values. And since members are private, you cannot extend TagWriter (another proposal could be ""protecting"" fields).","closed","type: enhancement,","djechelon","2015-11-03T11:30:42Z","2021-11-24T13:16:52Z"
"","984","Support *Aware for @ComponentScan custom filters","Support a limited set of *Aware interfaces for TypeFilters created via the `@ComponentScan` annotation.  Issue: SPR-14009","closed","status: superseded,","philwebb","2016-03-01T21:42:44Z","2021-11-23T20:01:51Z"
"","997","4.2.x","spring-web","closed","","shigangzs","2016-03-10T14:22:14Z","2016-03-10T14:37:20Z"
"","907","Add support to any Iterable types on PropertyAccessor","Sometimes, for better clarity of the application model, we create objects that encapsulate a Collection, and this object comes to represent a collection of a certain type in the application model. To simplify `for-each` operations, this object must implement `java.lang.Iterable`. Example:  ``` java public class MyType {     @NotNull     private String name; }  public class MyTypesGroup implements Iterable {     private Collection  myTypes = new ArrayList  ();      @Override     public Iterator iterator() {          return myTypes.iterator();     }      // model methods }  public class MyAggregateType {      @Valid      private MyTypesGroup myTypesGroup MyTypesGroup = new (); } ```  Databind, get and set properties operations, typically used with `BeanWrapper`, they are not supported for these objects (in the above example, something like ""myTypesGroup[0].name"").   In my use case, with Hibernate Validator, the path will be generated ""myTypesGroup[0].name"" (Hibernate Validator au), occurring an exception when the Spring tries to extract the property value (to generate the error message on the Spring MVC)  This pull request adds `java.lang.Iterable` as a supported type for reading properties by `PropertyAccessors`.  I have signed and agree to the terms of the Spring ICLA.  Thanks (and sorry for any English errors :))","open","type: enhancement,","ljtfreitas","2015-11-01T12:59:58Z","2021-11-23T09:34:03Z"
"","1050","Remove potential XSS vulnerability in Freemarker documentation","Since the user controls the value of `spring.status.value`, one wouldn't want to echo unescaped values here in this form. Otherwise one could submit a value of, say, `""/> ` or any other arbitrary JS.  This patch changes the `input` tag to use the HTML-escaped value rather than the raw value.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","fj","2016-05-05T18:25:46Z","2016-05-30T07:44:29Z"
"","949","Use the official SonarQube Gradle plugin","Since the build has been upgraded to Gradle 2.10, it's showing the following message: ""The 'sonar-runner' plugin has been deprecated and is scheduled to be removed in Gradle 3.0. please use the official plugin from SonarQube""  This commit makes use of the ""org.sonarqube"" Gradle plugin and uprgrades the Jacoco agent version to 0.7.5.  _Note_: Since Jacoco 0.7.5 changed its binary format, **it is required to upgrade the Java plugin** on our SonarQube instance.  See: https://sonar.spring.io/updatecenter/updates See: https://jira.sonarsource.com/browse/SONARJAVA-1091","closed","","bclozel","2016-01-05T16:21:59Z","2017-06-01T17:13:44Z"
"","925","SPR-13713: Add mandatory behavior to SimpleNamespaceContext","SimpleNamespaceContext did not implement the following behavior mandated by javax.xml.namespace.NamespaceContext (as per Java 8): - # getPrefix and #getPrefixes with Argument `null` did not throw      an IllegalArgumentException - The iterator returned by #getPrefixes(boundPrefix) was modifiable,   i.e. failed to throw an UnsupportedOperationException upon #remove - # clear did not clear the map `namespaceUriToPrefixes`, hence after   # clear an iterator returned by #getPrefixes could be non-empty - Some mandatory functionality was implemented, but lacked unit tests  There were also code smells: - # getPrefixesInternal used to modify the field `namespaceUriToPrefixes`      despite being a getter method - After removing all prefixes bound to a namespace URI, the map   `namespaceUriToPrefixes` still contained the URI as key mapped to   an empty list.  The unit testing class was extensively rewritten to ensure implementation of the full contract. All assertions now use Hamcrest matchers for type safety and better error messages in case of failure.  Changes to the class SimpleNamespaceContext: - All missing functionality (described above) was added - # getPrefixesInternal is now a clean accessor - The field `namespaceUriToPrefixes` is now mutated via new private   methods #addPrefixToNamespaceUri and #removePrefixFromNamespaceUri - After removing all prefixes bound to a namespace URI, the URI is also   removed (as key) from the map `namespaceUriToPrefixes` - The private method #getPrefixesInternal was renamed to   # getPrefixesList as a more telling name  Issue: SPR-13713  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","leoarnold","2015-11-22T04:26:00Z","2015-12-21T19:25:04Z"
"","998","Add converters between Enum and Integer","see SPR-14039","closed","","quaff","2016-03-11T04:57:59Z","2016-03-16T16:02:21Z"
"","1024","Auto-detect Kotlin Jackson module","See [SPR-14108](https://jira.spring.io/browse/SPR-14108).","closed","","sdeleuze","2016-04-04T07:00:56Z","2021-04-28T09:56:45Z"
"","898","Separate java tokens by a single space","Replacing multiple spaces and tabs, which separates java tokens, by a single space.  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","robertwhitebit","2015-10-23T18:59:46Z","2018-03-15T21:34:56Z"
"","967","Minor grammatical changes","Removed article and capitalized class name","closed","","logicg8","2016-02-17T15:45:30Z","2016-07-01T09:14:55Z"
"","1034","Fixes SPR-14138 - Removed assertion over isOpen.","Removed `Assert#isTrue(isOpen(), ...)` while performing a send operation via `sendMessage(WebSocketMessage)` in `AbstractWebSocketSession`.  Please review and pull. My CLA Number is 149720151120072904.  Thanks, Venil Noronha","closed","","venilnoronha","2016-04-14T13:07:38Z","2016-04-18T13:59:08Z"
"","923","Remove invalid underscore","Remove invalid underscore from example","closed","","uthark","2015-11-16T15:31:49Z","2015-11-17T09:59:20Z"
"","1011","Support HTTP range requests in Controllers","Prior to this commit, HTTP Range requests were only supported by the ResourceHttpRequestHandler when serving static resources.  This commit adds a new ResourceMethodProcessor that both resolves Resource-related Controller handler arguments and return types.  A Controller handler like this can now handle Range requests for return types that extend Resource or HttpEntity:  ``` @RequestMapping(""/example/video.mp4"") public Resource handler() { } ```  Issue: SPR-13834","closed","","bclozel","2016-03-18T17:08:35Z","2017-06-01T17:16:58Z"
"","970","Consistent descriptions for ConfigurationClass","Previously, a ConfigurationClass created from AnnotationMetadata and a ConfigurationClass created from a class would have subtly different descriptions. Given a class named com.example.Foo, the former’s description would be “com.example.Foo”, whereas the latter’s description would be “class com.example.Foo”.  This commit updates ConfigurationClass to make the description consistent, preferring the description without “class” in it.","closed","","wilkinsona","2016-02-18T17:43:35Z","2016-02-19T08:09:42Z"
"","969","Introduce specific exceptions for field and method autowiring failures","Previously, a BeanCreationException was used when autowiring of a field or method failed. Details of the field or method were included in the exception message. This meant that anyone who wanted to access information about the field or method had to resort to the error-prone approach of parsing the exception’s message.  This pull request introduces two new exceptions, FieldAutowiringException and MethodAutowiringException, that provide access to the Field or Method for which autowiring has failed.","closed","","wilkinsona","2016-02-18T14:50:07Z","2016-04-12T06:20:24Z"
"","1044","MockWebResponseBuilder defaults cookie domain","Previously MockWebResponseBuilder would use the cookie domain of the cookie received from MockMvc response. This caused problems because the cookie domain can be null, but HtmlUnit forbids a null domain.  This commit defaults the domain of the cookie to the domain of the WebRequest.  Issues SPR-14169","closed","","rwinch","2016-04-25T15:23:10Z","2016-04-26T14:06:56Z"
"","1009","MockMvc HtmlUnit support shares CookieManager","Previously MockMvc builders failed to share the WebConnection used for managing cookies in the MockMvcWebConnection. This meant that the various CookieManagers would have different states.  This commit ensures that the WebConnection is set on the MockMvcWebConnection.  Fixes SPR-14066","closed","","rwinch","2016-03-17T21:10:27Z","2016-03-18T16:02:47Z"
"","988","Add support for OkHttp3","OkHttp3 introduces a new package and API that is incompatible with previous versions. This commit adds a new `OkHttp3ClientHttpRequestFactory` and supporting classes.","closed","","royclarkson","2016-03-05T16:11:30Z","2016-03-29T17:07:59Z"
"","964","Cleanup of org.springframework.http.client","Moved all package protected request and response classes in http.client package into their respective factories.","closed","","poutsma","2016-02-16T14:38:40Z","2016-02-17T12:12:36Z"
"","878","Modify creation of the ScheduledTaskRegistrar to be a Spring managed bean","Modify creation of the ScheduledTaskRegistrar to be a Spring managed bean. SPR-13506","closed","","tobiasmh","2015-09-25T06:20:50Z","2018-06-14T09:50:45Z"
"","911","Merge pull request #1 from spring-projects/master","merge","closed","","liwei5365","2015-11-06T08:10:49Z","2015-11-06T08:32:15Z"
"","958","Speed up AntPathMatcher by doing prefix-match","Many ant style patterns has prefix that can be used to determine if there is no need to do complicated and costly matching.  For example pattern ""/static/css/*"" have prefix ""/static/css/"" that can be used to say that path ""/api/resource/1234"" will not match.   This was tested with https://gist.github.com/soldierkam/c80e433aa9fbec35df5a Before:  | Benchmark | Mode | Cnt | Score | Error | Units | | --- | --- | --- | --- | --- | --- | | MyBenchmark.isMatching | thrpt | 5 | 425995,288 ± | 162966,573 | ops/s | | MyBenchmark.isNotMatching | thrpt | 5 | 864690,507 ± | 130643,210 | ops/s | | MyBenchmark.suffix | thrpt | 5 | 748551,270 ± | 17229,496 | ops/s |  After:  | Benchmark | Mode | Cnt | Score | Error | Units | | --- | --- | --- | --- | --- | --- | | MyBenchmark.isMatching | thrpt | 5 | 483815,001  ± | 105669,816 | ops/s | | MyBenchmark.isNotMatching | thrpt | 5 | 10208718,438 ± | 125879,376 | ops/s | | MyBenchmark.suffix | thrpt | 5 | 624841,454  ± | 349001,674 | ops/s |  Result: over 10x faster for isNotMatching and 17% slower for ""suffix"" case.  I tested it with https://github.com/spring-projects/spring-boot/tree/master/spring-boot-samples/spring-boot-sample-data-rest (wrk -c 40 -d 30 -t 2 http://127.0.0.1:8080/api/hotels) but results are almost the same (before: 310.15req/seq, after: 305.41req/sec). For https://github.com/spring-projects/spring-boot/tree/master/spring-boot-samples/spring-boot-sample-actuator-ui (wrk -c 40 -d 30 -t 2 http://localhost:8080/css/bootstrap.min.css) there is small perf improvement - before: 2237.90req/seq, after: 2353.93req/sec For real world application (that contains many more endpoints) I've got 17% more throughput for endpoint serving static resource (baseline is at 1812req/sec).  Let me know what you think.","closed","","soldierkam","2016-01-25T23:00:40Z","2016-02-10T10:51:40Z"
"","941","4.1.x","learning","closed","","hynbroth","2015-12-26T15:27:49Z","2015-12-26T16:29:39Z"
"","935","SPR-13784: Base64Utils: URL/File Safe Alphabet","JIRA: https://jira.spring.io/browse/SPR-13784  JDK8 and Apache Commons Codec support the RFC 4648 ""URL and Filename Safe"" Base64 alphabet.  Add methods to `Base64Utils` to support this feature.","closed","","garyrussell","2015-12-11T18:14:03Z","2015-12-11T20:49:44Z"
"","1042","Added cron expression validation method for CronSequenceGenerator","It's handy to know in advance whether or not expression that is passed to CronSequenceGenerator or CronTrigger constructor would not results in IllegalArgumentException. The only way to do it now is to try\catch an instance creation but it's kinda ugly.  ---  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","Enigo","2016-04-23T12:57:49Z","2016-04-23T16:06:49Z"
"","999","SPR-13919 - Add JSON matcher to assert on request body","It's common for test code to want to assert that the body of a request matches a JSON document.  Without this `ContentRequestMatcher`, the only options are to do a literal string comparison or assert on individual nodes using `jsonPath()`.  The `ContentRequestMatcher.json()` provides a general-purpose means of asserting on request content in the same way `ContentResultMatcher.json()` does.  We have signed and agree to the terms of the Spring Individual Contributor License Agreement.  ``` Support asserting JSON regardless of order and formatting. Based on same JsonExpectationHelper used in ContentResultMatchers.  Issue: SPR-13919  Signed-off-by: Bronwyn Perry-Huston  Signed-off-by: Dan Neumann  Signed-off-by: John Ryan  ```","closed","","jtigger","2016-03-11T15:42:14Z","2018-03-13T16:14:49Z"
"","938","Upgrade Caffeine dependency","It seemed prudent to upgrade the dependency prior to usage in Spring.  I also added my [gradle-versions-plugin](https://github.com/ben-manes/gradle-versions-plugin) since it wasn't clear how Spring tracks dependency updates. This can be run using `gradle dependencyUpdates` or `gradle dU` for short. The list of other potential updates are below. Note that a `resolutionStrategy` rule can help filter out versions that don't conform to the Maven versioning conventions (like `rc`, `beta`).  @snicoll   ``` The following dependencies have later milestone versions:  - com.fasterxml.jackson.core:jackson-databind [2.6.4 -> 2.7.0-rc2]  - com.fasterxml.jackson.dataformat:jackson-dataformat-xml [2.6.4 -> 2.7.0-rc2]  - com.fasterxml.jackson.datatype:jackson-datatype-jdk8 [2.6.4 -> 2.7.0-rc2]  - com.fasterxml.jackson.datatype:jackson-datatype-joda [2.6.4 -> 2.7.0-rc2]  - com.fasterxml.woodstox:woodstox-core [5.0.1 -> 5.0.2]  - com.google.protobuf:protobuf-java [2.6.1 -> 3.0.0-beta-1]  - com.googlecode.protobuf-java-format:protobuf-java-format [1.2 -> 1.4]  - com.lowagie:itext [2.1.7 -> 4.2.2]  - com.sun.xml.bind:jaxb-xjc [2.1.17 -> 2.2.11]  - commons-beanutils:commons-beanutils [1.8.0 -> 1.9.2]  - commons-digester:commons-digester [1.8.1 -> 2.1]  - commons-io:commons-io [1.3 -> 2.4]  - commons-logging:commons-logging [1.2 -> 99.0-does-not-exist]  - dom4j:dom4j [1.6.1 -> 20040902.021138]  - io.netty:netty-all [4.0.33.Final -> 5.0.0.Alpha2]  - javax.el:javax.el-api [2.2.5 -> 3.0.1-b04]  - javax.faces:javax.faces-api [2.2 -> 2.3-edr1]  - javax.resource:connector-api [1.5 -> 1.6-alpha-1]  - javax.servlet:javax.servlet-api [3.1.0 -> 4.0.0-b01]  - javax.servlet.jsp:javax.servlet.jsp-api [2.2.1 -> 2.3.2-b02]  - javax.validation:validation-api [1.1.0.GA -> 1.1.0.Final]  - javax.websocket:javax.websocket-api [1.0 -> 1.1]  - jaxen:jaxen [1.1.1 -> 1.1.6]  - net.sf.ehcache:ehcache [2.10.1 -> 2.10.1-55]  - org.apache.activemq:activemq-broker [5.8.0 -> 5.13.0]  - org.apache.activemq:activemq-kahadb-store [5.8.0 -> 5.13.0]  - org.apache.activemq:activemq-stomp [5.8.0 -> 5.13.0]  - org.apache.taglibs:taglibs-standard-jstlel [1.2.1 -> 1.2.5]  - org.apache.tomcat:catalina [6.0.16 -> 6.0.44]  - org.apache.tomcat:tomcat-websocket [8.0.30 -> 9.0.0.M1]  - org.apache.tomcat.embed:tomcat-embed-core [8.0.30 -> 9.0.0.M1]  - org.apache.tomcat.embed:tomcat-embed-logging-juli [8.0.30 -> 9.0.0.M1]  - org.apache.tomcat.embed:tomcat-embed-websocket [8.0.30 -> 9.0.0.M1]  - org.asciidoctor:asciidoctor-gradle-plugin [1.5.2 -> 1.5.3]  - org.asciidoctor:asciidoctorj [1.5.2 -> 1.6.0-alpha.1]  - org.aspectj:aspectjrt [1.8.7 -> 1.9.0.BETA-2]  - org.aspectj:aspectjweaver [1.8.7 -> 1.9.0.BETA-2]  - org.beanshell:bsh [2.0b4 -> 2.0b5]  - org.codehaus.fabric3.api:commonj [1.1.0 -> 1.1.1]  - org.eclipse.persistence:javax.persistence [2.0.5 -> 2.1.1]  - org.eclipse.persistence:org.eclipse.persistence.core [2.4.2 -> 2.6.2-RC1]  - org.eclipse.persistence:org.eclipse.persistence.jpa [2.4.2 -> 2.6.2-RC1]  - org.glassfish.tyrus:tyrus-container-servlet [1.3.5 -> 1.12]  - org.glassfish.tyrus:tyrus-core [1.3.5 -> 1.12]  - org.glassfish.tyrus:tyrus-server [1.3.5 -> 1.12]  - org.glassfish.tyrus:tyrus-spi [1.3.5 -> 1.12]  - org.hamcrest:hamcrest-core [1.3 -> 1.4-atlassian-1]  - org.hibernate:hibernate-core [5.0.6.Final -> 5.0.6.Final]  - org.hibernate:hibernate-entitymanager [5.0.6.Final -> 5.0.6.Final]  - org.hibernate:hibernate-validator [5.2.2.Final -> 5.2.2.Final]  - org.jacoco:org.jacoco.agent [0.7.1.201405082137 -> 0.7.5.201505241946]  - org.jruby:jruby [1.7.23 -> 9.0.4.0]  - org.mockito:mockito-core [1.10.19 -> 2.0.33-beta]  - org.python:jython-standalone [2.5.3 -> 2.7.1b2]  - org.skyscreamer:jsonassert [1.2.3 -> 1.3.0]  - org.webjars:webjars-locator [0.28 -> 0.29]  - rhino:js [1.7R1 -> 1.7R2]  - velocity-tools:velocity-tools-view [1.4 -> 2.0-beta1]  - ws.antonov.gradle.plugins:gradle-plugin-protobuf [0.9.1 -> 0.9.2] ```","closed","","ben-manes","2015-12-20T05:20:45Z","2015-12-20T12:07:33Z"
"","933","fix getFileName on windows","Issue: SPR-5284","closed","status: declined,","alezx","2015-12-05T13:23:41Z","2020-06-23T07:12:44Z"
"","979","Fixed getOrDefault bug in LinkedCaseInsensitiveMap","Issue: SPR-13981  I have signed and agree to the terms of the Spring Individual Contributor License Agreement.","closed","","LinkedList","2016-02-25T17:26:50Z","2016-02-25T18:25:41Z"
"","885","Add a PropertyEditor that convert to null for empty string","Issue: SPR-13561  For details, refer to the [SPR-13561](https://jira.spring.io/browse/SPR-13561). I have signed and agree to the terms of the SpringSource Individual Contributor License Agreement.","closed","in: core,","kazuki43zoo","2015-10-10T20:13:57Z","2021-11-22T12:01:09Z"
